melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077
1.114116156	1.538746478	-0.6594571797	-0.9286450275	-0.3134827308	-0.4270436322	-0.01739586727	0.8486777426	-0.08374775224	0.3067805121	-0.06968355575	1.317430315	-0.599676484	0.6303587308	-0.08505833793	-0.1233470535	0.1537555333	0.3179944637	0.541210289	0.2877558081	0.08512894174	-0.325990427	0.2783411408	0.3386989755	0.2476052656	-0.4941812211	1.576542575	0.6235351323	0.6065957451	2.169452103	0.3871403368	-0.6321424026	0.8355359197	-0.1744275783	0.4913599124	0.1483198058	1.359817145	0.2717916187	1.548450364	-1.63887477	-0.2293530229	0.2536694148	0.849089925	-0.4509073137	0.5108624982	-1.965067099	-0.3031243914	-0.8740635752	-0.5847478787	-0.4574813698	-0.1626085116	-0.1985542616	0.1263992301	0.7218258169	-1.730099013	-0.04036458651	1.502320599	-0.3377747221	1.861173517	1.078519539	-1.054361879	0.6834880431	-0.02075676695	0.03276526769	-0.5255514868	-0.6111527916	-0.2091666998	0.3463129557	1.490822091	1.810072249	-0.2973745754	-0.1417114936	0.6184883453	2.717326562	0.7340207038	0.001472419474	0.4683721169	0.4315620965
0.0632525548	-0.3725996417	1.435232147	1.496811821	-0.5161725853	0.2174234421	-0.235171443	-0.06217262141	0.008191218607	-0.06735004912	-1.117521412	1.395695224	0.5276711344	0.4620112973	-1.316052484	0.4214176752	-0.113673413	1.101975192	0.9543051334	-0.3439659622	0.8501279855	0.3179333935	0.6142063452	0.7118648578	1.18394241	0.1177597773	0.2647760443	-0.7938967581	1.09312959	-2.289155712	1.365091308	-0.4877820956	1.028687125	-1.226953153	1.38053255	-1.669016273	1.964769828	-0.7202222217	2.458444141	-1.744047644	0.881652428	-0.1513816967	-0.8427339287	1.993448455	-0.2403864114	0.271100546	0.644057823	1.211568317	-0.9763272411	-1.383482679	0.09854696697	0.4754098101	0.5821085237	-0.2726413708	0.1555206883	0.2218982785	0.9727425268	-1.496894087	-1.460873364	0.3544134842	0.7750872541	-0.1678315531	-0.04671546324	1.407211456	-0.1584763422	1.036362162	0.6301199257	0.5646961221	0.4042534535	0.5824544388	-0.368613377	-0.847633288	0.359592196	2.959001574	-0.1383982604	-0.01115152672	-0.4265694262	0.6056603717
-1.201528921	-1.157096655	-0.6862000608	-0.5594406388	-0.2847203069	1.618406988	-0.1316924817	1.283303791	0.2013877619	1.576283997	1.334382722	1.870167714	1.091799088	0.04345917041	0.1336783346	-0.6476845143	0.6443018076	1.143397922	0.297712323	-0.09201840349	1.089563068	0.5356953483	1.553321513	0.9645552388	2.293484166	0.3013328185	-0.7764185846	1.522824151	1.114832729	-0.4676945252	1.182159686	-0.6872026188	0.82342415	-0.1623717696	0.2910898722	-3.059172004	2.105165997	-0.03585570214	1.302918283	-1.916489127	0.1260362567	-1.186237804	-1.415941307	-0.4370202387	1.207696263	-1.066193946	0.4621843213	-0.005885715415	-1.21790768	-1.275493599	-0.3722147911	0.4186369818	0.399421182	-0.3038279625	-0.1374291141	0.6003060584	-0.5856669053	0.4463372895	-0.8613193731	0.4584647244	-0.3556252351	0.1609468859	1.142562188	0.624064944	-1.796048802	0.7810483334	0.6272081085	0.1065078238	-1.146072247	-0.1242453706	0.6166599214	-1.885094548	-0.1289823372	2.432830745	0.4200050136	0.2677860331	0.2320749457	0.3126780873
1.066540521	1.156746717	-0.5466144309	-0.3989343674	-0.1023090171	-1.185289373	-0.1378758833	1.294645769	-0.09330723197	-1.272951179	0.1171517868	1.907454011	1.213341048	0.4388298158	-0.01680815284	-0.1641739222	0.04807100599	1.42404985	0.9385745974	-0.33192502	1.476983952	-0.3665092146	-1.175750217	1.007151192	1.813628502	0.3382259381	-1.411900451	-0.8313662507	1.830787077	0.6243642428	1.196220193	0.1230096929	2.181373097	-0.3183875985	0.7071449079	-3.160697939	2.786544023	-0.1379858696	1.089114221	-1.802865862	-0.4619114375	-0.7101519768	-1.837472754	1.239105755	0.9384992761	-0.8636885137	-0.6715653563	0.1985917121	-0.3730798559	-2.067390187	-0.4391316359	0.3963912146	0.3663181465	-0.4044011245	-1.011094769	0.7982832406	0.7489902761	0.4437503467	0.8624052772	-0.05792521705	-1.537205016	0.4642008678	0.6461232512	0.8821352677	-0.1380504032	-1.136145483	0.644402254	-0.315399555	0.3923249146	0.3740130371	1.384509197	-0.577568122	0.5725845684	0.7859287273	0.3987541569	-0.8292286555	-0.6160319779	0.4444450644
0.0009366934716	-0.4679492929	1.537622401	1.919171266	-0.3433264841	-0.05174568119	0.1010698175	-1.593475351	0.2180673236	-0.1965853654	-1.399410374	1.452334744	1.018596338	0.2982092736	-0.3312764469	-0.1468517536	-0.4731792514	0.9625989873	0.2414416996	-0.7083658582	0.986996875	-0.2240036097	0.0917826708	1.30517532	2.052974956	0.6454748285	-0.9292034636	1.266080648	1.077932914	0.1447300186	1.27137212	-0.1769871298	2.142942906	-1.345846917	-0.4385913077	-2.191573121	2.034229033	0.2994581167	1.454950499	-1.510081253	-0.9273608536	-1.19332311	-0.6025704488	-0.6390964644	-0.9307147641	-0.03007098624	-0.3828083602	0.1903093504	-0.566447048	-0.4574266557	-0.4825591244	0.3217120932	0.1694454403	-0.9138629169	-0.8650692887	1.485215831	0.4120473978	-0.5097102552	0.5561277966	0.0485644936	0.4650699269	-0.5270476721	1.337255595	0.557624298	0.01487613551	0.4965284659	1.013299115	0.2375768339	-0.7500242891	-1.147210722	-0.1315358508	-1.658096034	0.1871046469	1.263799414	-0.4842003284	0.7213250944	-0.09145089074	-0.2724006953
-0.9679796893	-0.792150036	-0.6886880105	-0.3231606318	-0.1274902384	0.8833791321	-0.03612520368	1.731482806	0.04799950268	0.6350767448	1.331225694	1.372655474	0.6180548285	-0.2194081366	1.169214565	0.5287361828	1.88857159	1.161313612	1.390879056	-0.6627642292	1.047308666	0.2814283266	1.402829337	1.355188873	1.970843367	0.737028874	-1.047532603	-1.116119136	1.40363669	1.579063893	1.303372897	0.34232999	1.828463428	0.2933159404	0.4616274441	-1.706249781	1.69276354	-0.1388551388	1.00022863	-0.8080512814	-0.308431755	0.04009477625	-0.7734246984	1.183721346	0.3708670172	-0.6816137068	-0.5429953987	0.2197226224	-0.2221256393	-1.946408636	-0.08250945975	1.128975914	-0.06780761798	-0.8161197114	-0.5237949547	1.444268499	-0.788439593	0.7692292785	-1.852632365	-0.1122176799	-0.5025068716	-0.3929614431	0.8555521234	0.366634642	-1.500532942	0.3596053296	0.5555680354	-0.386974577	-2.044038486	-1.004161164	0.6239031921	-1.638293252	-0.2421458913	-0.7992397019	-0.4152072066	0.5150622469	-1.296914737	-0.4922907356
1.243432888	0.9612641478	-0.7699596805	-0.8662868335	-0.178038669	-0.5891868659	0.4719685468	-0.5311396313	0.5575156968	-0.005549761377	-0.1093098898	1.097502724	0.8373517079	0.04875333796	0.126077168	-0.6898067425	-0.4121693397	0.1937803028	0.7078821542	-0.1984773993	0.7860003469	0.7499339779	-0.1754272282	1.043806038	1.875705823	1.005955658	-1.047032299	0.4641499016	0.9075391493	1.963835753	1.003141334	0.03623859906	1.353466399	-0.1221910781	-0.5560361485	-1.027183776	0.2037154998	0.6803135584	0.3146952613	-0.5113231918	-1.035086164	-1.381520067	-0.8471641792	-0.149197826	0.1627177261	-1.345955665	-0.6838071994	-0.9849486642	-0.4390328822	0.4944499137	-0.03705641737	1.070146907	0.1392258742	-1.229118565	-1.78955114	0.9934534757	1.573588248	0.6723501985	1.41084797	0.407805947	-0.923093646	-1.149465109	1.931495362	-0.2450517073	-0.3634648589	-0.2353535837	0.5858572654	-0.5064534725	1.098091817	0.4675448137	-0.1154201951	0.07410399861	0.7705473404	-0.0832305871	-0.5069515509	1.007007859	-0.6830612872	-0.536283135
-0.682430731	-0.8089790417	-0.1054630877	0.8482010873	-0.1712960798	0.7734577809	0.1357415908	1.176627145	0.3255318025	0.3339286483	-0.4066967482	0.5393505182	0.6790904116	0.08705761715	0.6379239614	1.454216075	0.9435497382	0.7763653162	1.901981847	-1.108129359	1.208625626	0.8394988044	-0.4970069797	0.03822475577	1.153929417	0.8656177268	-0.7448508957	-1.381207512	1.01671642	0.4245088408	1.390705969	0.3900018649	1.057369579	0.4394285682	0.4448183183	-0.3457459189	0.5129943	0.05508796817	-0.07641941983	-0.7343485691	-1.445479043	0.0689592059	-1.108808465	1.063631537	-0.5034933511	-0.4910186178	-1.065867349	-0.8515460513	-0.3838138889	-0.1272492648	0.3687277299	1.708101434	-0.09773553091	-1.4894475	0.2900584845	1.261888307	0.5078218175	0.09926854728	0.05396328758	-0.1550174073	0.3813234354	-0.6993583332	1.323223049	-1.068548436	-1.27380809	-0.6394321825	0.5724096364	-0.8047861288	0.5000258193	-1.223177487	-0.6088842545	0.4132590113	1.682931311	-0.6814495762	-1.498879767	0.06210465145	-1.167183367	-0.6835926569
1.300522218	0.9454334462	-0.689901408	-1.035869118	-0.0633747308	-0.2883468084	0.5263553753	-0.4186301075	0.8409929207	0.7066059186	0.5220743426	0.6082764851	0.928301233	-0.4983183591	-0.2165830039	-0.7714943044	0.06956375604	0.6780560467	0.8340738013	0.4378973822	0.7811908085	0.8264998428	-0.01025387933	0.0697655732	1.46731731	1.785839019	-0.04025558766	0.4487256463	0.7057300216	1.884684168	0.8766785041	-0.2961312265	1.28617813	0.1449055034	-0.3564931472	0.02044125505	0.5897136725	0.9184339671	-0.0885664098	-0.04415212129	-1.567294458	-1.055307806	-0.02088566815	-1.61842401	-0.4010270698	-0.6550748089	-0.6342734527	-0.8272210685	-0.7863774023	1.920638876	-0.357015389	0.9133713101	0.2778894971	0.237923089	-0.3856674675	1.368538148	0.01693597498	-0.3406444846	1.203968646	0.2991420419	-0.1650046319	-0.3346668766	2.711327595	-0.7637358528	0.9430351625	-1.029376058	0.5211173464	-0.09795467746	0.7396300346	-0.3461129954	0.08978583633	-0.5364817418	0.9874479948	0.298099085	0.1225883105	-0.8041297482	-0.2867533869	-1.110112675
-0.3345163079	-0.5432222506	0.2489249811	1.12009806	-0.2214722261	-0.3641099224	0.03723469072	0.08823723666	0.5766895616	0.2226629912	0.4514365673	0.2735607337	1.439540548	-0.7280732818	0.3156536519	0.7540530653	1.087340732	0.9449931429	1.208464322	-0.2236655981	0.8631815845	-0.4194922302	0.04673976854	-0.5364515405	1.211828029	1.1689559	-0.4187881816	-1.723996682	0.01150007188	-1.07716351	0.3384312227	0.2570566982	1.46996018	-0.9518805194	0.2157215488	-0.1283496603	-0.01140952094	-0.8433363364	-0.9081012433	0.8186039467	-1.603508106	0.255190405	-1.019675492	0.9866002238	-0.4397126423	0.6389372369	-1.087843406	2.191714425	-1.416696448	-0.3179748182	0.2299434264	0.135227124	0.6912816786	-0.4394610433	1.355693896	1.069945139	0.3326483498	0.2208919338	-1.326229715	-0.7668422559	1.817397642	0.002011266941	0.8017614772	-1.565518287	1.247153342	-0.6734247513	0.7463696852	-0.5375633487	0.3642730947	-0.8298408794	-0.5795160864	0.3364319	0.5923674825	-0.5801969653	-1.206085933	-1.211391221	-1.882771772	-1.18031772
