melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081
-0.1912990144	1.912999743	-1.19052641	-1.165784782	0.6972042449	-1.082682911	-0.6740935157	-0.1069017988	-0.8149889985	0.1550767765	-0.9676665709	0.7339226569	-0.9553460772	1.382273914	-0.4271020976	0.4010513738	-0.8733536869	-0.7543364207	0.1947423067	-0.2588331067	-1.183206701	-0.05995904954	0.6235179569	-1.577137929	0.196129523	-0.5985587303	-0.8849123785	-0.900615491	-1.609974409	0.4281333631	-0.9111507721	0.8428179666	-0.6952408002	-0.9234870634	-0.8071900339	0.1571550253	-1.988013861	0.7925670583	-0.984896001	-1.932208961	-1.410098503	-0.6232260299	-1.233535644	-0.7287640204	-0.7100411971	-1.264591784	-1.846027758	-0.6561190514	-0.02179066236	-0.899279558	0.4876879051	-0.7463902583	-0.682225769	0.2223154634	0.7680061911	0.09432968885	-0.07316863434	-0.9763011322	-0.08621642415	0.6662952206	-0.5484532278	-1.371664911	0.2791334547	0.2212269747	2.433864199	-0.1761352699	-1.062676734	0.2414332471	0.4627380519	0.8000102879	0.4447643466	0.5487017118	0.682700933	-0.05955484979	-1.599010574	0.1792283219	-0.7061484747	-0.3249863232	0.2993482689	0.2536721536	1.515223573	-0.2664829225
1.044154334	1.638003665	-0.9024997474	-0.9472544814	0.5302806349	-0.8740668144	-0.7106912684	-0.6514591038	-1.323999628	0.1524495668	-1.181819993	-0.06243885615	-0.6470710757	0.9832243346	0.1709340294	-0.804598006	-0.1430417916	-1.883700719	0.8927050052	-0.4618631323	-1.136355951	-0.1951497052	-0.1208205248	-2.110871328	0.8273840565	-0.5337596275	-0.3666064088	-0.7459177399	-1.811824519	0.1372166574	-1.393221437	0.0926296298	0.2679975671	-0.1710477557	-1.379042277	-0.7616654914	-1.313251293	0.6984196864	-0.02248636455	-0.4627744436	-0.833237854	-0.9433315378	-0.684189345	-0.4454426249	-0.8221482175	-1.767848215	-2.743659877	-1.247697727	-0.6544917456	-0.1713656464	0.07815461065	-1.198178693	-0.6412996399	-0.6094526105	-0.1802665013	-1.111565251	-0.06916136627	-0.7307370799	0.02187276713	-0.4161787931	-0.7001611696	-2.275909913	-0.001565702585	1.340725829	2.061053681	-0.01775784479	-0.1421208569	0.3085821108	0.0604046305	-0.4037687902	1.267562118	0.2131783829	0.2815571212	-0.7848960537	-0.3002955359	0.4739218383	-0.7883971165	-0.7280825725	1.110526971	0.1937946796	1.281179169	-0.8957141308
1.58038121	0.2905071498	-0.7556471178	1.807008814	-0.5810289261	-0.6314139996	-0.1235005306	-0.5993173006	-0.5694031822	-0.2296719736	-1.391645038	-1.276528091	-0.8642917181	1.110715428	0.1522593195	-0.4290572132	1.331476148	-2.264453086	0.8791290258	-0.6962072169	-1.22691372	-0.7284447219	-0.4699936172	-2.202174932	0.3386062491	-1.287047006	-0.4948364579	-1.555929519	-1.057184034	-0.5918799729	-0.227433025	0.9533137706	0.9647002497	0.4725886161	-1.630708281	0.7965109917	-0.525391328	-0.6388064842	-0.1458857553	-1.588613753	-0.6026001066	-1.110659496	-0.4134739763	-0.2146566611	-0.5451356766	-0.9856246856	-1.577328689	-0.9228396085	-0.2223350999	0.01315723772	-1.059712092	-1.666018295	1.183014573	-0.9168261386	0.2526605127	-0.8352297333	0.6713727726	-0.3365871943	-0.6535154261	1.182738777	-0.201194783	-2.193299213	-0.2484942933	-0.4883462165	0.4875237881	1.201824141	-0.06540203196	0.1424465278	-0.5543897661	-1.635758735	0.730153232	0.5639312623	0.7923052778	-0.006228321856	0.3545722074	0.6535268138	0.2066500539	-0.02301814704	-0.1172315006	0.1902096285	1.40705821	1.264986564
1.054200737	0.2901727247	-0.5435745618	1.954937592	-0.278044015	0.3537232602	-0.351980246	-0.437601137	-1.225613872	0.4465298726	-1.137579024	-1.176293951	-0.6804208637	0.795451889	0.3783434226	-1.780543778	2.205374697	-1.165622973	1.090708049	-0.5171342781	-1.111771105	-0.4418350474	-0.2928323083	-1.528435845	-0.7421246931	-0.963193509	-0.7499516421	0.4985917676	-1.08629949	-1.163283212	-0.4071772027	0.03067269214	0.830289773	0.9827611694	-0.2004134487	-0.8383076221	-0.2391313235	0.356555419	-0.04842917309	-1.722560893	-0.4126631296	-0.6613527931	0.2446152426	-0.3973357014	-0.6437966238	-0.3743287673	-0.5782167366	0.4829646264	-0.19560536	-0.4503195756	-0.05289423789	-1.480389857	0.8482345157	-0.7398911932	-0.05948041413	-0.1701436121	1.2734326	0.1275823791	-0.4816195685	0.8596278845	-0.1710596439	-1.202158643	-0.488569856	-0.6664684379	-0.2077208574	0.7143528219	0.07342107162	0.803943903	-0.3392980759	-1.519014312	-0.254860745	-0.6862302318	-0.02875021248	-1.349566583	-0.7290682694	1.818901349	0.1816217298	0.491304222	0.4672572772	-0.1591925292	1.820206776	0.003418613868
0.3566793269	-0.3661298543	-0.1604916987	1.302119293	-1.28404336	1.655145636	0.03736170602	-0.7444992874	-0.6582292995	-0.9511546254	-0.7827295426	0.02890843843	-0.169373885	0.09644513746	0.7465778901	-1.343907548	2.010721825	-0.06973975975	0.6333004458	-0.1200197893	-0.8085541327	-0.3287403063	-0.2308259819	-1.984565918	-0.4354059663	0.002323647508	-0.3778884824	-0.9218761316	-1.355683726	-1.727972166	-0.3456200266	0.9514602712	0.05606287135	0.3480993649	-0.4482553386	0.6314987331	-0.8685216007	-0.5150867642	-0.1719003898	-2.031180318	-0.1310645249	-0.8959654371	0.4842517289	0.6473894857	-0.8239022664	-0.8401405277	-0.817473142	-0.1793868642	-0.1929508448	1.258260298	-0.85329478	-1.598463209	0.9133224463	-0.1109176812	0.3340460813	0.1682175997	0.9775979247	0.5970463806	-0.7830207289	0.6241889214	0.1945985171	-1.070183501	-0.2997877573	-0.5537121213	-0.3002816127	0.8458680952	-0.4361883349	0.4813249066	-0.01763570083	-2.128416488	-0.5650572266	-0.99863062	0.2548510867	-1.39554657	-0.1436001256	-0.1313105994	0.6440308536	0.5102808234	-1.017163671	-0.6812644676	1.475702902	1.106896232
-0.02209590124	-0.7248327298	0.0004871691715	0.1731574353	-1.146026231	1.174585612	-0.07646295292	0.04910488661	1.179508196	0.5808704199	-0.3259987267	-0.4555356203	-0.6836889436	-0.6592927043	0.7705594756	-0.5499085824	1.866679134	-0.7601070869	0.08227028004	-0.8503777853	-0.8669780191	-0.6051403339	-0.2220233744	-0.7526231031	-0.6770333592	-0.7095590401	-0.1449194138	0.9369892516	-1.313401415	-1.064996493	-0.9692819211	0.1870824331	0.4778298927	0.6164793975	-0.3062115693	-0.4066866743	-0.6203851328	1.140133467	-0.3780281454	-1.640916422	-0.1004338156	-0.8448057514	0.4692614313	-0.7138941585	-1.070799541	-1.531474614	-1.180986481	-0.6507655328	0.3832551546	0.3122280615	0.4749192683	-0.9474250787	0.4361453495	-0.9018488991	0.2980175069	-0.4737224574	1.812297366	-0.5331336705	-0.0003472359896	-1.006449793	0.5765858349	-1.260147843	-0.1994367488	-0.3788467878	-0.9448385152	0.4732759283	-0.2558212621	-1.355292905	-0.5480464188	-1.666224627	-1.169238844	-1.315696604	0.09397124075	-0.9473712651	-0.3193323189	-1.332651924	-0.4497450221	-0.3327589144	-0.4650576186	0.07081272776	1.101749454	-0.9240849417
-1.129662981	-1.260273449	0.2183322537	-0.9464036023	-0.1507547798	-1.26388717	-0.2959530485	-0.3367826767	-0.1936510045	-0.1902955467	-0.3847831816	-0.8406811205	0.3549071069	0.5285885492	1.644694512	2.070918872	1.814573528	-1.091650492	0.1942166962	0.1453821019	-0.6528540674	-0.4196754193	-0.2691552779	-0.6670469953	-0.08479515851	0.442437809	0.01646454014	-0.4982094045	-0.9239664178	0.7391254765	-0.2955903508	0.3360921034	0.6121018051	1.094533509	0.5827223889	0.5939921348	-0.4150643084	-0.3939388302	0.0363649838	-0.9306208199	0.2141698057	-0.5018995546	-1.201524702	-0.5289157715	-0.5944955001	-0.5598990112	-0.2521235516	-1.014432102	0.2695289343	0.2001839706	-1.621116492	-0.7108847442	1.557590174	-0.4517234628	-0.432026993	-0.3480173283	0.8737164425	0.1349739069	-0.1479676722	0.4166542079	0.6976206844	-0.6432278824	0.8465132209	0.166663796	-1.623680741	-0.8147814099	-0.1475057264	-0.1991180265	0.3952526401	-0.9062334202	0.2990855378	-1.323268447	1.308810312	0.937510357	-0.05805890317	-1.494320769	0.1273999414	-2.053345699	-0.7650157931	0.7041953093	0.423367682	-0.1007567561
-0.9747520789	-0.2705614321	0.3894031735	-1.057467884	1.246538298	-1.072227726	-0.3368294675	-0.87915775	-0.6037069818	0.8247210975	-0.03940923088	0.1608252796	0.04231899515	0.4937609077	1.704342866	1.278632613	2.234175083	-0.4596780963	0.09913170107	-0.3941379611	-0.325049424	-0.2869499795	0.1692864293	0.4986180779	0.09490557951	0.7103824354	-0.1249947345	0.237824739	-1.707722307	1.395820745	-1.207765276	-0.3358934929	-0.2273104058	1.132352468	1.863127318	-0.3578414303	0.2235222857	-0.3510883374	-0.4101730721	-0.03207373042	-0.476788878	-0.3828043803	-1.210351118	-0.6776553013	-1.026255267	0.1712995082	-0.132073881	-0.8434352485	0.03881799233	-0.3647956747	-1.043294277	0.1206046225	0.4707999959	1.007709826	0.1705130041	0.2870775949	0.8989232379	-0.7475430919	0.3032294172	-0.3087666587	1.212647082	-0.2052171547	-0.448176798	-0.8348341103	-0.2107891064	-0.6928233719	0.2161457248	-0.08541506914	-0.6455381305	0.1430450917	-1.635522599	0.4392198547	0.5490327096	-0.4546745742	-0.8217040752	-1.141452027	-0.3030389572	0.834020672	-0.3524050543	0.7829572667	0.2312455104	0.04106303655
-0.9668929517	0.7469346491	0.4520588013	-0.6517929291	0.5776899812	-0.9589830943	0.02353792503	-1.244129757	-0.4120485294	-1.122022115	0.09343286838	-0.6066821471	0.8820986068	0.986877956	1.293665543	0.6184185427	2.127625137	-0.09590986622	0.7723345334	0.3334177647	-1.005030991	0.2365587091	-0.296702361	0.1836053379	0.6193542873	0.8729016047	-0.220784302	-1.754211254	-1.655865249	1.133141387	-1.561211885	0.3831397596	-0.1792461002	0.5075563863	-0.05426325047	-0.1832779707	0.1511386948	-2.006136977	-0.06335153729	0.2976924295	-0.2864096474	-0.5862247841	-0.2955604793	0.2423219009	-0.8852660343	0.8858253571	-1.025740903	-1.838490631	-0.9015519504	0.6265737404	-2.08692629	-0.4343508697	0.200289289	-0.1624120911	0.4501260285	0.7124352805	0.3635677102	0.1894054971	0.6137872892	-0.3691713104	1.359025099	0.3133476403	-1.167168106	-0.4573014428	0.324871443	-1.281974117	0.0635727724	-1.270023292	-1.126799741	-0.9268067266	-1.328435707	-0.3323518132	1.184220032	0.834759073	-1.448883962	0.1423511874	0.7867702181	-0.07362637118	-0.2677455808	-0.1946418333	-0.06110148075	0.3752886919
1.592788423	0.4324432449	0.2526266515	2.269913765	-0.1694285565	0.165982776	-0.2569626158	-0.6758612043	0.01618163333	0.3898344739	-0.7125729827	-1.290167588	0.1260711338	0.6499217379	0.1283296854	-0.9619334811	1.823670065	-0.5498789205	0.9012486623	-0.3573340998	-1.345026164	0.4680737746	0.5616911682	-0.01491487741	-0.1526321229	0.2721368776	0.4447224438	-0.4382068264	-1.232638219	-0.2210092686	-1.416732086	-0.1354370739	-0.1983814711	0.4285575106	-1.878331584	-0.6776649186	0.7372405765	-0.3293639693	-0.5375842529	0.8645553432	0.03605405887	-0.2725685041	0.6458730003	-0.4887863246	-0.5391669052	0.8743986057	-1.241770268	-0.6080566166	-1.476614818	0.8282661557	-0.1871475843	0.5579544032	-0.2012910829	-0.5529866217	0.9741461936	-0.5128250902	1.173490788	0.2267698244	0.2051583298	-0.0724219421	1.319831725	0.3904948029	-1.353518871	0.2958516023	-0.1321187491	0.07179558675	0.04854549122	0.8210780886	-1.390385228	-1.130338986	-1.07556161	-0.3600344521	0.4345529392	-0.06286589868	-0.5639620869	-0.3193243355	0.9863265438	-0.01092305801	-0.4740881206	0.07208039782	0.4911915489	0.23560684
