melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067
-0.4150286088	-0.8184516767	0.3603041048	-0.5138295413	1.198456313	-0.6745973526	0.3804296431	-0.4580020741	2.380705095	-0.9434226968	0.6999638233	-0.4580215297	-0.2639125502	-0.542566473	-0.9731382887	-1.104089618	-0.8416310547	0.6059410095	-1.164784232	0.4126511132	-1.728235846	0.008467115928	-0.6980451591	-2.21106298	0.01931419712	-4.920605665	0.8415502332	-1.229875468	-0.9110183071	-1.011775553	-0.5251749002	3.994226071	0.9310349637	-0.7831742794	-1.673160691	-0.8637783821	4.440868936	3.735241864	0.3098259057	-1.249570792	-2.876498808	-0.6080034723	-2.796425818	1.232948775	2.059228993	-1.748149892	-3.310693108	-1.790598831	0.1023758572	-1.277516755	-1.830204965	0.8391854881	0.7934933593	-2.390135521	2.68946178	0.08946215059	-1.325323395	-1.882961494	-0.542260415	0.0413952459	2.989809371	-0.7933005646	-2.491689441	-1.782042439	-1.50146183	0.08181141065	-2.171720423	-4.306433292
0.4716407534	2.070932107	-0.6295068448	0.3311912965	0.5301053278	-1.227015894	0.6317989179	-0.1600310451	-0.7980356426	0.3957729302	0.5574736497	-2.19578901	0.03336795002	-0.5227651044	-0.8430339425	-0.2809707647	-2.416955128	-0.2972575788	0.1911533976	2.385606386	-0.9188450858	-0.5041590531	-0.7321882809	-1.252458073	0.2419809059	0.8097788549	0.4288405145	-0.4343221293	0.07796875447	-1.104699783	-0.2168062095	5.503979063	0.02990111196	-0.5486374121	0.3359346144	-1.230430598	9.473800565	7.501272826	-0.8998249603	0.01886985247	-2.235030766	-0.1871844775	-1.721311157	-0.1509442534	3.491838755	0.1185822479	-1.515089378	-1.931568352	-0.05510745572	1.552501643	-0.5096000442	-1.353737796	0.8138875055	-0.9196066702	1.310514162	0.1083847479	-1.8407283	-1.617665595	-2.408670547	-1.103317773	1.387045505	-0.2516183472	-1.330080786	-0.2763973107	-0.4567017557	1.031353409	0.1336026743	0.7170906946
-0.4885425405	-0.8844962839	0.3126108382	-0.7933035858	1.350380427	-0.4401697055	1.197096724	0.2353891419	1.680943176	1.123585794	1.490594029	-0.9325700377	1.288325136	0.2487478822	0.3755804363	1.292041975	-0.7001071811	0.2797500445	1.312123303	1.36981846	0.2675469431	-1.072370313	-1.118251004	0.2452862659	0.4200490152	2.301524481	-0.2775432606	1.010248815	0.8107844673	1.105415106	2.360218862	0.9566909258	0.59487398	1.972072749	1.184701533	0.04415657021	1.559777476	1.067831537	-0.3029739485	0.5216754798	2.063546279	0.3601137385	0.5604103032	-0.615459589	5.2481391	2.419061228	1.903553277	0.5084184782	-0.6828235275	1.857320005	1.795876846	-0.6129646616	-0.1307043516	1.700901302	1.282467321	0.05462842031	-1.577319842	-0.7001493938	-1.831178545	-2.569759123	1.252162512	0.5485041055	0.7129704139	1.578702522	-0.3788737603	-1.47147478	1.039451707	0.727884639
-0.839664113	-1.18748883	-0.4180156893	-1.044802396	-0.2061708839	-0.4812054499	2.042855458	0.4974191585	1.697778639	1.432169384	1.31128691	2.299268758	1.233810282	0.1910489887	-0.2868648562	1.821007793	-0.2068760994	0.9756700933	-0.1390323231	1.178453678	0.7015383716	0.6132889632	-0.8170189863	0.4066798047	0.2148570677	1.196468608	0.6520043934	-0.5132911777	0.6012237762	0.595743306	1.179741962	0.06402035554	1.289012489	-0.3118517991	0.707164295	-0.1076445605	0.1692123134	0.1147038731	0.7313266897	0.3502430465	1.543877884	0.003658711891	2.102438139	0.87777809	2.777069672	0.4377551879	1.196403203	0.7933998295	-0.5186848823	0.3720685145	3.180291663	-1.068871348	0.1728544519	0.2608954124	0.3442348901	-0.4502878538	-2.067711064	-0.2686706981	1.898440754	-1.002532164	0.6180027361	-1.466294328	0.9656879548	2.13615001	1.345276641	-0.8851512749	0.1841242423	0.3524104799
0.07146298294	-0.5529823308	0.9058251176	-0.9942031717	1.665035947	-1.481825027	-1.171755058	0.1198315629	2.4738185	0.6217787206	1.008597174	1.801462965	1.145408168	-1.199676418	-1.27016271	1.811426451	-1.457205462	0.09303951007	-0.4211652375	0.7420628979	0.386191231	-0.04496018721	-1.021509161	0.09202971114	-0.9419092795	0.9936170245	-0.6200654495	-1.442649325	-1.679545127	0.01261958449	-0.8285533692	0.0363540631	-0.03678039048	-1.268560691	0.4249324075	-1.185505539	0.4333309625	-0.3635019825	-0.1352576497	-0.35661179	0.3184627385	2.28189778	0.8610699097	0.5492197077	0.03493122722	-0.1201999154	0.2154218829	-1.329591512	-1.267814334	0.9620542466	1.441680322	0.02644976556	-0.7252124655	-0.02658424055	-0.2699376601	-0.9457658184	-0.5038930865	-0.18288621	0.4070388377	-0.1368896455	1.723549795	-1.098914501	0.1052606944	0.1676257396	-1.147593135	1.099381912	-1.221560712	0.9134760499
-0.6665511957	-1.371536348	-0.08363271115	-1.328019456	1.049788866	-1.582735316	1.157442327	0.5920418861	2.226243875	0.5057310545	1.163241437	0.1548382571	1.137151836	-1.607794775	-1.663220794	1.733917545	0.4388759161	0.03625332616	-0.9999172374	0.9814132078	-1.612763001	-0.925287223	-1.443487876	-0.1323611271	-0.9826080193	1.189862108	-0.3241071662	-0.7351260048	-1.951311705	0.8980784707	-0.5639916334	-0.6041026199	-0.5079618956	-0.4911625996	-1.48282318	-0.7221941157	0.3142940036	0.1716585601	-1.725177547	-1.94819603	2.231045256	-0.9592379868	-1.418740342	0.534880725	-0.6690748136	-1.02256402	-0.2918817719	-0.3916560022	-0.3800575369	0.7122322447	0.5897436711	0.5007732726	-0.7410909289	-0.6585979498	0.8499348432	-0.8597367905	-1.772202214	-1.599621051	-1.415049712	-0.8642917618	1.107334749	-1.057228637	0.02629109931	0.4833894538	-1.250149857	1.532307809	0.5753197869	0.8573676183
-1.039288929	-0.761621283	-0.8601398638	1.177651478	-0.2208359986	-0.8901773945	2.521539175	0.7427531648	-0.3795194968	1.431078612	2.201251929	-0.9899239263	1.788422558	-0.8120900438	-0.7514278911	2.68505689	-0.001558880776	0.9283098605	0.5547648124	1.499157763	-1.40102847	-1.367012196	-0.6368055409	0.590969299	-0.1873096783	1.145418524	1.189020271	0.6336767164	-0.5047757571	1.299355257	-0.08613590138	0.1175812929	-0.1139524689	1.234950493	1.181052294	-0.393176452	0.1536733646	-0.5460719674	-2.219699995	-0.4427599018	-1.026587415	-0.8176387347	-1.002532776	1.262828547	0.4907283687	-1.181831801	-1.162569108	-0.356871081	0.8454954982	0.7732748753	-0.5370853073	-0.9302132116	-0.3145083752	0.4641669349	0.6143691538	-1.286957512	0.4904472983	-0.1019256377	0.5524032531	0.3538855266	2.567312778	-0.5031619088	0.7106259086	-0.9392524972	-0.5694856611	2.946109609	-0.08055959488	0.3132802653
0.5324012495	2.013611617	-0.6144966386	1.060091097	-0.3225383483	-0.03754021269	-1.21730648	1.524760215	-1.08744187	1.479816627	1.941988565	0.6458205441	2.672180079	0.2632430009	0.7770437893	2.920538194	0.9889055812	1.353475633	0.3311904551	0.7892945042	0.5252595611	0.2329297574	0.4677769782	1.861147746	0.4195594755	1.254291133	1.487214663	1.605755643	-0.07036291799	0.7672195764	0.410259544	0.3189207723	1.193207967	0.6997774463	1.36782665	0.6534351476	-0.1517638141	0.01151639014	-1.500282488	0.3570262558	-0.6276028542	-1.312222871	-0.3925880616	0.6062166762	0.1230011657	-1.054363594	-0.01304652275	1.04377566	1.634911931	0.7636909291	1.73183135	-0.5864216278	0.4973353785	1.104168943	0.2750811262	0.6981607875	2.142029377	1.75040386	-0.2900583398	0.6170088256	0.4299690862	1.125708168	1.914977189	0.1771612697	0.7514023961	0.3861952475	1.980418355	-0.05313625925
-0.6007181023	0.03908770257	-0.6815986031	1.365330953	-0.9639338834	-0.5414229473	0.01919831795	1.285455414	-1.096639812	1.681344866	0.4285857613	3.16718715	1.738036594	-0.2382444488	0.9068428534	2.094199116	0.3654970275	1.13980625	0.4505437891	1.54980769	1.348134948	2.096709707	0.7344787381	2.111741925	0.4162679084	1.347322397	1.325765573	1.474254213	0.05763314627	0.01181463317	0.5302237891	0.8171019038	0.5673199973	0.3412997626	1.587786992	-0.1080769029	1.902412465	-0.9688442472	0.3137392438	-0.8332657783	-1.686951456	0.5774444629	-0.5830675437	0.8983367205	-1.03181164	0.3870195542	-1.429331283	0.422966276	-0.178706669	0.1989473825	1.518799748	0.672002089	-0.1373685693	1.15415568	0.196065431	3.758623835	2.117125377	2.542133593	1.659031318	0.8066510027	-0.2952855683	0.1509578731	0.3915014609	0.3229358775	0.06679874183	0.5636959875	-0.1796483838	-0.7575449215
-0.7682619311	1.168405347	-0.9321588883	2.214199834	-1.326424981	-0.9878667196	-0.2582209344	1.067485494	-1.359872419	1.608397824	-1.177123633	3.306614256	0.2660554399	-0.2650535961	-0.4034095615	0.7994718169	0.8695243068	0.255471604	-0.8270085633	1.052269636	0.1915495611	0.4097368363	0.009480778588	1.661826943	0.4023168566	1.229009818	0.9368350444	0.9928353665	-0.8941804069	0.5057360001	1.137228317	-0.2185472396	-0.8037711836	0.07677435708	1.822704432	-1.031425562	1.251870157	0.6170829816	0.753786494	-0.2136166419	-0.6217236568	0.08960647971	-0.7522316101	-1.132967219	-1.858739951	0.7562986456	-0.3246974166	-0.1507042892	-1.744479018	0.6679507313	0.7936005988	0.6443142496	-1.329140663	-0.8161284341	0.1252201253	2.187231464	0.6907342903	0.429158599	-1.387261347	-0.1698319914	0.2662674343	-1.070623915	-1.37606266	-0.4977520221	1.397361618	-0.5123677981	-0.3690033827	-0.2462790831
