melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087
-1.086547519	0.1196783053	0.9190783646	1.164910982	-0.4946622974	1.273129992	-0.5501624848	0.1998297945	-0.8119129464	-0.04457058045	0.6402405465	0.7121934808	-1.110314721	0.3072857625	-0.6330378077	0.1547514441	-0.2832886352	-0.1188478486	0.02071895816	-0.03589097788	0.364595796	-0.8245453445	1.252876751	-0.2556110133	2.317834895	1.159413474	-0.5429181355	0.4084707682	-0.2111753092	-1.072305371	1.18497754	-0.3929528331	1.605233469	0.71790339	0.7045812752	1.139948593	2.317913369	0.5141894476	0.9829487562	0.9779117198	0.1575328349	1.110248087	1.873305592	0.8724937992	2.008572032	0.2475046045	-0.4145381723	0.01585460394	-0.6187975934	-1.033812588	-0.4055048264	-0.1217754558	0.5887722577	0.8942636972	0.9265022769	-1.358831668	-0.5566152223	0.6920879704	-0.2915484686	-1.218554092	0.7763344442	-0.120649071	-0.4449864143	1.241805775	0.05424239515	0.06413765544	-0.2944431801	1.268923247	-0.8103744274	0.2199261275	-0.8148134926	-0.9728336166	1.687527312	-0.2488459772	-0.4830429024	0.02314401724	0.9086417149	0.7336809661	-0.5406887221	2.139281271	-0.8736718968	-1.290894533	0.4765923602	-1.136032862	-0.5545329735	-0.1690755978	-1.699789577	0.1132378405
-0.9601460188	0.043602356	0.6897259751	1.141633376	-0.3857571439	0.4420307887	-0.7064111999	0.6134974492	-0.8662288431	-0.2314564326	1.737244573	0.7833583791	-1.028773663	-0.07735956335	-0.8337791191	0.001650047949	0.4186112807	-0.587907048	-0.125387395	0.6690235896	-0.05400321971	-1.691347104	0.814548251	-0.4228922017	0.9990035266	1.08987358	-0.4337908937	-0.0235669804	-1.042559559	-1.197229349	1.873322827	0.0554933481	1.498315994	3.024468075	0.3503114629	1.369962644	2.065283441	-0.4687942682	0.3676657919	0.6038972233	0.7069597959	1.089930978	1.014744459	0.3745565937	0.7253464581	0.1058287413	0.9702955354	0.6031176911	-0.1345694034	-1.067734325	-0.2027000378	-0.1531581855	0.5816403746	1.034202619	0.8733947766	-0.8937557137	0.06814056396	0.4075162316	-0.4604637564	-0.7428214116	-0.2175526713	0.4659866311	0.5045854408	0.8597900353	-0.7841694434	0.210183928	-0.8402262621	0.8281141093	0.1443069607	-0.03531925978	-0.7442019244	-0.4579677626	1.261291193	0.2159981558	-1.040826266	0.1087836292	0.9959432054	0.7261577785	-0.4075482	1.885923185	-0.9474253674	-1.422556567	0.09701890465	-0.4071241493	-0.4555749621	-1.385613065	-1.916093717	0.5160617572
-0.6772151015	-0.08287765164	0.3651091857	1.239474326	-0.9980219685	0.4542709747	-1.227351388	0.2615629081	-1.252870258	-0.6130842473	1.188690569	0.9025578224	-1.101165577	-0.1479755387	-0.8905772901	0.1002163353	0.6282737076	-0.2940260589	-0.09602727492	0.2983618939	-0.594703268	-1.352559016	0.5214866732	-0.726506676	2.241044907	0.8428471545	-1.341904221	-0.1989164335	-0.8939502385	-1.357575256	0.9951463734	-0.5099934638	1.321411424	0.6455923019	0.1294187697	0.9828514399	1.093233663	-0.06812498748	0.3104244468	1.038011594	0.8272440411	1.157590103	1.344867964	0.4062708658	0.6676581096	-0.7809406158	-1.264304618	0.1654356792	-0.7239962717	-1.468530996	-0.7111714954	0.03723707758	0.840728803	0.9578021636	1.073585965	-1.029863593	-0.2516730368	1.185896032	-0.8670367707	-0.2881912113	0.1837909637	-0.5227391357	-1.03314296	0.4623043298	-0.4338637102	0.3440885003	-0.6399585551	0.5419131763	-0.4055388207	0.9064974708	-0.3001041487	-2.069838794	1.247902513	-0.4592345836	-0.7779985544	-0.6930150124	-0.2722968988	0.1198226304	-0.6472507763	0.9137558795	-0.8956645395	-0.7061146845	0.2546071418	0.2513562064	-1.251364727	-0.353866202	-1.659774064	0.2118404104
-0.785439799	-0.08024476127	0.04180886595	1.405797538	-0.2642270943	1.734655996	1.435531863	0.206628952	-0.4991604337	-0.2439972526	0.2281679102	0.5304492302	-1.331313913	-0.5333896953	-0.4846582595	0.4060621736	-0.2837199374	-0.1972984011	0.7315831686	0.8037693584	-0.3432768812	-0.715355272	1.55259148	-0.6650042731	1.74886537	0.6794055215	-1.273694714	-0.79861986	-0.2440341401	-1.473401012	0.512779857	-0.02634938535	0.7601911405	0.3096054716	0.6556484171	1.588820704	0.2781350979	-0.9686353382	-0.7992419858	0.5625837061	-0.204429465	1.771211436	1.526231816	0.9629086024	1.375624083	-0.7073376539	-0.220793785	0.5026542877	-0.009472407122	-1.577046795	-1.022957031	0.06193210314	-0.2652182973	1.116976708	0.4608813061	-0.4243769367	-0.8673871955	0.9324840382	-1.328983623	-0.3655593536	-0.4297021812	0.2439358934	-0.3273729134	0.0974691526	-0.7985855921	0.665312786	-1.197559051	0.7759145601	-0.6751394025	2.363009491	-0.6826431618	-0.4029661736	0.8342668423	0.1691947599	-1.395853222	-0.5205486759	-1.297189719	-1.045792831	-0.8537424785	0.2709681114	-0.3837678905	0.3916139281	0.6705287285	0.7280351289	-1.104414122	0.4327847347	-0.7443431879	-0.4064436671
-0.9283979289	-0.2324844448	0.006180103182	1.205877161	1.825746719	0.7077362027	1.01169973	0.7307610751	0.9219693644	-0.2660904215	0.2738639929	-0.7427468294	-1.25756738	-0.6262351827	0.06584587857	0.4416790334	-1.431475087	-0.6006501106	0.7790058973	1.028979052	0.08213576942	0.1179775118	2.116289694	-0.057290244	0.6724454623	1.165247186	-0.2349945866	-0.3672850624	-0.288183675	-0.7769693565	-0.009403862665	1.665231289	1.074732423	-0.545573954	1.109490426	1.713845346	0.4468120217	-0.9114535371	-0.4123556989	1.170810169	-0.2154107351	1.837874416	-0.1294528199	1.22673557	1.529890908	-0.1248903316	1.01136276	-0.2751071562	-0.1800937939	-1.387134697	0.4096580406	-0.6739720766	-2.358935935	1.563859071	0.458723645	-1.118147158	-0.4636780442	0.5561122349	-0.9181452187	-0.3664360669	-0.6235580807	0.9306763449	0.2600432904	0.4163394351	-0.5090659865	0.7645333442	-2.072790044	0.3622908692	1.280917075	0.3690541375	-0.5167770399	-0.070973985	-0.004410273534	2.282497208	-0.6362973651	-0.1800802448	-0.6088850533	-0.8274259756	-0.7297765007	1.553443387	-0.5305038288	0.4313535833	1.052226914	-0.2038934918	-0.2560244491	0.3737883449	-0.9424270091	0.7275254492
-0.2479557125	-0.2145516491	0.09092984484	1.668261185	-0.01411055018	-0.722012685	-0.7858145714	0.7981848997	1.000908718	-1.187030522	1.208270177	-1.553827481	-0.2830260622	-0.4194205227	2.390448038	0.05953380077	-1.715971201	-0.5822653049	0.8001303411	0.715607748	0.5038532746	0.6587246801	1.029788131	1.16830321	1.848221654	2.111118717	0.9206230449	-0.2292257084	-0.5475011136	-0.7305838818	-0.263663961	0.2784648544	1.701856771	-0.2844089794	1.288800676	1.833472074	0.6537285003	-0.07783937625	0.4146271537	2.217885782	-1.0149317	1.576995874	-1.476004524	0.882297469	1.530843803	0.5584005888	-0.9131931506	-0.5678728971	-0.8369172074	-1.030295889	1.302777316	-1.287005527	-1.542476687	1.255120294	2.252830817	1.706993743	0.7479131515	0.5406790007	-0.276036252	-0.5245263046	0.2457122431	0.6509715596	-0.8100939057	0.3277142452	2.084955781	1.019170276	-1.758743683	0.9032790285	1.57418661	0.04650118505	0.8720173937	-1.109990046	0.5456577079	0.8238165149	-0.1349908081	-1.118829522	-0.3315249452	0.2635109973	-0.4432785649	1.63970491	-0.8997774072	1.430197092	0.7733733202	-1.196019939	0.0454294725	0.4545766649	-0.5498725018	0.5169582444
-0.0137868801	-0.03641953763	0.3036770212	1.675253039	-0.1981450243	-1.066652868	-0.8019518305	0.09577020807	0.446284058	-0.4993850607	1.892478511	-0.7581428181	0.04296413619	-0.5827885104	1.398609196	0.1502910852	-0.9891137888	0.7318530739	0.9381630422	0.6789731326	0.7063770882	0.4260435789	0.461100673	1.325789931	1.472915728	1.92486249	1.518910068	-1.42369745	-0.8308679774	-1.149354537	-0.6843990304	1.237023943	2.322694936	-0.8628808414	1.079024829	1.440456129	1.258212501	-0.3333910494	0.5066863484	0.852470786	-1.836684849	0.3736174088	-1.092140593	0.8702315559	1.35967599	2.306564126	-0.2679803772	-0.0412210075	-0.1986568248	-1.00970035	0.7069598786	0.2412910041	0.9347477029	1.264870682	2.54818858	2.421374262	1.814890107	0.5295279001	0.3101272218	0.5843293627	-0.2395248042	0.3615367636	-0.2012398032	-0.02319787007	0.4793992232	1.034677234	-2.033120468	0.6649426385	0.5566931021	-0.2040346872	0.3516149532	0.4912045397	0.7927105261	0.02305123509	-0.9228580693	-0.6918669641	-1.08214583	-0.461019467	-0.2555230661	-0.07502894184	-0.2144175215	1.619352681	0.2233839531	-0.8659487511	0.09616383812	-0.8246661984	0.8672423119	-1.065070641
0.1177070979	-0.05874147658	0.2476797596	0.4346069088	-0.6674233664	-1.16662495	-0.7041271986	0.3637410271	-0.08850236415	-0.2431444966	1.892065995	1.034962574	0.2513718703	-0.5056994524	0.3711365832	0.198613423	-1.29197232	1.818614047	0.9875844682	0.9864657713	0.2890334036	-0.7552172757	0.3502161994	0.3986479581	0.1623094842	1.251858121	0.6831577664	-0.89893424	-1.450599623	-1.096299776	0.8791129519	0.3979024878	2.537300036	-0.3201971539	0.9107713538	0.5253919072	2.074582544	-0.3409021275	0.7466750955	-0.1015120543	-0.1779036328	-0.2926136322	0.3367861886	0.9151614124	1.062154444	0.7477862475	0.3055899172	-0.4072017901	0.7395575224	-0.7589272131	-0.1085795313	1.174260262	1.257692091	1.007052289	2.208828401	-0.8097466068	1.204783301	0.5885192737	0.6166179102	1.566522491	-0.2027882954	-0.0469216821	1.421657031	0.1688126131	-2.092366076	1.352298482	-1.786429513	-0.1846518606	0.6750617076	-0.5430748789	-1.111010186	-0.1114741728	0.204255674	-0.133795	-0.6088749845	-0.1117810618	-1.520124254	-0.5367583731	-0.006443212482	0.5519441363	-0.1076560212	0.5459638964	-0.08672633583	-0.3526527824	0.1499179617	-0.6235310188	0.4847369816	-1.594438308
0.8977394477	0.05967002788	0.09661916436	0.8291549557	-0.6989367408	1.074466485	0.2680060198	0.9266615447	-0.4150095504	-0.4725403081	1.685945203	0.5315874446	1.18842035	-0.3049745933	-0.6109423563	-0.007860353372	-0.6185289568	-0.5471610526	1.344309393	0.7730541731	0.684522947	-1.236175038	0.4358245827	0.6758144604	1.078868358	1.175523231	-0.1921515817	0.1437423673	-0.8749179471	-0.2499447428	0.6037326974	0.341113747	2.545673116	0.8541828138	1.039842168	0.6590787996	1.881666832	-0.4507459251	1.390849091	0.2574517723	1.291525308	0.4866998023	1.541295452	0.7232334242	1.223943814	-0.5499882635	0.05154387924	-0.4291680088	-0.1849362901	-0.305469699	0.7209025222	0.9042312907	-0.7800920142	0.4287407064	2.737098364	-0.9412383772	1.810392253	0.0709231075	1.115698327	-0.2950620956	0.6230405203	0.4316031524	0.3063634543	0.6103206085	-0.5942040034	1.370889435	-1.34325719	0.546013702	1.927839914	-0.7249807551	-0.4378413113	0.2373922805	0.09749678477	0.5210381347	-0.2201197222	-0.01290726192	-0.4384422357	-0.2894501593	0.6304225497	1.001455055	-0.1931680227	0.3399599591	0.0237516196	-0.162470828	0.07440977582	-1.590356293	-0.4528905478	-0.02074963749
1.094887493	-0.01810851191	-0.02870788968	1.124805357	1.842245641	0.5574015389	1.502540934	0.1624816849	0.1262539614	-0.355703488	1.75535948	-0.03082124741	1.360787259	-0.7900186124	-0.1502871802	0.1353995963	0.7553591062	-1.098659535	1.349782711	0.6203468097	0.8971183076	-0.4637226897	-0.02039214335	1.3422152	1.559376786	1.920506979	0.9149177071	-0.7831359046	-0.7106289872	-0.3963422002	0.1750950978	1.057850018	3.050003806	-1.760943672	1.478800011	1.23625153	1.701865814	-0.4733150997	1.494065598	0.3821306914	-0.5317006056	0.5240279148	0.1600043803	1.095921573	1.250630312	-0.2032494588	0.5314999092	-0.5751708459	0.1957137246	-0.09395935334	1.160431164	-0.8370684099	-0.456925422	0.921800563	2.067245275	-0.02832513282	1.692545638	0.6663578607	0.9034807457	-0.3578523001	1.336202206	-0.8521960304	-0.2258877587	-0.5903800563	0.3756241767	1.895567422	-1.094781402	-0.07950653148	1.529748597	0.01779995541	-0.4423726675	1.365577918	0.8322134825	1.28303875	0.3504743042	-0.6626919957	-1.063338121	-1.633549736	0.649147566	-0.4505403002	-0.7354324279	0.1016852364	-0.230617719	-0.3573969242	0.6575284655	-0.8480666648	-0.01369183067	-0.5567653801
