melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080
-1.486291186	2.094578717	-0.7106505387	-0.8396772148	0.1203265038	-0.8552928268	-0.6152569888	-2.512293428	-0.03776157647	-0.2339432996	1.032860333	-1.569186617	-0.1874046723	0.06926247461	-2.539604657	0.1667531001	0.3616883322	0.7037509125	-1.234853984	0.2924292125	-2.021179614	1.603538658	-0.3549650859	0.09220515203	-0.7173167409	1.201601457	-0.5617319563	0.5105761327	-2.856900287	-1.053411954	-0.0565697601	-0.4734629487	-0.06111380106	-0.36282438	0.208841211	1.180228292	-1.029980085	0.8021268878	0.7555142656	0.07096750956	0.711030766	1.597057171	0.2062201618	0.5468413994	0.4050190685	1.141945064	0.8101238942	-1.399792406	-0.5352533313	-0.4024272251	-3.758228106	-1.361018909	-1.658489048	-1.041598122	-0.7239115414	0.1184819897	1.284845438	-1.010501869	-1.987669283	-2.402113545	0.5582519315	1.470147443	1.768630817	0.9485888218	1.004444773	0.9742042211	-0.5799480591	0.9173406945	1.065853429	1.332187085	0.7616705901	0.7575183717	0.1713687669	-0.1090406525	-0.3128701788	-1.640532492	-0.545492349	-0.5198429499	0.2451770763	0.04704373003	1.291256478
-1.206001533	1.856886216	-0.8369819078	-1.047817063	-0.1607249881	0.4379040856	-0.2793821386	-1.992552897	1.966093412	0.6424343225	0.7802772151	-1.193336039	0.2246307348	-0.5331963393	-1.188494372	1.0284126	0.5565651534	0.08921665543	-1.265267343	0.6754295103	-1.533412233	0.1089086737	0.3366343019	-0.2607184313	-2.0379198	1.567383469	0.6738185073	0.3359706662	-1.822277709	0.1347108944	-0.2094000349	-0.6983437422	-0.335757884	-0.4271688617	-1.06493036	0.9546081859	-1.277093083	0.3628489983	0.0760339761	0.6208073516	0.4400514538	-0.04473953029	-0.4763570996	0.9645931662	0.08061551205	1.196896377	-0.2669378258	-0.2846412384	0.4328441401	0.3721094809	-2.21356288	-1.429583581	-0.7024157996	-0.7572500192	-0.2153150107	1.276238026	1.785876631	0.4798246858	-0.8505669898	-2.508187063	1.093033166	1.439121147	0.5671237902	1.115326293	1.306836221	0.7981776301	-0.6006111533	0.1295256329	-0.8274475484	0.3331005487	1.608274439	0.3289535866	-0.8941218722	0.1492918171	0.5352700176	-0.9952121314	0.1603664921	-0.3307433018	0.6061326565	0.09324069683	1.170647307
-0.9278410686	1.577072701	-1.010442902	-1.311209143	0.3571983914	-0.1294659961	-0.775826408	-1.65325812	1.7232518	0.3564602551	0.2058327329	-0.2111767825	1.766236825	-0.2668756564	0.08278651081	0.7269787967	0.7038678238	0.0823506018	-0.8154752694	0.6506736258	-2.105361794	-0.8069292234	0.3108833464	-0.57790127	-0.6190337895	1.372166985	0.8474027657	0.6971491101	-1.005673204	-0.3254290663	-0.2659316807	-1.064568894	-1.100639472	0.7721546702	0.2952220784	0.0996602835	-1.278196204	1.821609234	0.006336018783	-0.09241465867	0.08256134345	-0.4174095001	0.257060653	0.7174999677	-0.5929510792	1.04165175	0.3826769432	-1.783744734	1.022771502	1.784334318	-3.122788454	-1.652820207	-0.871831668	-0.796618663	0.4485044766	0.6808471023	1.286476242	0.218442895	-0.0008551367636	-1.869896266	-0.1823492716	1.185317602	1.021477527	0.4519992783	0.2290407889	-0.06824285612	-1.311726485	-0.07980225886	0.3166288373	0.4777942343	0.5766267844	-0.005614245663	0.06776467862	0.3714260108	-1.055224012	-0.4053268674	-0.3623557997	0.2399636262	2.034521195	0.210658811	1.09234974
-1.185518928	1.228431458	-1.037848168	-1.147753085	-0.5886249769	1.332653767	-0.8138657752	-2.036876528	1.953922038	0.9114845069	0.3069881489	-0.4494598223	1.488052162	-0.6576121138	0.2052135276	0.2062016269	-0.1967011893	-0.5229596619	-1.609892915	0.2673200701	-1.625968716	-1.074151498	-0.2965884719	-1.479989151	-0.8533304398	1.096983104	0.342470848	0.3625209343	-1.619528361	-0.2549178571	-0.4672708203	-1.414470621	-1.718347602	1.123351998	-1.121638735	0.4756118855	-1.307137017	0.7069670286	0.1702816919	-0.895500163	-0.1845537542	-0.7139498942	0.5394149183	0.003621131068	-0.2890537423	0.8672715058	0.1207428053	-0.7105516161	0.3470675855	0.8449958633	-2.384204321	-1.45163098	-0.7873831513	-0.8069025737	0.2852892512	0.3624805695	2.128978595	0.4546663464	0.1265173419	-2.254095135	1.050461031	1.035943602	1.021775618	0.7636980308	1.076458481	-1.25830607	-1.479467263	-0.9012996758	-0.6234088647	-0.4896945549	-1.020626861	0.02031567287	0.5238406125	0.5813890103	-0.9857576418	-0.9490019574	-0.2745414532	-0.6151361121	1.217591011	-1.514150585	1.477045702
-0.8836069718	0.8791843988	-0.6045447455	0.6277113931	-1.474420674	1.527449602	-0.5000833424	-1.532123501	1.062819595	0.8920230341	-0.5000443387	-0.6365874142	0.7955088159	-0.2493043169	0.09204674683	-0.103037699	0.2638065056	-0.523083137	-1.149810234	0.7183570256	-1.399368909	-1.202577262	0.005283624877	-0.9108331353	-0.03639101171	0.2508792843	0.1233354665	1.81027727	-0.8031896762	-1.291182368	-0.4823672117	-2.035018757	-1.033643316	1.176044529	-0.9180102187	0.1785172096	-1.196574617	1.125801483	0.61208332	-1.505251928	-0.2952813093	-0.411451729	-1.717557265	-0.1306157951	-0.9047395153	0.3420381409	-0.01047567636	-0.4463302634	0.2223894102	0.9729024709	-2.103509064	-2.501832353	-0.3030905844	-1.175312401	-0.06412374675	0.1329972594	0.9698961936	1.153472252	0.1970313131	-1.173607861	-0.5716039311	0.725255691	0.117437595	-0.5529408971	1.435167686	0.2096230233	-1.7707481	-0.8929923392	0.07058155595	-0.6836044559	-1.638529848	-1.402258783	-0.1939188726	0.9141567131	-1.526873759	-1.258394567	-0.8704389768	0.6056170789	0.891334666	0.09482821	0.2312390471
-0.6426795993	-0.7665360747	0.3473219702	0.9822418518	-1.281010014	0.05192187613	1.693755218	-1.830713376	-0.2812744719	0.7683166301	-0.9359274332	-0.5217743067	-1.202426181	-0.5539202842	-0.04445211853	-0.2285281073	0.1497833612	-1.414042878	-0.2233850888	0.5621951205	-1.572589919	0.6186348914	-0.02724375316	0.1440993229	-0.06692859701	0.07859259894	-0.09789116673	-0.4537224447	-1.142820768	-0.6371644091	-0.7441980344	-2.027032216	-1.146704098	1.713816925	-0.6488293294	-0.2431714435	-0.02031102463	1.08238792	0.007854222884	-1.277119475	0.3686349032	-0.5933178664	-1.260434135	-0.6098365988	0.2858851565	0.6823962821	-1.01776631	-0.2841617798	1.261612109	1.787423084	-1.685887041	-1.77029099	-0.6874713554	-1.282626808	0.1123890233	0.06536535466	1.31418607	0.9871183778	0.7347525991	-0.4581367281	-1.026556695	0.4163712731	-0.06447146418	-0.5280275028	0.04929595198	-0.8752564361	-1.184068243	-0.9116047662	-0.1184230414	1.006922322	-1.103321794	-1.135898931	-0.8482689446	1.258794836	-1.040613342	-2.070122656	-1.289062936	0.05435924988	-0.4399045258	-0.4710540871	-1.593352709
-0.7360705577	-1.036985687	2.23001483	-0.4652485855	-0.6001393308	-0.4941496041	1.19558119	-1.869326545	-1.092814717	1.211011216	-1.154704108	-0.4524586324	0.0704312166	0.3351621895	-0.7613257578	0.2820057221	-0.6589276563	-0.6339564917	0.6460766461	1.025344469	-1.278678527	0.4358812405	0.1345960869	-0.05828873978	-1.387405864	0.8093017228	-0.2271394977	-0.2951570578	-0.6140732104	-0.4343565659	-0.5728327996	-1.592120157	-0.5037201764	1.008622537	-2.556295828	0.9352069373	-1.619747714	-0.8734538682	-0.2957625838	-0.3752130362	0.1414479492	-0.7983704506	-0.5304531228	-1.157785221	1.533589328	1.200408674	-1.183072196	0.04837055215	0.9478123193	0.86876061	-0.02146595663	-1.124347017	-0.4822060629	-0.1443436534	0.5994637265	0.2239348931	1.740592627	0.6872265612	1.702762993	-0.7064550592	0.7054965551	-0.004184236715	-0.6813796045	-0.9166048988	1.461043071	-0.6272518298	-0.7012758697	0.1271164653	-0.2639417252	0.391862032	-0.959287268	-0.9199533516	-0.5019685505	0.76485404	-0.3521142414	-0.9117481207	-0.3098776443	0.2692892444	0.4781617468	1.179834063	-0.4184189412
-0.3783573613	-0.9658489178	1.178565705	-0.5922070439	-0.569083076	-0.941989615	0.2155625863	-1.515220987	-1.204350216	0.01859767759	-0.4387123031	-0.4108263958	-0.5350578788	0.6601370009	-0.3578142652	-0.2887560407	-0.8237797531	1.881850254	0.9328202899	-0.02013515085	-1.374499922	1.019354073	-0.3902061735	-0.7948017818	0.2480506097	0.1848608883	-0.9997407222	0.3314717828	-0.1058395366	-0.6804421997	-1.145427288	-0.9842914694	-0.297663351	-0.478112823	-0.211035431	0.672595686	-1.321588057	-0.9347705195	-0.7874595736	-0.5799159816	1.720353104	-0.605008796	0.1686031605	-0.5286389939	0.4929392391	0.1992458114	-1.847145995	-1.080233124	-0.857161535	1.918893277	-0.2690457814	-1.796211538	-1.167226372	-0.6539197363	0.7079372816	-0.6908532543	0.8990176451	-0.6835297637	1.641532541	0.3831107408	0.8654038981	-0.01214291193	-0.6635539249	-0.5023506058	0.8038961833	-0.5505942321	0.6742468675	-0.2156261953	0.2979039359	0.478962642	-1.091884099	-1.014222452	-0.2623188572	0.1906243714	-1.189291938	-0.670050148	-1.20583656	-0.6872811715	0.4213948923	0.4514839948	0.5244411551
-0.3404746336	-0.1549012155	-0.3475950761	-0.9373087369	-0.4870026618	-0.6898701182	-0.3288498444	-1.398982316	-1.133694955	0.3828249559	1.323421929	-0.8476536383	-1.34500929	1.133752819	-0.1043653989	1.206643496	-0.6501654831	0.9472767595	0.3950178605	-0.04953282445	-0.8228816341	0.722667155	-0.2697769344	-0.377189991	-0.6285800414	0.2484944007	-0.1029509644	1.234747022	0.5242297227	0.2228095525	-1.098516382	-0.1210702659	-0.8294514636	-0.7143342168	-1.508525562	1.353553403	-0.7135848164	-0.08662092654	0.8535138332	1.040031342	0.4192237437	1.451668578	0.7779622681	-0.9680571709	0.6496448609	0.4805778253	0.2393254038	-1.412589817	-0.8363174066	1.455986238	-0.1396037605	-1.860240481	-0.9028570095	-0.964688211	0.3409973952	-1.425312697	1.414097575	-0.6267140302	0.4711318428	-0.5401791205	-0.8213249686	-0.7997211618	-0.2813573446	0.6460986641	0.8526046189	1.293995151	0.7882238929	0.3352887711	0.8239828556	-1.226599168	-0.8385423867	-0.3755818153	-0.04740454904	-0.8594673731	-0.04048199983	-1.219945647	0.09605072759	-0.7211892033	0.1352649888	-0.4961629624	0.5766612426
0.02484361563	1.269331978	-0.6540292074	-0.7533933681	0.6439097383	-0.2983910887	-0.4140319414	-0.6753577048	1.567751447	0.6849915211	0.8983368276	0.1314350372	-0.4359314531	-0.4977014583	0.1363455318	1.661364916	-0.2218751642	0.2511330955	0.4998874034	-0.6777079021	-1.003359123	-1.197397261	0.5685959732	0.8811934489	0.1963645153	0.3519223483	0.03852807675	-0.1554962967	1.527926358	-0.6859617455	-0.9781238802	-1.055964251	-1.098143493	-0.9023958806	-0.6744180303	-0.2799877253	-0.4790232334	1.192554006	1.585271756	1.10670354	-0.3523320584	0.7535369978	-0.5436124753	-0.6154090857	0.01578505721	0.3800117592	0.4747171446	-1.352474873	0.7201025266	1.149316922	-0.1908584784	-1.448299639	-0.4719249532	-0.6316831897	0.9562293072	-0.4165714946	0.3482729056	0.3511401294	0.4232811037	-0.3686439314	-0.653605097	-1.434402639	0.1281055337	-0.1714986054	0.004716240633	0.4296480129	0.1370084873	0.9449533805	-0.3268878022	-1.055519722	-0.1461432184	-0.2408815374	-0.5332678489	-0.433267184	-0.3152602503	-0.1379822086	0.1304138029	0.7038144508	0.6895349002	1.221419706	0.2417800238
-0.2882525134	0.2472880467	0.277291514	2.285184543	0.5848629189	1.76089562	0.5705196437	-1.199428753	0.7345372006	1.145281598	-0.3951894176	1.00147534	-0.6707026235	-0.598619815	0.2497628491	1.346754754	-0.5410950773	-0.3796289631	0.6741596133	-0.9689995705	-1.005689665	-0.6544507024	0.8133986288	1.602024253	0.3829849925	0.8777864869	-0.1043578621	-0.4198407185	1.107599839	-0.3742316977	-0.2761208617	-1.023555503	-0.169465865	-1.537268928	-1.755249404	-1.172494732	-0.8083318645	0.6315255409	-0.5097969909	1.68089311	-0.7480756298	-0.3926741913	-1.119417907	-1.072136694	1.119988713	0.6705201941	-0.8083531367	-0.3095920855	1.903396049	0.2652176701	0.8075204578	0.4641772261	-0.1572129023	-0.5033372159	1.13642923	0.3143151612	0.5252238823	1.450415228	0.9022153575	-0.440941788	-1.097615333	-1.335074816	0.1412715826	1.201950411	0.8015280061	-0.9650984105	0.06938664235	0.4505177197	-1.279265951	-0.653106008	0.1678913514	0.3567669052	-0.5603521976	-0.1514582915	0.6050688624	0.2753892905	0.1549661858	0.3818880769	0.1485327106	-0.7785287453	-0.2589191718
-0.1825603097	-0.7193153181	1.704856535	-0.07659248277	0.1400643982	-0.234431719	1.094037876	-1.438049866	-0.6912222769	1.085504857	-0.8041697025	1.39908511	-0.981150752	0.1070892876	0.6655471328	0.5797438671	-0.0428727738	-0.7490662157	1.145347103	-0.9386697166	-0.5665513317	0.5661844308	1.07312759	1.501070892	0.2350400609	0.7090498211	0.2990301783	1.040889935	0.8547829219	0.05651339819	0.4208948865	-0.232139317	0.5252341641	-1.882937134	-2.018412639	0.5832614344	-1.284830477	-0.540022478	-1.20745949	1.140472009	0.4989658216	-0.7572985397	-0.06322390949	-1.596622994	1.022206303	0.8010801654	-1.12388037	-0.7399153178	0.0983904936	-0.02666460055	0.8836684975	0.2697977555	-0.8572629769	-0.6040965988	0.6216296744	-0.5884081064	1.50656335	1.150360958	0.6068773479	0.7305251635	-1.129850438	-0.43323486	-0.864299995	0.3413890724	0.1913771076	0.4158622179	1.370890956	0.03715951028	-1.058078568	-1.986678193	0.4295693075	-0.9705029969	-0.551832792	-0.03414612746	1.146575106	-0.6089937261	-0.4444243852	0.6231072143	0.008364040053	1.307124894	0.9904336579
