melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086
-1.065672247	-1.195741816	-1.116269728	-1.162779045	-0.6594043514	-0.8860809279	-0.100334129	-0.9456117955	0.1449531078	-0.3086858805	-0.9364545301	-0.1470839671	-2.017661119	-0.3269208354	1.65695838	1.495795562	-1.149481687	-0.6108070354	-0.97009871	0.8459202984	-1.12515889	0.450812513	-1.689024389	-2.072391942	-0.2617883131	-0.9703745047	-0.4539197725	0.1970524128	-1.565546744	-0.5656375626	0.3894238785	0.1834518454	0.7590805308	-0.5779491672	-0.9497549709	0.03526275013	-0.5622714442	-0.6912444584	-1.448420875	-0.4455247203	1.146788887	-0.4070577713	0.3349642652	-0.9924250593	-0.05195557019	-1.545711385	-0.4818788029	-0.5439630563	-1.945095319	-0.2505400565	0.1208084324	-0.9061867615	0.6033061994	-0.7819642834	0.05552474585	-0.5921973367	0.8130698327	-0.7974669905	-0.9431425679	-0.5429021621	-1.355965533	-1.474706561	-0.3734228926	-0.02642634466	-0.8243928936	1.222622106	-2.096272844	0.7913174008	0.3092903178	1.273227852	-1.413298628	0.2266125664	0.9877805426	0.05779107364	0.7413652538	0.4179864422	-1.442653474	1.780359902	0.1520139578	0.2204368621	-0.5874352073	0.4823892762	0.9708969473	-0.02643868191	1.86376844	0.3580381315	-1.149589435
0.9147208342	-1.025828849	-0.7645299992	1.990375053	-0.9673294443	-0.6412794946	1.461768238	-0.632179415	-0.5426086422	-0.7751156522	-0.1460315985	-0.5718172179	-0.9676968791	-1.532275143	-0.2514650868	-0.1182670087	-1.150644949	-1.044107075	-0.9001088171	-0.4091134225	-1.307253645	0.1680918277	0.05531519547	-3.04837006	1.10615156	-0.3879273722	-0.65241752	0.2340489022	1.502657259	-0.4616840888	0.06425194457	-0.1165513177	0.4322849247	0.6346693867	-0.56338872	3.58662237	-0.4921269944	-1.213351228	-1.080406307	-0.6745134635	-0.3425189846	-0.8996379771	0.9157308994	-1.0716486	-0.5128011424	0.9174104493	-0.5349699395	-1.114835165	0.9205753895	-0.2561477641	0.9382113085	-0.8828240718	0.4958990847	-0.8933346609	-0.6059373663	-1.923095836	-0.7122769782	-0.02254892255	0.1381282983	-0.4665300453	-0.7761847201	-0.6333209639	0.04154502055	1.391343024	-0.03204908087	0.9564799663	-2.415299559	-0.1683155132	-0.2598166693	1.610174809	-0.0464760081	-0.3945949898	-0.1732639708	-0.6908959653	-0.6817389991	1.762951786	-1.987185054	-0.0428818097	0.7343380954	-0.07830496203	-0.6143227102	-0.2304791454	-0.03383926089	-0.5773636569	-0.1793686904	0.2401761925	-1.763455769
0.1690374496	0.9448494926	1.37308721	-0.6412576106	-0.8994848134	-0.6338931975	-1.033957731	1.922383659	-1.130960651	-0.6571001416	-0.4253708297	-0.3275700271	-0.4530309417	-1.227040048	-0.9715219105	-0.3825570868	-0.6097180213	-0.7551215994	-0.4387642122	-0.5720662798	-1.263521326	0.173231392	-0.01789484233	-2.873854839	0.6529375085	-0.08366897907	-0.291784257	0.6881955832	0.4299422571	-0.6718565998	0.7633684782	0.4266755591	-1.464993943	-0.2874857612	-0.9255900523	-0.6782184039	-0.481867162	-0.8877533319	-0.8996282962	-0.3540221043	-1.128143575	0.1514857299	-1.088071101	-0.8419787157	-0.2677378001	-1.275859317	0.1308666398	0.1676929096	-0.9037881624	-0.2587134897	0.7102577822	0.02957555045	-0.4956584173	0.6032671136	-2.27240016	0.2913816058	0.7036154389	-0.6055329937	-0.1468532989	0.3035207139	0.4896852741	-0.3300291092	0.04281313396	0.05818969409	-0.9427949875	1.339015687	-2.135393	-0.6033208325	-0.3243498163	1.193503764	-1.719782823	0.1952958932	0.9847734884	0.1140468815	-0.749303138	0.5969421049	-0.1367639299	-0.1331035227	0.2953419663	-0.02460007902	-0.06249101371	-0.3677922411	1.453127285	-1.507043509	0.7700813767	0.4954243281	-0.4713050485
-1.031236346	-1.007830756	-0.8709801993	-0.6381251545	-0.3463919906	-0.2477729013	0.6567801763	-0.4065235486	0.3494672464	-0.2697654571	-0.3718597382	0.1469813317	0.6189128919	-0.3137241215	1.364497087	1.119996902	-1.330467586	-0.4883397003	0.9031474831	0.9700046609	-0.7948357459	-0.3603334526	-1.358683096	-2.772073398	0.1885068972	0.3848820038	0.2208985705	0.3971834655	-0.3243134852	-0.1446389603	1.062187866	1.098855968	-1.031662805	-0.009131569917	-0.501891983	-1.100154867	0.7905406267	-0.4568885494	-0.4468202438	-0.339104955	1.198385979	-0.3344093047	0.3716316251	-0.4655836338	0.9581611176	-0.3136421975	0.6243750701	0.7348580283	-1.535192246	-0.4240377471	0.2621634333	1.481151879	0.2438820452	0.005456977756	-0.7453181288	1.273053675	0.1090508913	-0.6380446965	-0.7381721425	0.6861739828	0.5465123229	-0.6154811487	-0.2320955056	-0.2723987548	-0.7937631013	1.294912004	-1.352198369	0.585639692	1.60091272	1.194406322	-0.9357351136	0.1922756731	1.085799018	0.6133156063	0.5537322916	-0.462171255	0.8863150679	1.036839981	-0.7470305904	1.944853626	-0.3809965764	-0.4048428909	1.175383243	-0.6014922366	0.5040333136	1.156442219	1.817186036
1.438149428	1.980268462	-0.06263994573	0.005573111872	-0.9366275193	-0.07321198993	0.01255867575	-0.6350959282	-0.9010608952	0.2908615973	0.1138220017	0.7870071624	1.831126452	-0.05049424843	0.06037210823	-0.5600416569	-1.653537174	-0.2872771041	1.519455642	-1.139009346	-0.3434507583	-0.1603327775	-0.2765377974	-1.572162916	-0.5477196436	0.6506459236	0.389368327	0.0007705166115	-0.3639145567	0.5237952716	1.089711201	0.4484115445	-0.7220991115	0.4845093067	0.2382598008	-0.547404998	1.693839176	-0.8228088983	0.2633207755	0.1504827834	-1.060054572	0.4132793316	-0.04510659119	0.07757627543	-0.4881891276	0.5101346842	0.7884466341	1.368426313	0.637939542	0.5031335463	-0.4754717761	1.77307958	-0.2147441602	0.4819853743	-0.3175469454	0.5978638745	-0.03902910586	-0.2730991399	-0.4029603987	1.059131727	0.7562343719	1.252473684	0.5829363924	0.1660643396	0.03695346865	0.3856359586	-0.6042782339	-1.162917376	-0.09554860807	1.145665054	1.190058469	-0.3919748169	1.569469792	-1.750663949	-0.02174259635	0.2469863205	0.3391651714	-0.2521867286	-0.2261811404	1.881384339	-0.7606348986	-0.9224619145	0.212351641	-0.05256077127	0.838816793	1.807139994	1.965906991
-0.7088227111	-0.2461173201	-0.1940119561	-1.273591444	0.571798529	-0.03067865452	-0.9473770299	0.597072501	1.061792742	0.5301379113	-0.1867875506	1.152267858	1.999561182	-0.04601662717	0.6385563074	-0.4881546355	-0.2219300906	0.324962997	1.271366702	-0.6903837648	-0.2892515322	-0.2336844225	-0.1595395529	-0.1486279893	-0.01477097666	0.9352965586	1.073522266	0.3386259538	-0.4759310792	0.5986228286	1.192839174	0.4842549237	-0.1989182747	0.2235516693	0.2084871355	-0.3780595903	1.767064337	0.5421482007	-0.1942779656	0.1505505422	-0.566892457	0.502611118	0.647014536	0.602806869	-0.1620494739	-0.2488123706	0.9357541967	1.200760822	-0.3893025453	0.1087758958	0.4886630414	1.319572543	1.086935537	0.2588923893	0.251033564	-0.8787862529	0.1658002911	0.1311181614	1.757454662	0.8924593897	0.2204234196	0.7342402765	0.7456403885	0.962838473	0.1995461419	-0.0717907743	-0.03256080219	-2.685237015	0.6499482805	1.041937469	1.581814847	-0.2742099558	1.692831071	-1.016020249	0.9472665961	0.62316142	0.2337118706	0.8196056766	-1.75737051	-1.437247303	-1.059102668	-0.01769966368	1.811018551	2.189446119	1.861996022	1.581508996	1.088986188
0.5765080856	-0.9639383194	-0.7289250866	1.41271846	-1.158161558	0.1435349453	1.116318401	-0.9880392991	-0.3012425527	0.2958284429	-0.003812095379	1.098529608	1.750142198	0.2511609427	-0.2339533169	0.9797228549	0.1949967796	0.119251256	1.511474552	-0.1309605776	0.7804850412	0.3233369427	-0.1334288559	0.1839152088	0.3214087067	1.235646986	0.4723060698	0.7022350486	2.887523836	0.4262113325	0.8086565666	0.6920301284	-0.02212223735	-1.775804669	0.7622599189	0.4471848813	1.750696726	0.741533809	0.2807782267	0.3999691213	0.09422150829	-1.307013533	1.269619665	0.8624063837	0.01575530623	0.6509123859	0.286369014	0.3979103549	0.8536184345	0.6131416768	0.2927038306	1.90857762	0.3166922192	-0.4686219913	-0.02582104749	-1.217011638	0.317346873	0.1810420673	0.7468131917	0.9185004626	0.9480964594	1.211253111	0.7749944681	0.8741430153	0.1366863681	0.2049362852	0.2502138989	-1.565874693	-0.5787028818	0.9018539393	0.1553668644	0.4214859619	1.387946119	-0.4896795742	-1.013778374	2.33910955	-0.6352100813	0.9392851584	-0.2105245087	-1.295770053	0.5111188001	1.405996578	-0.5318356727	0.1081415244	0.9146872072	1.345104367	-0.7569705704
0.2106582922	1.174489604	1.500632018	-0.5392243119	-0.6213472789	0.3350552808	-0.938957071	1.983113501	-0.7767298519	0.0499472471	-0.001642796825	1.072000956	2.013043694	-0.02254388184	-0.3021030889	-0.2126622124	0.4763705171	-0.2476461285	1.236313745	-0.5196650816	1.134908731	0.5210602783	0.5720267906	0.5990780032	-0.804019538	1.798735923	0.2875009339	1.169846609	1.319247888	0.4558141239	1.414456209	-0.2212150362	-1.340805895	-0.8711154536	1.279508435	-1.19584692	1.592595353	0.9506322728	0.8089674277	1.202636975	-0.796617405	0.5016055126	-1.552457138	1.070065054	-0.3195341842	-1.091839374	0.8579543828	0.2135952271	-0.8203617936	0.07960007291	0.3959983329	2.3024368	-0.4705846663	0.4849938866	-1.155878112	1.173820594	2.319311497	-0.5365694217	0.8207598448	1.983981648	1.592279931	1.680881657	-0.8576385408	-0.644887289	-0.3885601209	0.09216926424	1.260136742	-1.447542885	-0.1087164636	0.6294950863	-1.071928451	1.274370096	1.771255695	-0.8547784854	-0.8251276251	0.3029695485	0.9829461262	-0.7575592482	0.9883389659	-0.7244783357	-0.3974895997	-0.220189416	0.6396419303	-1.077429115	1.262718425	1.684064144	0.2774884349
-1.126306142	-1.19260945	-0.9646926762	-0.9953153708	0.1174917654	1.16726308	0.5072103264	-0.501501893	0.8125315493	0.6583571961	0.5661540028	0.7876982694	1.863229524	-0.06061395458	1.866620722	1.715698185	-0.1772090803	0.1393773533	0.600320813	1.352886915	1.692949046	0.5314373867	-1.393086692	0.5820249592	-0.3716395454	1.405129954	0.4235038422	1.525546666	-0.03336778608	0.5635011558	1.296387455	0.4586402014	0.5489128684	-0.9673240835	1.630141596	-0.9656963021	2.207699051	1.523869703	1.063119451	1.00363739	1.216377347	0.7731605329	0.5350360961	0.8243172532	-0.4318170658	-0.4203944586	1.797037949	-0.5379699797	-1.137379997	-0.3680886459	0.9014473499	2.328204051	0.04122452894	-0.636001011	1.06810881	0.9362723592	2.283878641	0.1449455084	-0.3443717987	0.9410782854	1.710091187	0.6698467213	-1.402984874	0.604174504	-0.3904069743	0.3181336718	2.527016003	0.1286712006	0.5352711574	-0.2390525189	1.048119405	1.410570594	0.6135334802	0.3153945477	0.637488237	-1.909861657	0.1203922053	0.3189263689	-0.08058945285	1.059848387	0.4221448921	1.333141362	0.914763967	-0.690433656	1.639364503	1.509554843	0.7581437635
0.7933072399	-0.9963579243	-0.6057398688	1.503203049	-0.7148929996	1.330749377	1.259680848	-0.9386923966	-0.4703339404	0.6092565337	1.436817162	0.7073932507	1.870599568	-0.1494253937	-0.4257217405	0.2499964769	0.7500884501	0.4030860321	-0.07901967596	-0.2039451261	2.325296467	1.013495105	0.8512297897	0.9125608581	0.9963750946	2.013824087	0.05351503685	0.4292831885	2.616114725	1.70846389	1.182657893	0.3904133354	0.8367826946	-0.3691623959	1.349401652	2.849466694	2.231901271	0.6863236967	0.7599093209	0.8217558605	0.2711520379	-0.5675053321	0.7172816511	1.078259084	-0.3514795933	1.899120795	1.399426065	-0.3074153685	1.594069918	0.6392483852	1.724619486	1.346970111	0.3100729112	-1.310097731	2.028638013	-0.664834634	0.2875011034	1.07675977	0.7254619442	0.3048256174	1.085440699	1.231309391	-0.597886666	1.227153264	1.492709844	-0.1407074524	2.63340081	0.2351055256	-0.02381321269	0.1869834383	1.922417653	0.2200970386	-1.181253474	0.06653632852	-1.527406874	-0.1418446396	-0.3410996708	-0.7927877784	1.450530147	-1.044325931	-0.5516620861	1.680935729	-1.199549001	-1.22946369	0.4501447745	2.220188219	-0.06250291169
