melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074
1.299570477	1.638058301	0.9401100601	0.1386299221	-0.7887989347	-1.22907267	-0.9119071166	-1.054913394	0.2868592216	-1.034881764	-1.778545805	-1.300420462	0.08747310303	-1.18959298	-0.8775680252	-0.2966066944	-0.1522307401	0.4691831335	-1.315279909	-0.5646831735	-1.009878181	-1.246085439	-2.078012634	-0.1904695856	0.4418632317	-1.490268749	-0.9128658924	-0.09624289489	-0.1834050599	-1.742165978	0.6507476202	-0.1579736722	-0.9590899096	-0.252912511	0.1236558473	-0.664755136	-0.4872280447	-0.7854895782	-1.086928028	0.2548808441	-0.7688231086	-2.541850436	-0.7006791674	-1.352860714	-1.871413667	1.290604255	-0.3116546694	0.9370910947	-0.5300670283	0.5592890757	-0.2492085754	-0.7868671764	-1.224991371	1.358176823	-1.25139634	-0.7821960726	-0.9200876102	-0.2368187343	-1.109297965	-0.7871413306	0.7037770934	0.05909820121	-0.5540965518	0.5146552464	0.6410332086	-1.060616844	2.814301069	-0.6509379017	0.3242651733	-0.3285763646	-0.002867507737	-0.3320649453	-0.1806372269	0.8429481254	1.653180481
1.512199893	1.770834221	2.405283072	-0.1920657753	-0.09915796775	-1.38994517	-0.5652411008	-0.6873269799	-0.7760034858	-1.241286139	-1.33138864	-2.077463911	-0.8609113873	0.01143807472	-0.09656163342	-0.8604374153	-0.9470551596	0.2599797834	-0.9529945444	-0.828354364	-1.27294796	-1.261515783	-1.843434166	-1.075274394	3.251751873	-1.499486105	-0.8279633301	-0.8749146706	-0.5357835551	-1.033879969	2.604107905	-0.8056625286	-0.696409046	1.003807078	-0.4322389543	-0.6857329318	-0.1223152985	-1.788392741	2.755741364	-1.186697874	-1.408302082	-2.143027648	-1.90801295	-3.871678164	-1.211529405	1.854549859	-0.9118585557	-0.2585708613	-1.905411745	0.4891059472	-0.3996912552	-0.6703654627	-1.32634778	2.251281874	-1.777402921	-0.6290633963	-0.9807426631	-1.549426375	-2.060444272	-0.7199169525	0.4785633494	0.7003023991	-1.069518267	1.293856613	0.1299355629	0.5927917863	2.528456822	0.0226869059	-1.180643696	-1.638084535	-0.9575727617	-1.179665907	0.3114963179	3.364852796	2.8342714
0.513373737	0.8597318276	1.692663267	-0.7107107041	0.3018013071	-1.328662312	-0.9650813013	-1.099570783	-0.8132780802	-0.6163924119	-1.007226568	-2.592822878	-1.434297228	0.6378194172	0.1904540518	-1.653653292	-0.7130024857	1.014763528	-0.5913556673	-1.216544053	-1.985942725	-1.048036342	-1.197557027	-0.02709257683	-0.263595667	-0.8485399553	-2.049211694	-2.050763883	-1.140431109	-1.041905831	-0.3512675829	-1.484797443	-0.4084202859	-0.7734221863	0.1950798594	-0.3774582237	-1.065113833	-1.639642808	-0.01808135143	-0.7685011783	-0.272435299	-2.137735229	-2.21657222	-2.356760471	-1.197717963	0.9118702965	0.403819531	-0.9395269129	-2.472559273	1.342061574	-0.624466254	-0.4777626465	-1.064220272	-0.1334886153	-1.468054291	-0.4743028464	-0.4005694957	-0.6817213018	-0.08290959585	-0.3230587768	0.2140097235	0.5674464715	0.8100918577	0.1590834114	0.9381541501	-0.1061005191	2.196973187	-1.057776739	-1.46266011	-2.198139917	1.303464467	-0.5293191874	0.3136433154	0.09200650156	1.79602282
0.1379142068	0.5392500987	1.272853921	-0.8835267259	2.220849378	-0.1882224039	-0.3763797375	-0.8298199747	-0.05165385496	-0.5546178824	-0.1012315693	-2.526911746	-1.557217239	1.087832608	0.1596149646	-2.128937724	-0.8248764503	1.286249753	-0.8461183868	-1.187169617	-1.924089037	-0.601007479	-1.25694618	0.5478672016	-0.6811037132	-1.119423861	-1.32145603	-0.8758578241	-1.515130045	-1.296062466	-0.0004099913217	-0.9350206749	-0.3631391784	-1.5871109	-0.3675491911	-0.3171935645	-1.003567812	-0.632756309	0.3416124583	-0.3589922288	-0.8149690822	-2.093609542	-1.913929796	-1.827573659	-1.235885648	-0.8162176804	-0.06186610614	-1.210622911	-2.113306129	2.533192663	-0.4149124014	-0.5128322082	-0.9878795415	1.718541028	-1.10752724	-0.6450089744	-1.37543209	-0.7176318953	0.1281871559	-0.06098516672	0.6825378125	0.4724446839	0.4361097194	0.1627392674	1.42748932	-1.101242575	1.97176002	-0.7927250221	-1.31308639	-1.49375591	0.621450615	-0.9891641529	-0.3822642268	0.9770458701	0.7957669271
-0.3680498984	0.1429066199	0.219150186	-0.9632972652	0.8911587665	1.418057591	1.799752375	-0.05033222634	-0.3156807932	0.008207239955	0.6031865385	-1.847983334	-1.476922131	1.377426049	0.4144173881	-2.380864605	-0.4516355893	1.34662884	-0.4350796443	-1.101424074	-1.418091272	0.1998847732	-0.9152185138	0.831283647	-0.1208013336	-0.9516859411	-1.062264781	-0.3131313812	-1.015604067	-1.485903776	-0.4194034397	0.3258027092	-0.1093278059	-0.162176646	0.03846387294	-0.6686665483	-1.666105341	-0.03936545656	0.8220008019	-0.604839571	-0.4333190697	-1.848868453	-1.487727493	-0.448176322	-0.3416130541	-1.491675193	1.29380721	-0.7662401066	-1.790072334	1.743514767	-0.5288616973	0.1428846455	-1.016622912	1.012472274	-0.9106198417	-0.04646327568	-0.6231716222	-0.1608625768	-0.9720931948	-0.6443970684	-0.3879010812	-0.5551857939	0.26000791	-0.1991427794	0.3016659134	0.1569233673	1.8122207	0.219162636	-1.074877034	0.2103836042	1.097584088	0.3941969912	-0.6504677294	-0.2352654028	1.300608817
-0.9374055557	-0.6625675185	-0.5289589956	-1.131338168	-0.140639557	0.68049405	0.9945717823	2.484536249	-0.3142617628	0.586152022	0.9943983438	-1.321133993	-1.574614988	1.365166802	0.8346747403	-1.730649267	0.3766668021	1.950915146	0.4359725622	-0.154908104	-0.8849323265	1.052518382	-0.9387114165	1.149709382	-1.508157098	-0.456531452	-0.498253993	0.06395729411	-0.3312220993	-0.3906280833	-0.3768124692	-0.2195396767	0.5522007929	-0.4737716243	0.2099925763	-0.07807584323	-1.157269235	0.5921894044	-1.688791688	-0.2326951883	-1.030047785	-0.6367083387	-1.221599698	-0.01872002102	0.7751912658	-0.850067927	-0.2791649166	0.5187423771	-0.8975408664	0.3213982292	0.5557992281	-0.08753482868	-0.314295359	-1.230678735	-0.3389749927	-0.05780055682	-0.02533400765	1.1298186	-0.7242831407	-0.6873955094	-2.366295825	0.7465575093	1.318608474	0.4912872332	-0.002038968573	1.014639962	1.950979663	0.2965643499	-0.7648625986	1.564119131	0.9683300085	0.4373108823	-0.9047145513	0.4294175271	1.267426079
-0.9157889302	-0.7773268819	-0.6846261396	-1.225085541	-0.03909275142	0.05217918434	0.5601230422	1.45754791	-0.06414660563	-0.1099243498	0.9074779876	-0.9463930317	-0.7670571838	1.525685015	1.563780565	-0.9038486397	0.559205549	1.964045035	0.9159925225	0.6118353575	-0.7579974872	1.59539579	-0.7503111903	1.218240176	0.06135566916	-0.08090322904	0.3961746079	0.6905441104	-0.1894298358	-0.1964430849	-0.8665777076	-0.1951970663	0.4300793894	0.7437222906	0.1537991605	0.07200198924	-0.57394199	0.5614601019	-0.7449996962	-0.6334805105	-0.5710647738	0.4961828107	-0.3786852068	0.2456711371	0.7014361369	-0.7598268595	-1.377046268	0.3342168458	-0.8772591591	0.6405244051	0.2073637975	-0.2983215278	0.1902128308	-0.6983092232	-0.1221128423	0.3991159286	0.7339414325	1.833382108	-0.5652461385	-0.07137865568	-2.243377279	1.842571463	1.315334348	0.6926801062	-0.1332137717	0.9225650448	1.362570435	-0.04703139567	-0.04015071953	1.708672208	1.746842874	-0.2111136169	-0.2157732902	-0.3436501652	0.9473561709
-1.118869537	-0.9861313151	-1.081012266	-1.395463056	-0.4228268046	-0.2501580621	0.184821481	1.27424163	0.2715347756	0.0239277563	0.5798805239	-0.4671642473	-0.7284640096	1.780259742	1.583623586	-0.3243442565	0.7096881411	1.717336379	1.112783721	1.35850188	-0.9711111123	1.760427485	-1.133648735	0.7027533013	-0.7329053895	0.3668702418	0.2747835548	0.9571583161	-0.3817978202	-0.3294133458	-0.5430788262	-0.8175213008	0.410677288	-0.5697388133	1.29630099	-0.2758008838	-0.134705867	0.6107379434	-2.110532564	-0.3176446458	-1.588621325	0.2285894008	-0.4870659903	-0.08299977532	0.9203278101	0.1904564069	-2.038015382	0.7740927535	-1.06860856	0.2433155824	-0.364647815	0.6643947582	0.4875470214	-1.786483595	-0.7430077495	0.4766626783	0.9970686917	0.7415145425	0.08755661146	0.0009894342988	-0.6921063095	2.522702956	1.034231303	0.2299901885	-0.2025552204	1.576858868	1.13737588	-0.3206701342	0.2848409643	1.586902399	2.315537862	0.008966619547	0.7416420515	-1.074258395	0.2449379169
-1.175274641	-1.099476933	-1.169247101	-1.390048201	-0.5573382172	-0.4135222709	-0.05627580745	0.2863399713	0.01191335311	-0.3860074739	0.4846786783	-0.7142413859	1.130542591	1.742940292	0.9244935463	-0.4991463283	0.6110571105	1.153345398	1.041260327	1.959045263	-0.7896623805	1.701400859	-0.3355438639	-0.6539290837	-0.298710704	0.1662603135	1.358140074	1.395861891	-0.4886022807	-0.473269514	-0.06457531374	-0.7150149008	0.05783219191	1.104712045	0.3925736446	-0.1949023566	0.1709386109	0.6947903379	-1.185734581	-0.5914738473	-0.6350299115	0.4472979726	0.1047668316	-0.2987255293	0.7481473671	0.7339711701	-1.310599224	0.7701459251	-1.097786335	1.766305343	0.3563451199	0.2509879263	0.5332284824	-1.305570983	-0.3354345677	0.7462229581	0.6852891176	-0.326319772	-0.4880479986	0.840000784	0.7593793368	1.338616917	0.7205610384	-0.2686955075	0.2527327638	-0.4730655668	1.083100029	-0.4982008483	-0.2566698512	0.1102572781	0.6262373767	0.03902794217	0.8900716128	-0.9319338402	-0.179669796
-1.066786943	-1.181624585	-1.238614347	1.393601677	-1.268404217	-0.4447074576	-0.9089018037	-0.4008119387	-0.06909567418	-0.6687589193	0.477939813	-0.4590046855	1.686219233	1.688637746	-0.0512663347	-0.78983489	0.6512166545	0.7643825118	1.179901673	0.03641290988	-0.6273344802	1.680736583	0.6510277854	-0.1885441418	0.2165056213	0.008022506287	1.883870835	0.9921308296	-0.8344829351	-0.1099964335	0.8878900525	-0.5653043506	0.1555349334	0.6672421213	0.4191819435	-0.04729239908	-0.3563317253	0.9507136167	-1.076346328	-0.3105602859	-0.7191667756	-0.1030232465	0.4747829714	-0.3458866038	0.458379389	0.7074672584	0.2827050701	0.978367486	-0.7295299492	2.154877191	1.833715568	0.8011241177	1.319067722	-1.075552584	-0.4603473301	1.150264267	0.7712135665	0.444534673	-0.06835651518	0.7268281365	1.210236191	0.4659446683	0.3639430303	-0.6505636806	0.4194022022	-0.7437052767	0.7495110691	0.6096994665	-0.08209056939	0.9399252864	0.8983731611	0.2665410421	0.948554128	0.9193851509	-0.2787396555
