melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089
-0.2993391958	1.308626427	-0.2827318663	-0.03158330015	-0.3092512218	-0.7568250217	-0.9940682774	1.10675133	-0.7153713418	-0.979244596	-0.7060202016	0.5101514438	-0.4031944276	0.8968073861	-0.9729947093	0.4371155179	-0.1785777985	-0.6111629063	0.9842939296	-1.008278572	1.171271413	-0.4033198956	0.1946411184	0.2402628577	0.1804998713	0.6696501123	-0.5720133561	-0.9557503118	-1.986477589	0.8688863302	-1.24097857	-0.3688604005	1.415994157	-0.8650604937	0.375340685	-0.6480054886	-0.1778539896	-0.8448449396	-0.7696449299	2.10819811	0.1477326181	-1.458368617	-0.3983026649	1.227497957	0.610347744	0.1444386956	-0.1971165982	-0.4131055282	0.7680916339	0.05911175383	-1.145943816	0.6117581092	-0.5406839054	-0.1210903116	-0.2009780845	0.1109398887	-1.035020627	0.2549606208	0.4241717661	-0.6306068844	0.1020700471	-0.6170837981	-0.2398166839	0.0478341877	-0.3125998196	0.9202339338	0.5350863554	-0.1626225816	-0.8224085537	-0.1627967192	0.8352701466	0.6441438535	-0.99271446	1.031615702	-1.052000586	0.385897841	0.9590515075	-0.2501924572	0.2174574523	0.2970946382	-0.7919370013	-0.7216799469	-0.667123479	0.5204195478	0.1474773644	1.253348929	-1.101521179	-0.04680748848	1.80238398	0.08729377879
-0.2930843865	1.023207555	-0.1646057782	0.298702999	0.001638441452	1.356266959	-0.861559118	0.818973626	0.3347954865	-1.582820567	-0.374744094	0.6508056976	-0.2289029004	1.555888615	-0.2187937021	0.5865077764	-0.2771337903	-0.2987554784	-0.811669012	-0.6192092567	0.2925037048	0.08925532481	-0.182922207	0.4321702009	0.7607584788	-0.1664744876	-0.2582468569	-1.073480792	-1.74890115	-0.04781666115	-1.412394359	-0.1153569862	0.4774432437	-0.5976448142	-0.8835966554	0.1172532617	0.1133929133	-0.4001823711	-1.727353109	0.2586462483	0.589751283	0.1451697866	-0.2815945671	0.4975395944	0.6315498436	-0.1103443875	0.1713104705	0.03242329217	-0.1562576796	0.04646880921	-0.9409747481	0.6376563525	-0.3319188417	-0.2493009602	0.6833879678	0.4234657885	0.670528672	-0.3092009216	-0.1966117032	-0.1610356984	1.141252183	0.4558978693	1.575275493	0.4137932435	-0.4567500374	0.9421476677	1.163044631	-0.5859567062	-0.5844266965	-0.7594912722	0.2531993842	-0.9587917207	-0.00977234	0.5249964153	-1.009985427	-1.198195085	0.1912124059	-0.07538594446	0.2471408147	1.318413177	0.06160409393	0.1813651784	0.04598833197	-0.1308501247	-0.1296382808	-0.5005099614	-0.5612800165	0.6092262219	1.811318433	-0.3454877188
-0.153644414	1.118279931	-0.2660125736	0.5270522265	-0.4629216934	-1.118775478	0.08835106801	1.237313038	0.0004061532404	-1.133413858	0.7220883002	-0.02492202535	0.3352387478	-1.420828171	-0.2218452659	0.7793781082	-0.2424208736	0.06971718662	-0.7652406176	-0.5032259674	-1.274723238	-0.08666275925	-0.4220908887	-0.0334984385	0.6368394675	-0.6705902345	-0.0297947358	-0.4216782989	-1.698439577	-0.3931697864	-0.3813226148	-0.6493207625	0.4924929779	0.09053959495	1.506661548	0.4744370367	0.4367075253	-0.7545180325	-0.8523519966	0.3224398257	0.5831828412	-0.6017277554	0.2096925482	1.315812416	0.7790200129	-0.3637870273	0.8183358773	-0.05679436558	-0.02649353924	-0.2789588902	-0.7443810916	0.7532987866	0.2340651332	0.0486991258	0.09198019429	-0.4092606177	-0.03581704748	-1.164999214	-0.5974260644	0.1155279974	0.7999551663	-0.005759400385	0.1960753694	0.1358031969	-1.064100831	1.437164129	-0.4045621307	-0.6854567255	-0.1941255478	-0.6478228236	-0.2552197542	0.2859357003	0.4096739057	0.576407098	-0.02180964987	-0.9596697939	0.1766902584	0.1893926007	-0.2060149087	1.501139601	0.02692194636	0.1708580935	0.06758026966	0.2783296364	1.186268132	-0.4028208331	-0.2839409462	0.5906125931	0.175773095	-0.338811709
-0.1742830823	1.218458792	-0.4134343187	0.639948791	-0.08038717432	0.1754004266	-0.4454998026	1.366294659	-0.3037357072	-0.7648905583	-0.3076977053	0.4945565093	0.1418564309	1.14119608	-0.2292955776	0.474420244	-0.4425084381	-0.09508471417	-0.5538297207	-0.5573377653	-0.635622495	-0.6715866336	-0.3716125473	0.01081961565	-0.0739689268	-0.5879794103	-0.1958272801	-0.1366996535	-1.026215761	-0.4470087512	-0.8945903421	-0.5632990359	-0.5901225208	0.4715602454	-0.5497122658	-0.5588855836	-0.8511757906	-0.6875809316	-0.3393640524	-0.7996766988	0.9685466008	2.111945808	-1.261214528	1.299283364	0.7398161741	-0.435520915	-0.03042583507	-0.3661903263	0.3745280922	-0.2345268803	-0.9268693699	0.1259575584	0.5069331262	0.5069475072	-0.5397177267	-0.4317766572	-0.1015206895	-0.029044654	-0.5127894498	0.289727134	0.01807848106	0.4573249519	0.4508503288	0.01592191581	-1.005331099	1.536130665	-1.364672231	-0.1575271343	0.1951590966	-0.09466682063	0.45038685	0.5606361001	0.3309752303	0.3545639236	-0.2954609808	-0.6595124087	0.07719481856	0.9141787422	0.007877464114	1.758311705	0.199430248	-0.5002304477	1.222985699	-1.081423813	0.0149367812	-0.5491214369	-0.2385820042	0.04875177423	-0.2895135805	-0.4141001738
-0.1125414447	1.293779039	-0.4508666614	0.478591075	-0.2047254165	-1.191455638	-0.8490898594	1.029057159	0.1516446651	-0.694932067	-0.3165152377	0.5676278578	-0.3521602477	-0.3884794723	-0.5097453519	0.2273106558	-0.3336648279	-0.3371776146	0.6047094306	-1.2426486	-0.2578188188	-1.006076668	-0.2385273571	0.3326114456	-0.4151382471	-0.6995921938	-0.1884745116	-0.1812575311	-1.472838242	-1.112887697	-0.9491850578	-0.7569266129	2.066170908	1.24666828	1.225473287	-1.176690302	-0.3145173724	-0.8401046258	-0.5712038953	0.993920114	0.5884978614	-0.4513496687	-1.008847039	1.493910958	0.3199222455	-0.1121484832	-0.3730186671	-0.8811459213	0.347677943	0.1547538625	-0.6220827115	-0.7523598939	-0.2432790538	0.04808848077	-0.3402215064	-0.4528069892	-0.2283004057	0.3772986123	-0.8076332329	0.04196285281	0.2533751367	0.7656891842	-0.03512871205	0.01632985062	0.2787822316	1.782217584	0.2895757789	0.3140656722	0.09241493003	-0.2872569588	0.8949033523	1.276732757	0.09109266923	0.1321373997	-0.450013333	-0.1711217647	0.07785890238	0.7906595648	0.4238284643	0.9384431802	-1.141788118	-0.2615636618	0.04934881789	0.4787532258	0.09750162281	-0.5791420335	-0.365626211	-0.2221041718	-0.09974026639	-0.339504026
0.1018774544	1.202590937	-0.3239196607	0.4208817204	-0.08834040092	0.5371953441	-0.8495788366	0.4092936335	0.0636144448	-1.009098438	-0.6656875089	0.869456039	-0.2350422317	1.76275717	0.0710764636	0.2922130061	-0.3972374461	-0.3889847442	0.1074402048	-1.103738194	0.821600174	0.1389185734	-0.7916775729	0.1979727728	0.450188732	-0.9735100035	-0.5548677025	-0.4747194392	-0.8088273112	-1.01491496	-0.6612832255	-0.6578206965	0.2399643474	1.320461438	-0.9759052956	-0.1140389195	-0.1906300052	0.8070665802	-0.9692712297	-0.552291494	0.654124717	0.4726790053	-1.248823339	0.8612856585	0.2956015133	-0.5901598825	-0.2555430417	-1.276788114	-0.2046152357	-0.2191215895	0.07575706936	-1.076974645	-0.697514359	-0.3710968611	-0.1578798351	0.1553921704	1.038585628	-0.1696569214	-0.7104128801	-0.6549887438	1.24420222	0.09783508923	1.287364617	0.760789268	-0.2502286199	1.424048023	1.001007531	0.06341137636	0.3200260045	-0.2586376039	0.6348083272	-0.117997289	1.103801611	-0.2587020028	-0.9201104398	-0.0832925969	-0.4128803322	0.2782041587	-0.03718791735	1.203141864	-0.9697337054	0.1855328599	0.6849562173	-0.09795945229	-0.9880809019	-0.9598560525	-0.04936022639	-0.3747804674	0.1986866969	-1.539849982
-0.1747718565	0.8116152637	-0.4328714582	-0.04836348593	-0.288415996	-0.6887468817	-0.4685626499	0.5904283557	1.62808745	-1.158591706	1.185485881	-0.4595475001	0.3676612434	-0.4170818059	0.1384783598	0.4727573579	-0.3302791522	-0.3606682055	0.3370518026	-1.059815969	0.03538119127	-0.2124895167	-0.7857628643	-0.2740150935	1.296208839	-0.4432702982	-0.1424218479	0.7095883209	-0.7703815405	-0.4441159849	0.3960286356	-0.3144261164	1.431407881	1.546242872	1.311500208	0.2406103139	0.4553874875	0.9662876555	-0.3488183107	0.1707056135	0.8257566264	-0.5723403594	-0.4427878918	0.9693438053	0.1603362973	-0.934264806	0.8428292642	-1.359566998	0.02440410707	-0.3158341504	0.6720567702	-0.5052225988	-0.02016341228	0.1997994744	-0.9054839859	0.1102278674	0.6713939443	-0.605813971	-1.216937975	0.08020130993	0.3892296191	-0.2786126983	-0.4461344464	0.6672031674	0.2885029536	1.666190726	2.317536798	-0.62941874	0.3650121439	-0.2424795781	-0.09803680912	-0.07299816798	0.8770380152	-0.1868676317	-0.4754238821	-0.1622459691	-0.4784412634	-0.005285783578	-0.05871421054	0.7441277099	-1.833455016	0.4029227845	0.2429947159	0.07831014288	-0.09993233597	-1.371899644	0.272929607	0.4246744771	0.0625645263	-0.8273960457
-0.120253587	0.9439006248	-0.4992772923	0.6266986395	-0.2141447559	-0.5876196573	-0.2617925928	1.664868933	-1.088002445	-1.065462979	0.01705324898	0.2241635546	0.455853789	-0.04418856115	0.08153347733	0.4980427328	-0.3814840366	-0.05748170036	-0.2616291654	-0.7816136955	-0.6325700416	-0.39893987	-0.3456747259	0.3165008199	1.144427599	-0.8008122116	0.6725467776	0.1922629943	-0.5990810442	-0.502302263	-0.4701273844	-0.5163532086	-1.20163345	1.756036872	-1.006535648	0.2291893787	-0.2704554908	1.381978995	-0.3184953423	-1.767124593	0.9226485314	1.048311346	-0.552833557	0.07750568879	0.446858047	-0.2624264511	0.8380667804	-0.1386699423	0.007163941263	-0.4793148007	1.113268941	-0.3629204629	1.21912582	0.08537742997	-1.309155398	0.0859740479	-0.3804738778	0.4034272505	-1.723417961	-0.06894891184	0.9829087416	0.1417103102	-0.1453893899	0.5240733541	-1.710266337	1.364956144	0.9149177227	-1.863165173	1.916742192	-0.4779289551	-0.2895889656	-0.1125009974	0.6869465191	-0.2998692814	-0.2248859865	0.1989607249	-0.983037778	0.8734798726	-0.4390712308	1.337434636	-0.1386745504	-0.02942456746	0.7740299694	-1.629681037	0.7242382649	-1.36115542	0.3830464721	0.8939066775	-0.5085141782	-1.558490599
-0.0752377717	1.218947202	-0.4824598555	0.4000747152	-0.287316295	-0.9939754662	-0.3876931722	1.191251249	1.160614466	-0.2281354886	0.2094723183	0.4145203676	0.1166300289	-0.9623681385	-0.2732768031	0.126736071	-0.3357109946	-0.2735597272	-0.008378662971	-0.8308987874	-1.251909795	-1.259895156	-0.4497411619	0.5290439944	0.5620601281	-0.6689437074	1.2175299	0.6298722837	-1.121802359	-0.8946827175	-0.3579524088	-0.7854623367	0.1074856771	0.7717352518	0.008529436505	-0.9763037626	-0.1512493728	-0.2144872251	-0.1673334006	0.4405717886	0.5267322451	0.6348726651	-0.5967814842	-1.276776146	0.03238472878	-0.1103536072	0.2112545215	-0.3404649514	-0.1864675275	-0.4205952471	0.727230997	0.2129631372	-1.282326141	0.09958092529	-0.4417249409	-0.1198454462	-0.3226272509	1.251970333	-0.8863341974	-0.5545428489	-0.1884660729	0.4717424366	-1.038427127	0.5540586186	-0.3843289939	0.3584735212	1.025671207	0.3535264081	2.011335514	-1.144415373	0.261471151	-0.4186650389	-0.1029845087	-0.369742777	0.4632830012	-0.002083349985	-0.3990077155	0.5062218034	0.4347294394	0.4187980648	-1.040000459	-0.3148595872	-0.3462881829	0.7510541489	0.8885302445	-0.5174783031	-0.8295909613	0.5697496306	-0.7829241411	0.6778361002
-0.3182594913	0.9623037583	-0.3664751562	0.1778092976	-0.4638527741	-0.08401670056	-0.5681054096	0.5048312175	-0.9505134006	-0.8321891134	-0.3619631001	0.4064177718	-0.09615376518	0.8442080006	-0.02000463421	0.0729971338	-0.6441911209	-0.1755345692	1.975515866	-0.7846811434	0.9683627988	-0.7142919855	-0.5822343226	0.2312988388	1.069400964	-0.2146370247	0.7129341893	-0.008703351561	-1.7197115	-0.0883367602	-0.5599260161	-1.035718704	0.4167146644	-0.9991761707	-0.5165331335	-0.2599605592	0.1796822877	0.01342359454	-0.7654096076	0.3878890775	0.3467875509	-1.128776864	0.3077195654	-1.021729866	0.3498449472	-0.0707158885	-0.07375152547	-0.8459756007	-0.7567782809	0.2026634796	-0.2264067119	-0.274504964	0.3554019869	-0.7108446292	-0.1069141437	0.394706278	1.339010288	0.521353499	-0.4288426325	-0.9658874702	1.064708713	-0.2471278101	0.1494994936	1.116653321	0.1019203818	0.5513775033	0.3472058691	0.9051471098	0.4978084913	-0.7424444027	0.5073388095	0.2797945033	0.5429948279	-0.8967346059	0.3435203954	-0.740223332	-0.1292164878	-0.5482385645	0.4589394437	0.1867333925	-0.3829341287	-0.1471991155	-0.4455567923	0.466732304	0.6132555723	-0.6529862279	-1.265555339	0.3039579875	0.3740627806	-0.6689956358
