melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084
-1.630919435	-1.246754363	-1.699957845	2.974807323	-0.9375296126	0.6408449815	-2.108674166	-0.3267335862	-1.722533052	-0.4895434507	-0.7043178872	-0.2578713098	-0.7178857418	1.079063919	-3.422643078	-0.6493549321	0.581643249	-1.114338642	-1.330294599	-0.8122553896	0.5980326417	1.018149961	1.999948452	-0.9286050414	-0.3476250084	-0.02036638797	0.9184316009	-1.78559784	1.052625957	-0.7496944593	1.52959391	0.5628261309	-0.1064493942	-0.8489036574	0.8033970553	-0.7389791666	-0.7726122226	-1.054440644	-0.9344099466	0.9031520985	-0.1762021103	-0.6441345424	-0.7473169347	-2.938422939	1.21740166	-0.4535825175	1.115790667	1.88870159	0.2139171593	0.1001094743	-0.9053204892	-0.3186547244	0.790850093	0.2416327458	0.2321204709	0.5041966472	0.173452877	-2.058001963	-0.6525790945	0.4607884532	1.393337402	0.8394173558	0.9368814708	-1.64352867	-0.5915973917	1.571161531	-0.5495300463	-0.2448355178	-1.393249914	1.620779193	0.9595166922	2.307823786	-1.399958102	-1.933167103	1.359520751	-1.728409292	1.782645234	-0.2389032439	-0.5348314204	2.558496178	0.4232740224	-1.653260742	-1.642748865	-0.5718140683	0.8893638972
1.180550743	-0.6193449998	-1.523944318	1.007425768	-0.7749345923	1.013084171	-0.8583350741	-0.8094495133	-0.8004511836	0.1008750117	-0.7084235514	-1.249658404	-0.9046498096	0.3579500677	-1.90119766	-0.8432079829	-0.3174876582	-1.576904041	0.3310476041	-0.3003278019	1.209303682	-0.7643075162	1.588665187	0.4667948807	-0.502675454	1.338989809	0.8893702251	-0.2225990282	0.7339836552	-0.6487032714	-0.1293564123	0.45795409	0.781983546	-1.794593925	1.084022322	-0.1507124094	-0.3912769562	-0.5383534844	0.09496693965	-2.146110541	-1.479049268	-0.6908098785	1.075379865	-1.052521442	1.490498347	0.2749963858	1.309101704	0.269046807	1.218689779	0.3356440582	-1.054600778	0.004488387596	0.9232661765	0.8805455568	-1.665164792	-1.075235061	0.01863921756	-1.526566022	0.03775638944	-0.5228781797	1.415529838	0.9681788067	1.510699921	-1.264170392	-0.4894957776	-0.8450729795	-2.27522237	-0.5190671666	-1.977258721	-1.463462825	-1.562755376	2.014246356	-2.479486032	-0.563615457	-0.6174415423	0.4830785815	-0.3362088155	-0.1279190516	-0.3678177581	0.1642564197	-1.525603112	-0.4174343462	-0.3506837055	-0.1648014061	1.389442519
-1.337825231	-0.9241419425	-1.007248387	-0.2297466271	-0.254025063	0.6167559023	-1.640160632	0.8492224864	1.059328634	0.5769805549	0.3567441122	1.358534782	-0.4343225752	-0.5503869287	0.3229545595	0.3230972481	0.915797606	0.5512680361	-1.272832158	-0.7094615533	1.285942851	-1.031995752	0.802967322	-0.831400805	-0.5858165205	0.2571625335	0.8700981143	-0.5595104578	-0.07547657583	-0.7048071139	0.6343195268	1.285348551	0.5961054423	-0.5791749711	1.485544399	0.5760903779	-0.8343279642	0.8332088131	-0.389958288	-2.468443207	-1.426835384	-0.8923407514	-0.6097254105	-0.6451392312	0.4777708763	0.4348231717	0.2753620522	-1.288157177	0.9280020658	-0.287073411	-1.580289008	-1.171107034	-0.1092769851	1.457994264	-0.5309675519	0.09772748142	-0.2262554435	0.15906472	-0.4831936573	-0.2121919259	2.365292796	1.099926125	1.574069553	0.6255439772	-0.8810803253	1.004084751	-1.460548985	-0.9271603673	-1.813068459	-0.2768112346	-1.232061476	0.8112994703	-1.762170511	0.5834922551	-1.58217655	0.8529098987	-1.594634555	-0.1203417355	0.05546954158	-0.9826624779	0.2057472324	-0.7873023596	0.665211178	-0.3543451769	-1.711247743
-0.01657757211	0.5177188492	-0.5331088963	-0.3577396984	0.2908227712	-0.7651555279	-1.283876339	1.213417744	1.501848501	-0.1571959003	1.23530542	-0.9060166318	0.6229463984	-0.09611408482	2.246584535	0.3403361132	-1.437493331	-0.04444980757	-0.04244465237	-0.01171300925	1.308896919	-0.6052761796	0.3074647514	0.3562855564	-0.8611946289	-0.1887595761	1.844857389	-0.8615755924	0.5429964593	0.7272895441	0.7470464938	2.611775845	1.283195707	0.2820597492	2.030629735	0.5122738584	-2.034612832	0.6293340429	-0.4277651152	-0.8990396402	0.3543784695	-0.773863438	0.1853210842	-0.2004104946	-1.102687236	0.7133579311	-0.4059579761	-0.1313180455	-0.3575843921	-1.027112155	-0.8021359739	-1.848052009	0.8780852137	2.287130664	-0.3414921533	1.252737515	-1.636898436	-0.1543863438	-0.5165742169	-0.628466095	2.890870836	-1.031075552	1.540368393	-0.3117668761	-0.07997361765	-0.7450909186	-1.415289338	-0.4458296349	0.361245651	0.7944857509	0.04443166063	-1.083591174	-0.6061446038	-0.1826146393	-2.071438782	1.212639684	-1.860352835	-0.1156104473	0.01648745305	0.3957738858	0.737547793	0.2635191593	-0.3287343457	-1.268640763	-1.107544648
0.9131149935	-1.201138979	-0.4465489085	1.290609446	0.1812372843	-0.2945516043	-1.300928114	-1.839220527	0.2969442215	0.03412763375	-0.7463252272	-1.317577394	0.9210647022	1.082794476	0.528403315	-0.6346559656	-1.306397358	1.465112	-1.2782198	0.2460048238	0.516519623	-0.4445889679	-0.3177624944	0.1117168126	-0.8575450638	1.067679257	1.468085457	0.9124128367	-0.7110570259	0.1503588711	-0.1558301474	2.304119672	0.5233850172	-0.2732085067	0.3998729205	0.4330865781	-1.966924573	0.1050881862	0.1850717496	-0.7310846501	-0.1889812957	-0.9249838635	-0.02512460252	-1.466013791	-1.980460252	0.585881005	0.4235054806	1.480509069	-1.465263866	-1.993050127	0.169753842	0.3263214334	0.5135272565	1.147959732	0.3130693685	-0.1138076903	-3.213340946	-2.173640369	-0.9789118103	-1.573400205	1.447369689	-0.5963685459	0.3646128739	-0.9838997852	1.105279569	-1.130512011	-0.6848417326	-0.6005560235	2.346198958	0.06367547923	0.9584436041	-2.27154505	0.3189665278	0.9088720457	0.08149691253	-0.2762014226	-0.6082469118	0.4331087252	1.674452758	-0.4975591423	-0.004648744449	0.008310485655	-1.855927957	-0.2533544815	0.1810399479
-0.9566794879	-0.0131733268	-0.7001683772	0.9695508742	-0.002373548516	0.4622786709	-0.5824901461	0.5592510179	-0.1326727432	0.2980893388	-0.2349113576	0.8402677862	-0.4107599831	0.2286165165	-1.441896706	-1.981692976	-0.7939447991	0.2390747892	1.215192745	0.7714491393	0.5990704371	-0.9300839571	-0.9292183998	-0.4358633088	-1.090088812	1.033425572	-0.165003502	-0.8450392198	-1.893985345	-0.9966201473	-0.7364896055	-0.596462237	-0.2155281053	-1.40154904	-1.916140755	-0.1306369	-1.05125244	-1.036023024	0.6014305865	-0.7138800166	-1.11894415	-0.7597281679	-0.4669235586	-1.111687821	-1.507274594	0.7598233768	0.983769615	0.8475628911	-1.085224013	-2.151438773	0.3478933723	0.7591809926	-0.8955729464	-0.0573944749	3.344062366	0.4193729302	-2.384893819	-0.8189572008	0.1245038811	-0.2532107152	-0.2453649626	-0.7822220187	-1.460607937	-1.744286729	-0.3251593874	0.4457418099	1.759746174	-1.04968021	2.575246448	-1.184266818	-1.670520958	-1.633809778	-0.5904258504	-1.112543292	-1.360742001	-0.7162426545	0.3599728369	-0.06907168877	1.443697703	0.6122661118	-0.6282327365	0.1070634566	-2.017862835	0.2924656464	0.1806381003
1.854679767	2.625092284	-0.1585540358	-0.6361877538	0.1091242592	-0.3153488109	-1.647435735	-0.02359926542	1.413783204	0.5592868292	1.962955832	-0.7255228278	-1.176187195	-1.206108485	0.05981765758	-0.6560571908	-0.07862791891	0.08093638999	0.1106438989	1.510741801	0.7571597675	-1.141370967	-1.458380766	0.9637705091	-0.03994901311	-0.3105370807	-0.885701821	0.4708605285	-2.069253055	-0.1598175274	0.04270687583	-2.040678729	-0.1092027684	-1.609232524	-2.13907819	-0.2601899787	-0.6012941659	0.6368478993	0.3547614676	2.022881632	-1.412469296	-0.9552053106	-0.1207708697	-0.2519739953	-0.8607881295	0.6810101836	0.543328498	-1.633450364	-1.882617102	-1.3738992	-0.02930358015	0.6235241066	-0.7141994653	-0.1821668009	-0.9512512998	-0.3831831503	-2.243598999	0.07046477227	-0.1388819361	-1.62338992	-0.9345554243	0.1796537191	-2.200972857	-1.209608182	-1.19836227	0.5317329349	-0.2030075211	-0.2438080959	1.193988973	-0.6309351419	-1.185979374	-1.041490053	-1.494337263	0.2603595456	-0.4631038922	-0.1231023202	-0.2773398275	-1.32046609	2.083613511	1.296873427	0.1763869642	-0.134416194	-1.56834423	-0.3579649526	-0.5951659589
1.089960733	-0.2595609844	0.0225740375	0.305746567	0.07219768921	-0.7133601275	-0.9758584609	-0.08486971845	0.219188267	0.02069119628	0.7367121031	0.7570295062	-0.06822617607	-0.6243708834	0.4281275641	0.9514396866	0.9137763662	1.267873593	-0.8247436465	-0.8138518941	0.8375477415	-1.427630829	-1.826311407	2.11237209	-0.8969601635	0.5873907641	-0.5661374568	2.17669238	-1.285244828	0.470081972	-0.7657554048	-1.88660236	0.2935361044	-0.5057284912	-0.6772740532	-0.3081545136	-1.200702276	1.162467413	0.1516859916	0.2044754037	-1.098344162	-0.457728138	-0.4051754073	-0.4635453944	-0.4343052196	0.4812208319	1.082876368	-2.700725731	-1.884981756	-0.5352338298	0.2704026344	0.6127295405	-0.6091200831	-0.1818778698	0.07650797691	0.1072537655	-1.253576953	-0.7769863121	-0.6426859567	-1.821710008	-1.155457452	0.4748683443	-2.367256288	-1.398612902	-1.403352224	0.6855760917	-1.668674949	0.1794158007	0.204198032	-0.2934490352	-0.5071198097	-0.6189514754	-1.590172376	-0.1171727372	-1.082683268	-0.4625317627	-0.6461771855	-1.137171594	0.9542911947	0.2085873755	-1.516638099	0.06969600061	-0.9147055745	-0.2135969001	1.226181335
-1.169021683	-1.166597245	-0.6351173206	1.567947033	-0.09585746571	0.07623337733	-0.3011917834	-0.7260478696	-1.415860543	0.5510198125	0.1445368102	0.2535095751	1.183652272	0.7422740646	-0.5436070394	-0.7415578043	0.1043161202	1.148457833	-1.391531448	-1.893593092	0.4126322199	0.04422658798	-0.8379635306	-0.8699215547	-0.6200460855	0.6836995793	0.1533255371	0.06770754343	-1.331018724	0.5512419903	-0.9799262002	-0.6123278619	0.6511144085	-0.5105305506	0.4238876772	-0.08564893852	-0.06757665222	0.3828290634	-0.4076078256	-1.291346592	0.3578771914	-0.2282486676	-1.223736596	0.4194220595	0.4794033917	0.0743411486	2.0188293	-2.5601417	-0.5793750831	0.1807732137	0.3443665287	1.93393389	-0.003746280563	-0.6486206398	0.9518541256	1.55716644	-0.3208298194	-0.8209557226	-0.2891957413	0.2389444369	-1.036389303	0.5697846029	-2.493715888	0.3103228958	-0.4944680335	0.01842457989	0.9387465446	0.5579019444	-0.6484302033	0.8672117535	-1.694840783	-0.2453619421	-0.4717773004	0.1685201481	-0.6996002353	-0.5989467202	0.3776039466	-0.4152438934	0.6753766826	-1.461194937	0.05359760943	-0.457523175	-0.3161833159	-0.1036833368	1.398606527
-0.556938888	0.08974394491	-0.584172071	0.5536475595	-0.01733106104	0.5924508719	0.3457565728	0.9956641038	0.5574110599	0.8564053203	-0.05768949764	0.4043484711	-0.04176068773	0.7572904889	-0.7101744477	-1.865601585	-1.599280538	0.3773045189	1.367788688	-0.4725879316	0.3177115796	0.9829351374	0.6120319745	-1.072403417	1.04143735	0.3164753889	0.02306893126	-0.5780228695	-1.280981172	1.139523275	-0.2446260885	-0.6416723625	0.2182211667	-0.9177662825	0.3484806009	0.07039100901	0.9387055437	-0.953256567	0.8453256931	-0.4197186	0.3024678948	-0.06050536693	-0.5257631362	1.590919205	0.1402995568	0.5109237374	1.407988476	0.01259542393	0.03724480437	1.247530773	0.1637894922	1.721298505	-0.8047689441	-0.2382133794	1.966525003	2.10763222	0.4641953875	0.1936474624	0.4996398138	1.403266656	-0.4804246657	-1.248828279	-1.478869932	0.8282548221	-0.3227971543	-0.3803285769	1.435982016	0.4481011769	-0.3266004632	-0.2510963851	-1.555578144	0.5567342601	-0.1584606936	-0.5477935696	-1.08086912	0.531188934	0.2429087746	0.2618050369	0.04994104001	-1.387075413	0.145640186	-0.3025185727	-0.8738849496	0.2743595719	-1.714779211
