melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072
1.310303341	-1.098878317	-1.697589226	1.217467761	-0.534443518	-1.685752	-0.9872709342	0.5762661443	-0.6090761042	-0.331143948	-0.7975063411	1.576807714	-0.7191086932	-0.3838366174	-0.2191715227	-0.6750410673	1.047238595	0.4463241867	1.164394893	0.4038042425	1.170630874	-0.6013963326	0.3709635803	2.292181141	0.03110809966	0.1473653082	-1.007086961	0.7718323525	-0.4027962127	-1.628335968	0.3931955004	0.07045351527	-1.480788393	-0.6698575373	0.8494873841	0.1928578928	1.012635723	0.1855253883	0.2013921481	0.8879426513	0.606955539	2.42832737	0.7020907032	-0.9145080453	-0.7813431758	-0.003861040066	-0.5720503159	0.5073076416	0.8674680219	0.3968868557	-0.5742607934	-1.135875091	1.102912662	-0.1381480934	1.058590607	1.063812277	-0.6075123834	-0.6935177688	-0.2301797604	1.171708394	0.03048913393	-0.5403728671	0.2570199636	0.3726617386	-0.5884696972	-1.229182099	0.2820614172	-0.2699006384	-0.8124858442	-0.07483205736	0.8212533192	-0.7920144729	-0.2609661674
-0.09846968293	1.214301606	-0.49520963	-1.066510574	-0.3949846917	1.002097892	1.229753213	0.1365536899	-0.5629848897	1.25846	0.7331321065	-0.5215908022	0.7419881983	0.04313269121	2.180931441	0.5525713673	-0.0494496928	-0.6003529021	-0.9820764593	0.01267809905	-1.143393881	-0.460045081	1.371677609	-0.07625376432	-1.372726884	0.3158759122	0.3856511643	0.1961456899	-0.6774348866	-0.1734385599	-0.4052733427	0.1656078881	0.5994955637	-0.4718782996	-0.6293388773	0.2297462842	-0.2856706705	0.4613569416	-0.8873959639	3.364270638	0.1001466226	0.6340386729	1.164099327	-0.02974196504	-0.4459056079	-0.3214002356	0.7733888385	-1.41412353	0.2117256948	0.2524251104	0.8115312653	-0.8635221016	-0.2849590187	-0.1862527006	-0.0804444329	0.8941964255	0.47606493	0.9750098746	-0.7656017334	-0.1965782628	0.3450177039	1.360882797	-0.3648571173	-0.2652466287	0.8970220983	0.820336022	0.4986011416	0.2534116829	-1.282169679	1.34696834	1.465650967	-0.07815277122	0.1841678287
-0.03836850599	0.139265198	-0.2595194632	0.3379851999	0.8766867234	-0.8896678618	-0.7124929996	0.2066380468	0.3805078769	-0.02978767175	-0.07010513721	1.459445834	0.01734810383	0.2513454373	-0.159853865	0.2246444503	-0.8830553356	-0.1424210302	0.4103481108	0.4461676178	-0.47904108	-1.244347473	-0.2146047903	0.01066247491	-0.8129635348	1.10679639	0.6545413194	1.457289643	-0.2348844693	0.4623316905	0.5848654975	-1.283184906	0.2523586055	1.804867801	0.9587528982	0.1812582791	-0.4892928882	0.3998371162	-0.1067670315	0.2044045737	0.6481714509	0.5850932242	0.8205181186	-1.155356899	1.875884869	3.156589616	1.626702637	0.7332627082	0.2727583049	0.1175269615	1.284573342	-0.1959689486	0.02211802863	0.6081166049	1.686070468	0.698564808	0.5625388029	0.8142739198	-0.69178348	-0.5491064771	1.168397866	0.5411022427	0.1762722312	-0.09295475604	2.411860768	0.4847968882	0.04338778466	0.6550619673	-1.170368474	0.2419523475	1.544879485	0.3941362028	1.586320454
0.8460982574	-0.6528215261	-1.104943567	0.9684216556	-0.7657270419	0.303592567	-0.4552313958	1.081744443	-1.107804322	0.6376465296	-1.19462375	0.2594409092	-0.6790199167	-0.4299473361	0.9974053747	0.06454368132	1.369808529	-0.415569309	1.637062482	0.3611730825	1.167014876	0.1791635756	2.819369111	0.1835103016	0.0812228114	2.503733592	-0.8857602617	0.6514586841	-1.04438311	-0.3197387404	0.4977436543	2.548171278	-0.5565929567	-0.07079334423	1.028147642	0.7158776413	0.7869677683	0.5671119473	0.1033975944	0.4215348928	0.581034231	3.256797307	2.8858998	-0.2764563604	-0.8511350029	0.9085420697	2.116987997	-0.7636614727	2.399345521	-0.4816351812	-0.5433257048	-0.04285116838	-1.853927487	0.6976674221	0.6825449336	1.869132879	0.06650999578	-2.026313394	0.25938934	2.163485942	0.6168324797	-0.1224886765	2.213190691	1.148948431	-0.8290864182	-2.806317997	0.3595425794	-0.07585249734	-2.292872278	1.725099319	0.3647810186	-1.25990559	1.482088637
0.9426172059	0.3373468726	0.2875642264	-0.1948173532	-0.8111530921	1.016711274	0.7154588377	0.4600269583	-0.3507297885	1.097005902	-0.07308394234	-0.5720335536	-0.8229008147	-1.505692506	1.105922046	-0.1019461477	2.15288258	-1.292846402	0.7416120818	1.362838865	-0.1422156964	1.586487804	-0.07095452767	-0.8338131504	-0.2510256259	1.800135911	0.5911701807	0.9490206674	-1.289668892	0.1228428629	0.1947795878	-0.9738060201	0.09926550863	-1.574524873	-0.8678658158	0.9047811639	-0.02754010619	-0.1631194205	-0.07064511255	-1.418122592	0.7658678428	1.419423432	2.491868037	-0.5838892615	-0.1752001854	-1.322718327	-0.08073070279	-1.224882288	1.730358033	-0.4504049282	-0.09388156923	-0.03089979209	1.014540098	0.1485897598	-0.6835075145	0.07001934508	0.6483250774	0.3431897737	0.02746191351	-0.5607783711	0.2502792901	-0.4012447048	0.7024080447	-0.04493498126	-1.373008312	-0.6920884922	0.6282566524	0.3713612591	-0.955909357	0.7648405052	1.07161034	0.6740934308	0.3835830899
-0.2517935642	0.5105597684	1.463537447	-0.8189483839	-0.06556657837	0.587234596	0.3515525173	-0.7474907567	0.409013567	-0.8406904335	1.287847549	-0.8777411706	1.88910275	0.1776920469	-1.368698504	-0.07172678302	0.9807253306	-0.637369779	-0.1642939787	1.046119049	-0.5311839592	-0.2076165247	-0.4147731073	-0.7724050957	-1.683188951	1.196155933	0.5647536083	-0.447137857	0.8516813413	-0.1654046299	-0.1879869286	-0.7985842287	0.7396606884	-0.07424275664	0.3590932427	1.485042224	-1.038415946	0.2896297298	-0.4890767032	-0.1989330801	0.5906104331	-0.3803673145	1.351358068	-0.5730050544	0.3097693583	-0.8200127075	-0.3369018845	-0.1329174379	-0.1964328164	0.343614428	-0.5844487196	-0.4406872093	0.9298132245	-1.294497632	-1.023258376	-0.5182915849	0.4082374905	1.032651153	0.4467077123	-0.2840513916	-0.5639009715	-0.2769693579	1.630408493	0.07071602405	0.03828204205	0.4009430759	0.2885989805	0.4514364825	-1.694615792	0.1322184852	1.855512064	0.3336585111	0.3697101606
-0.5874981171	-0.6522309278	0.4888829884	0.3162923465	1.118152231	-0.4595109016	-0.658877371	0.5330761628	-0.7720471443	-0.02900423224	-0.5647770438	0.4610310704	-0.9014796544	0.6517245395	-0.7707268242	-0.4535731917	0.2437019721	-0.3030144549	0.9957223541	1.155896911	-0.01385131074	-0.42531378	-1.117981652	0.249746054	-0.5546989503	1.35117258	0.3075932614	-0.1489765976	1.282168327	0.9012671277	0.612101096	-1.603618663	-0.4005174907	0.4798467306	1.327627875	1.200096161	-0.4094262423	-0.02530939482	0.2451003364	-1.309582344	1.23525983	-0.2253911233	1.42916279	1.016648819	0.5198428325	0.1124488321	-0.1841893201	1.912900342	0.05609304294	0.009865904912	-0.4429293017	0.5250718164	-0.956664196	-0.5779610463	0.4159736421	-1.188386392	0.09404916193	-0.4738525326	-0.502597725	-0.3600603103	0.0893743208	-1.520908804	1.559670161	0.4352839334	-0.785796046	-0.08006051457	0.3204934299	1.387240634	-0.5194314637	-0.5615574094	1.335307392	0.4021943324	0.3725901793
0.758255225	-1.417322282	-1.346564422	0.9459831086	-0.05837377224	-0.5109833487	-0.3585499047	1.08137671	-1.604010511	-0.4297167308	-0.8474225152	0.7597896409	-0.187056123	-1.162360958	-0.517359978	-0.4458245312	1.397685991	1.050952067	0.3908660461	0.6723328245	0.8951592694	0.9355538163	-0.8485035704	-0.2389155143	-0.001526521138	1.351330532	-2.007321658	1.026514246	0.166852897	0.300414133	0.4279250263	1.12985736	-0.09825852275	-0.3309283374	0.2497843666	0.5820861175	0.008566575115	-0.3025338621	1.13843162	-0.5035960677	1.243729663	0.8304147846	0.93827257	0.4762902354	0.2986445012	0.3595238426	0.4666845333	0.1883610842	1.155817474	0.3220693121	-0.4925342089	0.1631807607	-0.09725601847	-0.3113826233	0.6528802669	-0.7332110056	-0.7548878559	-0.03366734379	-0.3747960763	0.6600722737	0.2362526958	-0.9663329832	0.6872053778	0.2129073123	-1.204372262	0.5634182622	1.14448037	1.024597724	-1.119647694	-0.3933731032	0.7454411257	0.5521802221	0.8991056922
0.6482753294	1.39263041	1.0300623	-0.7872952211	-0.9584737984	1.362100405	1.66470792	-0.1966240074	0.8413062339	1.654049829	0.5916998975	-1.266765048	-0.2473665946	-0.8590303023	0.5603353236	0.5112679499	1.264762022	-1.750426622	-0.8742470416	-0.1951649876	0.1846781559	1.379494988	0.1966952063	-0.8975432636	-1.204693761	0.6154040691	0.2211334941	0.6997167032	1.042518536	-0.09841258693	-0.6979054525	0.3967198443	1.792534948	-0.5957770491	-0.7215688113	1.845930097	-0.294613069	-0.2106802643	-0.6436395962	-0.2102524413	0.3665053394	-0.6998003426	0.1028251324	0.1229610267	-0.4543678839	-1.489842584	0.5871060459	-0.440752467	1.140816701	0.3730182081	-0.01535881287	-1.396225254	0.4697676711	-0.1470153287	-1.058143874	-0.07651080245	0.05052318527	1.71268176	0.3115268288	-0.6635602681	-0.7404144534	0.7670458705	0.1346088037	-1.168819314	0.3838333846	1.01160415	-0.4825196678	-0.6577041728	-0.5244821636	0.6581487049	1.108969287	0.8464780665	-0.4370444916
-1.205473475	0.3393495397	1.796058106	-0.9349165388	0.6029734189	0.3344562812	0.04291755488	-0.6852880042	0.6195332777	-0.9418429653	0.9074686703	-1.222688619	1.525635472	0.9971558877	-1.242955316	0.2853293887	-0.09838873543	0.1916383327	-0.07919549586	0.1530176986	-0.3717707275	-0.3907198337	-0.3619112148	-0.7991315586	-2.137029316	0.4518990328	0.2005189868	-1.342904178	1.634020636	0.1781646608	-0.3821223984	-0.5704134166	0.868462586	0.7306009308	0.6129878649	2.00954813	-0.5877095252	0.1762148045	-0.9703167473	0.270825088	0.5380674029	-1.22393969	-0.9847126454	-0.6510828225	0.8750409542	0.4937604686	0.239434406	0.08431238971	-1.016591475	-0.04826019336	0.105076227	-1.712334149	0.830024256	-0.8403165581	-0.6643419816	-0.530610991	0.3788804951	0.9173184154	1.222776083	-0.8504606186	-1.101264202	-0.3601692758	0.8737013031	-0.06902609264	1.177820343	0.174171833	-1.077741539	-0.5173015634	-0.8623685045	-0.2662233376	0.6057188484	0.02728517343	-0.25947958
