melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083
-0.5202115002	-0.401386067	0.8239738651	-0.2105552221	0.7140525391	-0.7328381567	0.1091502388	-0.4911871077	0.5746851797	-1.017511713	1.416421689	1.287663984	-0.3183700559	1.227818038	-1.443849953	-0.5415072678	1.475350949	0.6453738102	-0.4142219721	0.4312624324	-0.06527527317	-0.9092477859	0.005558198863	-0.7255938867	-2.400029183	-0.03543080124	0.4126240653	-0.08645306296	0.7746887829	0.0547344789	-0.3969178043	0.07285816436	-0.5074940924	-0.001150300131	-1.601862849	1.07185547	-1.13569886	0.3646341823	0.6495109489	0.6712266076	0.05418241582	-1.332872927	-0.4319171254	0.3749973456	0.6779468834	-2.0314486	0.3385939434	0.1024037119	0.3377016701	-0.4571629964	1.350194297	0.1367301876	1.593116522	2.18095714	-1.205566922	-0.2070853834	-1.108380636	-0.7275623771	-0.731777459	-1.257640356	-1.230235695	0.2508295278	0.05614014664	1.686722108	-0.06921170785	-0.5014684275	-0.3536868524	-0.6356630219	-0.009555785988	-1.764279989	-0.8561749269	-1.161244489	0.6031886169	0.6619917759	1.720580241	0.5013166653	-0.8756676776	-0.1363257815	0.8110185687	-0.7767957078	-2.158773157	0.9948445826	0.8127105381	-0.9173450627
0.733082885	-0.5428172323	-0.9381523725	-0.999286238	1.086947687	-0.05302525693	-0.5308215077	-0.1782578	-0.4535513608	-1.015296153	0.7181885464	-0.6247536239	1.069558182	-0.8267460619	0.5925348611	-0.1679998643	0.546074194	-1.282258089	0.533665284	-0.3842689628	-0.08321055573	0.7700564886	0.229685205	-0.7285775174	-1.817511129	1.346431289	-0.7801698202	-0.7532402625	-0.2402438433	-0.1052833851	0.4427168767	-0.5673292194	0.1169955695	-0.5475817371	-1.050147577	0.4727363048	-0.6022584231	0.1550468966	1.209010326	-0.3012644793	0.4856161625	0.6063809858	-0.1078249457	0.4084685845	0.05952320326	-0.08015791002	0.4229851851	-0.2151648965	-1.011977532	0.7108625276	0.157105263	-0.4291360265	1.498521303	-0.9791253396	-0.6531175813	1.391415956	-0.3887970024	0.678814343	-1.281426507	-1.631971855	0.4249054597	-0.188628345	0.08300772669	-0.8350102468	0.8726480507	0.08045975545	-0.376601088	0.1767286086	-0.08211541216	-0.6414601162	0.3967942103	-0.9762266014	-0.5491483232	2.31612232	-0.07476236237	0.8457731278	-0.708413399	0.05372755359	-0.1729082314	0.3106889677	-1.809900307	0.4572915219	0.5198130057	-0.3420180921
-0.181192567	1.070681291	0.04543765864	0.7838540146	-1.326688882	0.3885711501	-0.0385902761	0.1432108242	0.6642197913	1.451946226	-1.885565714	-1.091999205	-1.117887633	-1.356998218	0.5916916903	0.6321790981	0.3915343189	-0.2126379585	0.4246692672	1.834064375	-0.2971426961	0.9680483712	-1.456306815	-1.026806952	0.6275438631	-1.018609066	0.03633240523	0.09750986171	0.8574145276	0.445316094	-0.7077962314	0.4197140333	0.8100333625	0.289993111	0.1388509079	-0.3844811178	-0.3322322102	0.2116719586	0.9197932467	-1.251708354	0.2346993509	-0.5007361908	-0.3320544972	-0.04298853702	0.4382275584	1.07206157	0.842437924	0.4258367597	0.9198171708	1.561966507	-0.5196373343	-0.4668063338	2.066595914	0.3079351783	0.3514073599	-0.001514084366	-2.386709018	1.257880504	-0.7699346011	0.0993631024	-0.7815242727	0.6101091744	-0.1806201498	-1.197046915	-1.50106665	0.2074421942	-0.6084474778	-0.8149354633	0.02345678497	0.4763959612	-0.2695782534	-0.6997372914	0.2577726497	-0.3815636125	-1.135871624	0.7663248324	-1.344713745	0.6540074901	-0.7758460428	1.764856355	-0.2099251796	-0.7953951919	1.707878444	-0.6981061567
-0.6269414622	-0.5790840535	0.06804930861	-0.357835354	0.5871528986	-1.534079818	0.1476495184	-0.5845179574	0.7258333071	-0.6099204907	0.5887784164	1.72905997	-0.714318746	1.962235873	-1.335634668	0.05076939017	0.7612896893	0.4153355896	0.4954269061	0.02871593076	-0.03532853953	-0.6601717188	-0.3445256603	-0.5415462563	-2.314829154	-0.6654201837	-0.3387014892	1.160948568	-0.9570050894	0.7484058462	-0.4597931197	0.9124324536	-0.7861462369	0.6271403921	-0.7214890216	1.772901333	-1.328356493	0.348323366	1.171655772	-1.148175961	-0.9061750324	-1.125003049	-1.179170945	1.020710694	-0.05591858533	-1.92048012	0.6408703466	-0.06269505652	1.126035108	0.53847236	0.1029770143	-1.146434461	1.111276502	2.440648377	-0.1318988359	-1.281373858	-0.8927737108	0.7150959169	0.02852773809	-0.4576309447	0.5033600606	0.6136980299	-0.1562730788	1.910790458	-0.7241716536	0.2619072706	-0.4221096338	-0.3254026829	1.936111911	-0.6721307192	0.8623223679	-0.07777403514	0.02828796616	-0.5004755253	1.053251544	0.300209703	0.04133690151	0.4342675764	0.4733271488	-0.07670448142	0.8864871916	-0.2960583966	0.7820764181	-0.6641283434
2.019161994	-0.196314511	-0.2827428488	1.787535527	1.09934069	-0.961012073	-0.4606142261	-0.4639432085	-0.7154880595	-1.222719583	0.03075942204	-0.16036016	0.269876792	1.230791254	-0.1966376929	0.2622572161	0.7925559391	-0.04015956083	0.462383387	-0.6333718571	-0.4118754729	0.1654766623	1.082575227	-0.9905675045	-2.724754082	1.787767365	-1.169682374	0.9239888805	-0.7107327863	0.9659247884	-0.06970309031	1.440298491	-0.1848662275	-0.3733719724	-0.204718996	-1.088035996	-0.6894131931	0.4152733004	1.047741051	-1.495580218	0.3146682556	-0.1643365113	-0.07730241353	-0.2480437908	-0.160203366	-0.471929017	-0.1972987212	-1.049483113	-0.456265323	0.5565752299	-0.2830883336	0.002868772923	0.8731670187	0.4967120468	-0.02894849082	0.7292127784	0.03894818691	0.219824672	-0.4394786304	0.6993113364	2.313044504	-0.9365775273	-0.2801135902	0.531564858	0.7451043716	0.3880357892	-1.093207908	0.1166290059	3.000565456	-1.184102894	1.625840902	-0.5549212685	0.03832180329	0.7649967538	-0.5303338063	0.3201906604	-0.08102768417	0.553101791	-0.4700875889	0.1517379379	0.6683550601	0.4514874642	-0.5434673647	-0.4066502615
-0.6065307351	0.4729573957	1.118725298	-0.6752787507	-1.609684069	0.7866232845	-0.446232901	0.1027712166	-0.9525350632	0.9288745321	-1.555429844	-0.2940259138	0.1709067143	-0.3613678054	0.3887269969	1.242399232	-1.949883724	-0.7603490372	0.4735269237	1.516159755	-0.4593115035	0.6843874282	-0.005734765647	-1.564508985	-0.9982248349	0.6077462026	0.6521755422	0.5313848104	0.581275549	0.3879069343	-0.8242533045	2.131171768	1.653433759	-0.1438948285	-0.1373490929	-1.049797401	0.6040095017	-0.5218560106	0.9524924853	-1.5550752	-0.1388582585	0.04026644987	0.704681207	0.002343431475	0.6616499113	0.4837493216	0.03518101878	-0.3238274929	-0.2061156985	-0.1560332357	-0.7488153543	0.1283718462	2.102111733	-0.6817041329	-0.3368735044	0.8285064361	-1.549848966	-0.4634568033	-0.2713183843	1.080687588	1.84434466	-0.7497096214	-0.1314401019	-0.4822433679	-0.06948931583	-0.2693913643	-1.866354074	-0.3331295552	0.2788967054	1.148819903	-0.5144316097	-1.550747759	2.699184906	-0.8153510371	0.4060589542	0.4182096172	-0.6724007231	0.7453160303	-1.047664609	-0.6733999561	0.3860481668	0.1683662661	-0.3600586807	-0.3187884362
-1.04556768	-0.6968293814	-0.289659739	-0.9484339178	0.1218739045	-1.329356686	0.4149861604	0.3424717949	0.1252453382	0.8274339326	2.027669587	0.8977860073	-1.099932417	-0.413348213	-0.5635265481	0.5286694954	0.6494299402	0.1338675613	0.7986466302	-0.2989894268	-0.03131590922	-2.162544589	0.595276483	-1.199504077	-1.953449513	-0.8190594761	0.7062598405	0.5766240147	-1.01529207	-0.2595878897	-1.605167344	0.1034254071	-0.6262908236	0.6432421546	-0.1652101085	1.515599535	-0.5588820226	-0.02165305297	1.041697748	-0.5722718332	0.2237954103	-1.351135839	-0.4050673417	1.480523497	0.2972433186	-0.0437083273	0.747424759	-0.1675933893	1.05504343	-0.07664660956	-0.9789823746	-0.9165315935	1.484571181	1.135292325	-0.2599653919	-0.5026006789	-1.01898267	-0.08807046522	-0.3733131603	0.86705363	-0.8987280635	0.2163935922	-0.1372325454	0.9535941885	0.688648967	-0.9730417111	-0.8876193849	-0.6938679168	-1.003527927	1.243023081	0.03648214941	-0.6817112329	0.8421022906	-0.7498550642	-0.1647976393	1.133853267	-0.9998596764	-0.3632960882	1.022816774	-1.460801272	-0.0472630203	-0.1245934251	-0.5722730088	-0.1709941315
1.297958942	0.9477548682	-0.2931528959	2.046879437	1.208122652	-0.5317243886	-0.1572450212	0.4724578306	0.4937086274	0.2686190402	0.7496112114	0.4417380926	-1.282427338	-1.234541678	0.03614963924	-0.1487604312	-0.05929887658	0.0206929024	0.6820665148	0.004007723167	0.03095668003	0.6606516326	1.030376318	-0.4750382954	0.02217005457	0.5068074436	0.2921329365	-1.245183735	-1.103753183	0.6915511004	-1.585804406	-1.307495321	0.376501327	-0.02794862193	0.8736637995	-0.1785906748	-0.4450344	0.01091555019	0.155199188	-0.2232860868	1.19059367	0.1572951971	-0.8980189872	-0.8186554703	-0.8123645596	0.100820279	0.05428210085	-0.1280104702	0.400044946	0.3644531162	-1.905000729	0.100363358	0.9055058851	-1.200792586	0.7588350219	0.9428334264	-0.2627071922	-0.05105196609	-0.3438742437	1.398895475	-1.06521876	-0.3550377831	-0.359347228	0.6660393245	2.274826885	1.082954249	-0.3651732085	0.4525728471	-0.1044714798	0.6971627388	0.6423516919	0.1751657842	-0.6790891394	0.1386211811	-0.9859858711	0.4009298529	-1.160666613	-0.4381920057	1.29442915	-1.182165513	0.5753013075	0.4301519514	-1.75250584	-0.2212641521
-0.6747976275	0.004630155437	1.527322031	-0.8209076524	-1.104392475	0.5594036699	-0.1805606189	1.594684537	0.3348559456	0.5600795831	-1.25250063	0.8086313772	-2.776968947	-1.16038042	0.07462249117	0.2592363069	-1.129851122	1.829807587	-0.1714417648	2.68867914	-0.2530101238	1.588332667	0.08130619376	0.1908566949	1.314148571	-0.9501958372	1.419754486	-3.006268213	2.174271982	1.073630312	-1.752740403	-1.016504785	0.2972414217	0.7090501491	1.146681684	0.580262037	0.357912147	-0.7873866517	0.06775931821	-0.3468710652	0.3515283425	0.1445329463	-0.6312410716	0.2036491036	-0.06905330588	1.762986673	0.8083828026	1.366811355	-0.9913824041	0.6278503555	-1.45987101	1.036179955	1.154570771	-0.2162263572	1.517361549	0.7704298416	-1.149749831	0.6317576102	0.6834500367	1.398058532	-1.071910946	0.4047581327	-0.4385683336	-0.1564171243	1.280489201	0.344038243	0.342405241	-0.8380426004	0.2327926599	3.109984982	-0.8569528742	0.6698244274	0.4766713796	-0.6424138312	-0.6445685441	-0.4712995556	0.1467822694	0.08186888012	-0.4571802641	0.7774940812	0.8408230701	0.09866434559	0.4429420234	-0.5658292681
-0.2740309537	-0.8016582718	-1.221322129	-1.289737959	0.3030970019	-0.8283674968	0.2992265912	0.008828926027	-0.6762888432	-0.7662042881	1.623350918	-0.5756198922	1.212165824	-1.379607417	-0.4607819497	0.3543681396	0.235139325	0.367105117	-0.4933537618	0.6382217809	0.3882693638	-0.04452006121	0.09193795642	0.6298974166	-1.137512877	0.2383217696	-1.182516315	-0.223898497	-0.2302563495	0.625515118	0.4540206422	-0.131756679	-0.7933200168	0.2468665796	0.6915560073	2.167131066	-0.1446581814	-0.0218919887	0.8730559514	0.1941557929	0.2179835376	-0.3167707133	-0.05973204614	2.353969605	-1.144796146	0.1277508095	0.1831544026	0.1841819354	-0.3696707351	0.2956406749	-0.5616421904	0.001713309527	-0.1206068624	-0.8007807126	1.572057521	-0.6065335201	0.6148823382	1.179270725	1.043275317	-1.147290063	1.24035087	1.094635918	-0.3290673136	0.4406575204	0.9358054873	0.9762732062	0.8262159061	-0.1265918319	1.152628682	2.475717477	0.1007978519	0.1417593368	-1.036467359	0.6420676643	0.779527187	0.6884450123	2.874811201	-0.08251151197	0.1358228764	1.829313303	-0.09089773168	-0.1461472334	1.034673437	0.9063565324
