melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058
0.33527758	-0.1423398177	-0.7005022561	1.094554117	1.16359644	-0.218273063	0.3598792164	0.1583483785	2.279358604	2.13137582	-0.4711136328	-0.08281635337	0.9911981031	-0.6963968274	0.22863811	0.6421299971	0.01774787018	-0.5902410756	0.525125594	0.9427028437	1.149423527	-0.7297130014	-0.5726338612	-0.1781256515	0.3530082468	-0.4818790692	0.1892508087	-0.1341315611	-0.1196192577	-0.1150828627	-0.98225194	-0.3152641528	-0.692658442	0.9758245806	-0.7625036044	0.06329996641	-0.2970840791	-1.393508909	-0.7397521367	0.8408784191	-1.568579567	0.02116944622	0.4963223467	-1.735193288	-0.765960223	-0.3804545564	-0.2557491044	0.1449778468	0.5928958421	0.2187516059	-0.03752483154	-0.3652741389	0.5788348793	-0.06090245407	0.5387827181	-0.8255369545	-0.07720660031	1.390549988	0.3026339941
-0.8406026244	-0.7525360391	-0.3510590462	-0.9633164798	0.2729327462	0.9947369618	-0.4006084634	-0.3605847711	-1.522854786	-0.8201909105	1.793150219	0.4266043821	0.0985255424	1.272852559	0.3535357345	0.3430034952	0.2452496813	-1.776336262	-0.3954627607	-0.7270842832	0.5017496517	-0.6588082685	0.2097968933	0.5524563724	1.051973668	0.5368035198	-0.5186004966	-0.1806674963	0.2113935372	-0.9833434943	-0.05502729564	0.9641443716	-0.2779581244	0.6332914957	1.518117022	-0.1241617165	-1.08848144	0.760633329	-0.2143581149	-0.1673231988	-1.513762987	-0.3354992144	-0.2923183953	-1.3224728	0.3867198506	1.375744895	-0.8613392709	-0.4200459952	2.099948685	0.04193665241	0.05015075416	-0.5467788127	0.380098034	-0.9640785683	0.4935777525	-0.1722728032	0.3012887366	0.7086402657	1.709265843
1.498552403	1.238866033	0.4842285247	-0.6188884948	-1.076931171	-0.9233930394	-0.4161602775	0.1736993566	-0.2637412657	0.9026637403	-0.6587600323	-0.09171022475	-1.376448594	-0.3798230516	1.766083041	0.07647037243	0.8321137683	-0.7213009473	0.3239165812	-0.3298498611	-0.7498431914	0.2224729837	0.2161876014	0.7596096634	0.8028427868	1.043262741	-0.5327004657	-0.3280182652	-0.6750101587	-0.09333917848	-0.6883804717	0.08074649885	-0.1362938066	1.417438447	-0.04049864144	-0.1304259378	0.560090371	-0.9361962917	-1.121728785	-0.3168518525	0.1368099377	0.1051122223	1.747988852	0.3237345005	-1.096159057	0.9876679193	-0.768240152	0.9485730986	-0.5548022014	-0.03399457717	0.5197990237	-0.05732857408	0.05113551305	-0.1710312017	0.2760965127	-0.01495430809	-0.8012720025	-0.7962941409	-0.5068763489
-0.8776246833	-0.5544285552	-0.791672288	0.005682822253	1.441237795	1.967750763	-0.1211984759	0.2064790363	1.619399684	-0.4725406791	-0.7601085483	-0.1243609296	0.8810466994	-1.153820533	1.65860021	0.3819132162	1.356609333	-0.5325931938	-0.6232338752	0.07110249346	0.02965509265	0.3708569637	0.5912123673	1.069797664	0.906156835	1.159789524	-0.6756383787	0.296626721	0.7505022815	-0.3353974049	-1.154379184	0.2720231379	0.1163925075	1.101947865	-1.379740636	-0.2829076369	-0.2412382185	-0.0543778608	-0.08149490821	1.149271073	-0.721006729	-0.02021318834	0.09051646662	-1.084728877	-0.2451341613	0.4825396035	0.1670239784	0.9923095528	0.01279947018	0.550079746	-1.169390794	1.552385469	0.4068364452	0.5483590974	1.283433405	-0.2668429326	1.100153133	1.46771455	-0.9149776475
-0.7401544375	-0.8936122442	-1.044801994	0.0695224422	1.262447152	2.581313428	-0.4480549219	-0.604696806	1.660766454	-1.839561926	-0.9420358184	-0.4705283088	1.675587723	0.03988113477	1.202313334	-0.002116003037	-0.04747377091	-1.152605201	-1.338782031	0.3633499183	0.4039796555	0.7415172263	-0.7632376501	0.4014673612	0.5487095725	0.1606460278	-1.717894575	0.6527189886	0.9634909197	-0.2618147901	-1.431537129	0.4271041957	-0.5752345789	0.5999950421	-0.5628759869	-0.6250065276	-0.5230255493	-0.5690017981	0.3428474364	0.4275257671	1.054445347	-0.6523244321	-0.9420793781	-1.029144963	-0.2051398669	0.2736177052	-0.6532978251	0.6745034443	-0.2172399195	0.5500080342	-0.5391653691	1.399022897	0.07325459979	-0.08978503303	0.5172803064	-0.4819336435	0.101074738	3.188830502	0.7488438946
-0.495851878	-0.938922301	-0.8731160309	-0.01471739573	1.270484401	1.666233398	-0.05624589136	-1.636745071	1.486598974	-1.625563849	-1.722501748	-0.9725199873	0.3554369147	-0.3775740065	1.019412626	-0.7470921044	-0.5626239575	-1.562666679	-1.782483924	-0.6625221104	0.821637622	0.673511092	-2.03919233	-0.579230463	0.1301478988	-0.4514792259	-1.980746668	0.2194922639	-0.4890464214	-1.155840487	-1.076957657	0.8303559876	-1.744734432	0.2937933434	-0.5860911681	-0.5347346771	-1.786118917	0.262825529	-1.17503751	1.030834063	1.395840896	-0.4120171925	-1.830284338	-1.372166109	0.1244109621	-0.5464751372	-0.4979073679	-0.06042976774	0.9023501334	-1.162309169	0.1981250492	0.4666117311	0.330797533	-1.218806214	0.1876801462	-0.2272840325	-0.2234581878	1.315918406	-0.1488785334
-0.6038542317	-0.1575027153	2.266363202	-0.7300906948	-0.6565538398	-0.3060741174	-0.2599291278	-1.375352084	-1.121260276	-0.6701502013	2.063261854	-0.5978219652	-0.6598834148	1.205577636	1.392954472	-0.5149064839	-0.3152431471	-1.525535922	-0.9484074127	-2.268124025	0.6539391513	1.181420525	-0.8131327246	0.3114135194	0.225361467	0.3649559995	-1.855838413	-0.6068072559	0.2735999906	-1.260447146	-0.7287663399	0.8039968128	-1.133580951	0.5181760306	0.7325416974	-0.3566201661	-1.10405411	0.3069073157	-1.415444314	0.4272833618	0.8353590573	0.2154551574	-0.1614491944	-0.01770917356	0.8798094898	0.6551221362	-1.040621142	-1.136216408	1.802447928	-0.3970322548	0.08251178292	0.6978454453	-0.3271071742	-1.89665087	0.3562009023	0.6643329818	0.3909518398	-0.002313564605	-0.01652143496
1.38821459	0.05231296639	-0.5222850359	1.183086084	-0.6506537461	-0.9864244437	-0.1702668388	-0.3519968397	0.5776671745	1.640270815	-1.3068607	-0.4583006801	-0.9986064035	-0.887245886	1.747845896	0.318358022	0.7727268598	-0.2194855318	0.2834263291	-1.123201203	-0.2829717873	1.971780835	0.0671368541	0.4502439668	0.3708136228	0.515554001	-0.585485961	-0.4454210069	0.4650843252	-0.2881112774	-0.5773638992	0.7213856709	-0.00759383829	1.137547933	-1.303718365	0.1407612609	0.3739898444	0.5095298688	0.276266532	0.8159045307	-0.1519942533	0.6409299733	1.07700041	1.163869456	0.8430444297	0.6203740176	-1.339161115	0.1289319031	-0.753157002	0.3076040683	1.331130191	1.63373817	-0.7859521689	-0.7399673538	-0.3068779866	-1.055569561	-0.5027803187	-0.4590100279	-0.09171720411
-0.805613912	-1.102118561	-0.9942720754	0.4273191897	1.936834274	1.464634075	-0.4707883038	-0.5127934319	1.794595995	1.906317999	-1.174703893	-0.6560699391	0.5131047825	-1.988234334	0.4176814329	0.2498502031	1.870726249	-0.4045490096	1.091071618	0.1140511578	-0.8922776844	2.426777111	-0.7239584589	-0.8722356118	0.4050991941	0.6876153362	0.3439861473	0.8232325451	0.07903443853	-0.4053977136	0.1721050175	1.436515766	-0.1956017663	0.7912227082	-1.200856733	-0.1387902046	0.4268202574	0.6907611555	1.095875393	-0.3688687673	0.06794573645	-0.07646925091	-0.2548413475	0.6990785286	0.587914583	-0.9574259853	-0.9178988653	1.512987496	-1.181270941	-1.001175431	0.1957663566	2.071120718	-0.4280132017	0.6866886095	-0.6207418095	-0.005294953936	-0.1459552523	0.7214999139	-0.3879028734
-0.9714744675	-0.8091464323	-0.9481344214	-0.6681108522	0.481846928	1.036357292	-0.425392695	-1.225191051	0.2858626048	-1.721788381	-1.613009689	-1.170872822	1.064098669	-0.3690115457	0.4289357843	-0.1213865212	2.11454443	-0.9974045945	0.3695195374	0.02312962972	-0.1187835602	1.089725563	-1.013064059	-0.9249145138	-0.1340272078	0.4527558476	-0.3217944565	1.158365488	-1.04664051	-0.6003459394	0.8299417028	1.771804979	-0.6092479081	0.6205372306	1.27115881	-0.5851116948	-0.1663712315	-0.5457272349	0.1282518739	0.5560357714	1.415292649	0.2066492614	-0.691852513	-0.5042419225	0.7050880271	-0.7413934173	-1.10802849	1.214915557	0.4449315792	-1.546275323	0.7787872177	1.587757547	-0.03560895213	-0.4109764731	-0.2665613267	0.7058415917	0.02337390612	-0.6518588492	0.5550864588
