melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082
-1.085079692	-0.8581595085	-0.9156260355	0.1111062418	-1.170954675	1.675340819	0.05463152016	-0.5947242509	1.325725815	0.275606422	1.21938335	-1.142544259	-0.1126723521	-1.035460452	-0.8542837731	1.033528659	-0.474822798	0.9333204133	-0.1744557364	-0.1114863135	-0.08423151224	0.008466653644	-0.7588148284	-0.1070452894	-1.189761453	0.3624475552	-2.024936341	-0.9838880512	-0.8475029208	0.02677205287	-1.293108823	0.03123944068	0.9730244459	1.128858662	-1.265707991	-0.7351478717	-1.018010512	0.4266242202	-0.09029390591	-1.362448788	-0.3425395557	-0.1751123453	-1.096360918	-0.05563645205	0.0688274506	0.1162250191	-0.09614491336	-1.043932535	-1.222171328	-1.772882528	0.172711818	0.9928029392	-1.569949687	0.1445483097	0.1306224561	1.382423057	-0.5689505694	-0.5588504607	-0.04871806079	-0.7894720556	-1.453093051	-0.82594438	0.8052883835	0.02476366854	0.6827628145	-1.613961822	0.1260618409	-0.1467897553	-0.6164095854	-2.15674303	-0.01960684911	-0.08113990865	0.3377088123	1.179443188	0.4551415589	-0.6411139509	0.6009349293	-0.9818137565	-0.3034913994	0.5512023458	-0.5790178539	-0.3976063329	-1.757833036
-1.318484278	-1.319569013	-1.137460854	-0.6735237955	-1.064962193	-0.126889928	0.1091137689	-0.2506847587	2.398812051	0.641460554	1.596425366	-0.7582370598	-0.1460064525	-1.084095882	-0.2903436467	0.3116439671	-1.38507285	0.5879750414	0.5640606476	0.1369388174	-0.9987030052	0.5155983601	-0.7579208427	-1.445940839	-0.7870454044	0.04970638806	-0.6006802676	-2.177494441	-0.1438588212	-0.05752984838	-2.256004567	-0.4320121241	1.309599669	-0.04957935167	-1.412515417	-0.4820301852	-1.15501604	0.7987456053	0.07962317501	-0.9072627886	-0.02756133902	0.1465556323	-0.6303377326	0.09829357261	-0.4844482235	0.1249363969	0.2512581488	-0.6622353434	-0.7742159658	-0.5259757836	0.1191080644	-0.3130865982	-0.7955080042	-0.6693218387	0.1240376483	-0.3546642426	-0.6662105554	0.2992020408	0.2715953058	-1.676328976	-1.123827779	-0.03935001909	0.7202156938	-0.226187108	0.6398352703	-1.634570964	0.07006477908	-0.2382469845	0.1878585227	-2.151455382	-0.7405117599	-0.6501492326	0.1181685204	1.438399482	1.296694933	-1.04070692	0.05751344916	-0.3550587927	-0.7529684122	0.6172637016	-0.08967019616	-1.174687797	-0.5052388641
-1.290763381	-1.372060024	-1.008109671	-0.9174711506	-1.077350694	-0.6036085307	-0.1910793398	-0.02488437572	2.01654622	0.715912826	2.344490165	-0.5887960264	0.06355371785	-0.8915659977	-0.3650833092	0.803453973	-1.470189159	0.6604110783	0.1640621343	-0.03259880126	-0.3865526091	0.4361640589	-1.39360139	-1.725256755	-0.1006636021	0.5733748104	0.4064398961	-1.362504106	0.461267943	-0.00957052324	-1.663533709	-0.5297500947	1.082003094	0.4074386243	-1.172151992	0.06443245954	-1.140168134	0.8932307831	0.3808785258	-0.6103134893	-0.1958629729	0.5866848857	-0.9220539846	-0.6274113463	0.2089961741	-0.01343490676	0.04751099378	-0.01797587637	-0.5088984602	-0.2299882574	1.069025409	-0.05245534948	-0.3687228595	-0.3342118378	-0.001138652635	0.2219918246	-0.892505255	0.8161376157	0.1382058674	-1.812103971	-1.10834669	0.6062561424	0.2936195386	-0.6738049417	0.9249572023	-1.411110222	-0.3228257226	-0.1268039079	0.4517343256	-0.7483068312	-0.6821939303	-0.9629840743	0.2918440034	1.188836763	-0.04047433949	-0.6117319814	-0.797937497	0.2033832418	-0.9020962314	-0.4537257145	-0.2399262354	-1.034517861	-0.3684044094
-1.109456976	-1.246535033	-1.054775603	-0.8552314887	-0.4264884918	-0.6785911983	0.1609182949	0.4826368239	0.01108403636	1.3805589	2.344057186	-0.2842359405	0.04188925891	0.6258850626	-0.6329861473	1.125257613	-1.008544109	-0.08684363848	0.4725887905	0.1022873083	-0.833821746	0.270689694	-1.297113455	-1.650507874	0.4955087222	-0.06253549802	-0.1751492067	-0.3733101917	0.29859583	-0.3828725407	-1.121060269	0.2214065578	0.6288596275	0.1798127893	-0.9717789481	0.5239955401	-1.000087708	0.9613818271	0.4020461943	-0.1610885717	-0.3141443884	1.358051738	-0.1771958816	-0.4525107277	1.008029735	0.1374059515	0.4986087933	-0.5402987723	-0.3027860895	-0.8932648527	1.328164759	-0.3503973229	-0.1151440046	-1.387015747	-0.4538157641	-0.2424589462	-0.4537753909	0.81560655	-0.3146788077	-0.7995934466	-1.621509558	1.148303	0.1804646761	-0.9402775089	-1.987885696	-1.972790578	0.1430486927	-0.209650365	0.173581365	-0.6420939811	-0.5250552819	-0.8163623918	0.9219855867	1.467925373	0.602318965	-1.12974538	0.6394081978	0.1434759409	-0.2043252078	-0.4359144025	0.6498901276	-1.395523267	0.5614634569
-0.7122695392	-1.066626078	-1.193341138	-0.94075689	0.5089740668	-1.233127659	0.4532971395	1.72205374	-0.6470522509	0.9614375568	0.1058656614	-0.03932287667	-0.1659560006	0.683034377	-0.638254593	-0.3272819005	-0.7547680003	0.4324539314	0.4128911367	0.4609953692	-0.9876576215	1.069154094	-0.5575329338	-1.961961255	0.1305997684	0.1330624988	-0.369309023	-0.642395516	0.4734477869	0.09396524063	-1.917226635	-1.41922209	-0.6868372889	-0.5889353887	-0.6335534117	1.348431758	-1.320490743	1.177936622	0.5013693872	-0.3102877824	-0.7556130893	0.4850943425	-0.3586585897	-0.02616252337	0.8483174316	0.01631611026	0.5676580855	-0.2485480635	-0.2953698401	0.9861250955	-0.2699587023	-1.521476244	0.251311588	-1.230322441	-0.2258629981	-1.48123624	-0.6294593031	0.4955522191	-0.539776506	-0.5090146661	-1.029446357	0.5635186183	-0.498894922	1.066449029	0.5472111998	-1.439674855	1.026820462	-0.1993646053	-1.677118798	-1.848719344	-0.8611659084	-0.5022293247	0.9729178287	1.223580504	-0.6136663448	-2.138632023	1.862533511	0.02915603686	0.7303606825	-0.0876602988	0.07513005093	-1.562526665	0.3886888437
0.334412728	-0.1993103687	-0.5863684801	-0.9645039547	1.76320433	-1.458647388	0.1304614274	1.238270371	-0.6761343857	-0.4051681377	-0.2699861947	-0.176472681	0.02986858549	0.272765479	-0.7710439637	-0.2654057886	-0.9465560857	0.5428543182	0.4914398203	0.5048581619	-1.258828655	0.8172760081	-0.7739454493	-1.935721014	-0.08716151816	0.3658990262	0.08265258372	-0.5539924269	0.7884749672	0.2038516263	-1.280410244	-2.036474529	-1.069365572	-0.2076158572	-0.3291883954	0.6522758638	-1.406632742	1.42136031	0.2433541647	-0.3693933344	-0.9270518919	0.5882306302	-0.9576014174	-0.5657511903	0.2629461248	-0.07422041594	-0.2695133581	-0.6216882649	-0.4019709683	1.578766891	-0.005529769726	-0.4577160686	0.9760827953	-0.1914819192	-0.9116151983	-1.554763155	-0.4624922483	0.2612489107	-0.9434968396	-2.568170207	-0.8214204542	0.6452770526	-0.9354988892	0.5309563487	0.7456028203	-0.5451906224	0.5807353076	-0.2437986104	-0.1064843188	-1.638743235	-0.4701466596	-1.41963404	0.06629972886	1.681739261	-0.9443555293	-1.520496817	0.645631629	-0.2853318843	0.177098511	0.1497920888	-1.796138418	-0.1936108255	-0.291837706
1.373993674	0.6934366887	0.2740588661	-0.5465706829	1.116502294	-0.8054141592	0.2589250021	-0.5639096589	-0.9414976943	-0.1557302198	-0.8287745676	-0.4443803614	0.04847529928	0.8106310811	-0.8095033156	0.4412466576	-1.419546492	0.5341260101	0.2538610054	0.5963206109	-1.044678014	0.1433771695	-1.01447252	-1.58860542	0.3777558681	-0.5723256895	-0.2801527547	-0.5421401183	0.5846981647	0.2903771259	-0.7730280126	-1.606668269	-0.6169018274	-0.698090237	-0.1424066096	-0.2509187772	-1.335778998	1.052101643	0.6342165215	-0.6022784812	-0.3975737458	1.079571589	-0.8310729265	0.09481701784	0.653819117	-0.2903352362	-0.4922954557	-1.197691463	-0.04968415193	0.526968927	-0.2797206803	-0.2899277138	0.6171556751	-0.5243002418	-0.444979598	-1.839511738	0.08199848529	-0.1713635174	-0.6031389854	-2.791512182	-0.7519869734	0.3815985812	-0.3266241328	0.04865637906	0.2557823455	-0.3990737083	1.316598007	-0.04266935144	0.001589180038	-0.8039439179	0.07516515303	-1.71119659	0.406481569	1.83885327	-0.358200868	-0.4728575775	0.5526607601	-0.3401959961	0.3544755228	0.04491281878	-1.725644061	0.6513106192	0.470901607
1.324972356	0.9361878185	0.5662867147	-0.2688951593	-0.5054407042	-0.6946498731	0.5235564557	-0.7699953277	-1.011546747	-0.383781711	-1.825087147	-0.2204808663	-0.1688214525	0.5924885292	0.01447812649	-0.8176043374	-1.171940868	0.2642019376	1.068454942	0.7372129304	-0.7668106258	0.1269296345	-0.8087374118	-1.266635821	-0.1124090277	-0.740702168	0.08467470099	-1.182848999	0.4546833031	1.269591926	-0.6530386466	-1.440357399	-0.2920584875	-0.7847891044	0.08762541364	-0.168447956	-1.107708598	1.232774296	0.8569353343	-0.03481128485	-0.5449021776	1.102350518	-0.731485052	0.6094353892	-0.4796637941	-0.8142003836	0.3118916886	-0.02759022421	0.2851805712	0.3960593742	0.2447425833	-1.054429725	0.1454711549	-0.5109132365	-0.1115492489	-1.052260075	0.09874257769	-0.6508774004	-0.8391959413	-1.545643135	-0.5052576496	-0.5389556954	-0.2234143536	0.2055627217	-0.8202094367	-0.9100107614	0.9066111436	2.118534719	0.02965915479	-0.1607138504	-0.06903094226	-0.6738606576	-0.0397089118	1.841612127	0.3678618758	-1.19841364	0.8226579395	-0.271635235	-0.3079951126	-0.7748564573	-0.04892573809	0.6741909075	1.222508281
1.61761289	1.54859977	0.8506883601	-0.07570613184	-0.2267328217	-0.5492177679	0.2838286932	-0.4819251371	-0.706128945	-0.52398203	-1.267504294	-0.3305663332	0.1393580704	0.1823905109	0.232845859	-0.4871988507	-0.2139263286	0.3020633762	0.1709593989	0.5455313707	-0.1409617234	-0.3590471026	-1.212961874	-0.6583882189	-0.6448788651	0.5539187244	0.3940204039	-1.169955546	0.5177325724	0.2309248025	-0.05092059158	-0.5149362777	-0.6181057394	-0.9589085006	0.1925207551	0.01594437718	-0.526592032	0.9572155193	0.3711024279	0.2038475762	-0.4387664593	0.537195956	-0.9895671118	0.1392154759	-1.886483527	0.139299553	0.3441644184	0.5281935326	1.029286731	0.3246052517	0.4067835169	0.6862040475	-0.1906290273	0.6564445725	-0.4083336899	-0.170096795	-0.1168335052	-0.5236732714	-0.5595903041	-0.633982839	-0.1038052703	-0.1881868102	0.1998203138	0.8822433673	0.2963127135	-0.5656263157	0.1200915388	0.1797537486	-0.1769619181	0.7876390843	-0.3180758734	-0.4244814697	-0.3778311307	1.664056864	-0.8408511631	-0.7268998506	-0.04067776658	0.4652646559	-0.2967753932	-0.7984032954	-0.4197722921	0.4469448846	0.5173065194
1.49652882	2.062842984	1.073665317	0.04075725062	-0.2289418708	-0.1271831207	0.5353408057	-0.4366127783	-0.6358157449	-0.4507005159	-1.158409274	-0.1202002135	0.1573393224	0.3497035722	-0.5857840714	0.2079119245	0.5028404767	0.08784114571	0.0984807701	0.3702721248	0.03486454644	-0.8507758934	-0.6302933096	-0.08674533072	0.1615273165	0.6890820568	0.2746616882	-0.794649732	0.5838531085	0.3668780048	0.2570091509	0.2802868241	-0.06995759768	-0.3331041089	-0.4163170892	0.2825333209	-0.7297448019	0.678447503	-0.478174539	-0.1980835728	0.001163732127	0.3218386417	-0.1184966015	0.6900264383	-2.16250592	0.4183189445	0.3834319156	-0.306412104	0.8262999134	0.3094607058	-0.3077165262	0.8232330708	-0.1972926816	0.6959591904	-0.5656766865	-0.03529171842	0.4485940532	-0.09759673817	-0.1817611085	0.2184153541	0.3501480481	0.4733631612	0.3025522995	1.085736079	0.8236949828	-0.7146825593	-0.3790200558	-0.6186587107	-1.256671679	1.137848004	-0.9595898101	-0.03372829981	-0.4286617727	1.815425493	-1.165404209	-0.4265224278	1.012943874	0.2112922573	-0.09743107579	0.09776166404	-0.2065868475	-0.2382442558	0.1195018405
