melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073
0.2502031787	0.4723711402	0.5799869485	-0.74787708	-0.1103727256	-0.645097425	-0.7783492836	-0.08548879626	0.3208183643	0.3911179231	-0.04184590943	-0.7459906491	-0.9431121445	-0.1111451685	0.3016944957	-0.06694441593	-0.2809864536	-0.03436849714	-0.226455773	0.3470719707	-0.1271125025	-1.050510105	-1.41075333	0.800322224	-1.007220015	0.1029503755	0.08303101222	0.2323697111	0.6556823304	0.5668646725	0.1882997105	0.9071213634	-0.1430608676	2.561259192	-1.230227726	-0.6820691233	-0.2804768975	0.3038277453	0.3872128621	-1.158487351	-0.7558328265	0.3891519352	-1.056375062	-0.08629523824	-0.4543811869	-0.08089353324	0.4218092468	0.5500467014	0.8411909451	-0.1881851133	-0.8247014947	2.101012812	0.2813610241	-0.3004646952	0.06869914443	-0.6635293277	-0.5673073351	-0.6714127686	-0.6268718724	-0.5207562371	-0.002204663816	-0.3161846228	-0.8939055022	2.609467847	0.4561108374	0.1655460076	-0.6594333767	1.070289949	1.522424544	1.633475409	-0.4022816663	0.3762474591	-0.6454291596	-0.7235944307
0.152532475	0.7673898885	0.09778309915	-0.5796782967	-0.02240552812	-1.123012803	-1.035260163	0.9402774342	1.088264679	-0.002713691604	-0.4775131782	1.003838965	-0.3324247901	-0.2612679188	1.265071752	-0.3018214114	-0.8005106014	-0.6735652859	-0.7827030847	-0.5494046006	-1.492787266	-1.924452908	-1.194817655	-1.035213563	-1.086274933	0.2430941203	-0.2813004937	0.5297408704	0.404238723	-0.2007725183	0.42026164	-0.7513401324	-0.0002903586679	2.109689931	1.659515809	-1.561699043	-0.2749524685	1.355151098	-0.2530029058	-1.136893859	-0.7539996569	-0.6631852578	-1.511598395	-1.1083266	-0.9778931017	-0.3163429499	-0.8990251912	0.2333512714	0.2149423744	-0.4553383968	-1.018766643	1.823819495	0.6144615216	-1.284216743	-0.9856425947	-0.9722367712	-0.3883938217	-0.9420776659	0.150498467	1.59748175	-1.239746688	-1.363756947	-1.493838127	1.215645063	0.8701451443	0.2582350102	1.079295075	-1.407711766	0.7005331622	4.317732422	0.9193739032	-0.1858532754	-0.4640790528	-0.5391132046
0.1936846425	0.3961236615	0.2692666877	-0.523589638	-0.2464001689	-0.8189384768	0.05286281275	-0.810491387	0.1186712119	-0.8858462573	0.8363098157	1.592904072	0.2034444954	-0.1819377291	0.7092803261	-0.607242165	-0.3467559163	-0.7884382618	0.4292703917	-1.499450243	-0.6385146484	-1.281330552	-0.658704906	0.2251091909	-1.143222548	-1.110105668	0.04899321532	0.7209141914	-1.166076442	0.7340762713	1.215537003	-0.4690790069	-0.8221052614	-0.3833429018	-0.3503215793	-1.311756439	0.09194534021	1.63536309	0.9652082707	-0.5305139031	0.2692243221	-0.5416820038	-0.7168106815	-1.254903604	-0.4304766357	-0.8505650596	-0.8039305788	0.2784668794	0.2183528172	-0.7886868639	-1.251034983	0.3677588809	-0.7472255672	-0.617457581	-1.314886776	0.2957174675	-0.02728840967	-0.677638983	0.9172060285	0.6901439123	-1.274252331	0.04946761419	-1.436545968	-1.049801878	0.05193673579	0.3029454705	1.161466546	1.426376166	-1.380742922	5.773916174	0.9895081573	-0.4129021967	1.128049618	0.4882567228
0.2768126802	0.4353178981	0.1293016927	-0.3266705813	-0.5172675052	-1.03565209	-0.1153263099	-1.130725861	-0.440239706	-1.638622735	1.312488277	1.408148107	1.713372114	-0.1494582337	0.2833221649	-0.02794376235	-0.4525393181	0.01015339659	0.2050946101	-0.9906058972	-0.05395583721	-1.748241286	-1.33752139	-0.1604283697	-1.35748555	-0.794292213	0.5934137334	0.632779456	-0.8478242216	1.256055549	0.1270378926	0.5273789106	-0.4441323216	0.1060210201	0.3539540333	-1.315582291	0.02912495489	1.384047154	1.72803221	-1.00584399	0.5807447991	0.2443316393	-1.129729293	-0.9533647805	0.08554522298	-1.129030901	-0.2765580726	-0.3688809965	0.6159496787	0.5471061183	1.136407385	-0.03748459011	-0.08329886832	-0.8324573437	-0.2619121442	1.048287429	0.03200847231	-0.6070750239	-0.3630571623	0.3903421025	-0.8977321747	-0.9265975625	-0.4114509137	-0.3668164336	1.128784164	-0.5378751498	0.1529243513	0.5340600863	-0.4014704829	5.015403374	0.3133415593	0.1691619674	0.0895553144	0.3806043404
0.3863140779	0.8458110849	0.4026228032	-0.04027357844	-0.276737311	-1.059144005	0.1318923278	-1.045614874	-0.3199994355	-1.462083886	1.154845343	-1.451425315	-0.6573005373	0.05888118645	-0.7775719427	-0.3154134334	0.07849377671	-0.2494490763	1.179514692	-0.5973112519	0.00450799673	-1.531945817	-0.07269215899	-0.9207506399	-0.4948617146	-0.9698448335	0.9086919946	1.202115109	0.8266474783	1.341785283	0.1542315072	1.51698762	-0.1835335875	-0.7836630196	-0.3043634546	-0.3720926611	-0.2291814281	0.3428176761	0.7272778712	-1.185303725	0.4966642266	0.3727401654	-1.058988865	-2.036361888	0.2483968877	-1.114478326	-0.4987514533	-0.8438101951	0.6916314644	0.5014477026	0.8679985774	-0.6945934543	-0.6136387927	-0.8351961858	-0.02878877312	1.045663639	-0.059676797	-0.6141288107	0.1387899121	0.1412638672	1.717188164	0.2383238528	-0.311193601	-0.3030433884	0.01811041499	-1.020563579	0.3982285524	0.441498982	-0.6840288959	3.541474857	-0.6784680758	0.6040822111	-1.519660298	-0.9958487247
0.2649577879	0.568223336	0.4353310953	-0.7942333953	-0.3449886573	-1.109799248	0.149170176	-0.9995769375	-0.9277458576	-1.335019338	0.9742043878	-1.095738938	-0.8263827736	-0.1982125533	-1.297267687	-0.4405117617	0.791232692	0.1417060878	0.0641461659	-1.446172054	-0.143706427	-2.00616391	-0.0705054429	-1.224455246	-0.8687957621	-0.5651501398	0.0255445115	0.1453114386	0.4078843767	1.098703573	-0.9265021875	0.7978926621	0.4169129986	-0.122957726	-0.7560525885	-0.4062097694	-0.4605490706	-0.02947753154	0.4459292723	0.08434613365	0.03055732346	0.7331166028	-0.7703002034	-1.748539825	0.07851814039	-0.5611152376	-0.887789672	-1.107884397	0.4881487993	0.2338044643	-0.9914233063	-1.362808184	-0.2612275526	-0.2456182703	-0.9122612802	-0.2819881419	-0.3443367856	-0.7613737016	-0.1234058617	-0.6168412642	0.914898758	-1.057016888	-0.05474652134	1.226092008	0.2781150557	-1.015732648	-1.069661916	0.1830737709	1.139110192	-0.5498749864	-1.359739104	0.6101534521	-1.404777885	-0.7598861262
0.2694294665	0.6427462571	0.2170086627	-0.3479852766	-0.6713780339	-0.6209962235	-0.4132247091	0.4744959731	-0.6642067357	-1.154192218	1.800072204	-0.6659472759	-0.5630977668	-0.1597445528	-1.430093342	-0.5978724571	0.4119972083	-0.8126148023	-0.0353025087	-1.00352511	0.3836791672	-1.226407446	-0.5269590475	-0.5008495558	-0.9802924613	0.04069007246	0.438097807	-1.047384942	1.808724165	0.8832208553	-0.6675531222	-1.27972158	-0.07262063822	0.1083570594	-1.345691776	-0.9661763006	-0.1214537623	-0.4730654577	0.3196417833	-0.7791129378	1.259040239	1.310647794	-0.3016554865	-0.6645714469	0.1586161439	-0.1382422905	-0.4040455538	-1.134359299	0.6037880572	0.0880529718	-1.653474494	-1.843609766	-0.3203060532	0.06904924631	-0.9439349447	-1.131288757	-0.4109830582	-0.9137848087	-0.7939563678	-0.8571269954	-0.3050902755	-1.089087962	0.4978242562	-0.1510454974	-0.009675882792	0.2054904504	-0.9242157248	0.3286623192	0.9232966238	-1.832465636	-2.88644294	-0.08486251594	-1.017598339	0.4890211662
0.2597906824	0.3323158254	0.2080562672	-0.3763522685	-0.07132558697	-0.324443324	-0.4242124314	-0.221550203	0.7680561736	-0.8914320742	1.38242267	-0.766893521	-1.305620974	-0.2350235982	-1.31313811	-0.6618672355	0.4347750659	-0.7209433581	0.2833452363	-0.6736306376	0.03038213488	-1.078960995	-0.4718114729	0.4062968434	-1.544786047	0.1752629308	-0.08498310415	-0.6254373683	1.17973549	-0.07460725032	-0.655958879	-1.549119909	0.5166471825	1.406550747	-0.9704602091	-0.2124392041	0.1653131833	-0.3628024549	0.1081748842	-1.089471641	0.2907285465	2.610507717	-0.562442036	0.2753497106	0.2581357801	-0.4394407893	-0.5326574305	-1.060957709	1.303596768	0.8845920485	-0.8645829843	0.04110009161	1.347032068	0.6256076077	-0.09568918556	-0.8690754411	-0.23991401	-1.108886303	0.2717000831	-0.5507534695	-0.8750890286	0.2415092792	-2.771862188	1.088382322	0.4502803348	0.2463485722	-1.068946643	0.9217832921	0.1236442792	-2.335933045	-1.394299503	0.3876787734	-1.016049543	0.4435673804
0.1277583972	0.1703348095	0.02958121822	0.2823563984	-0.2295640175	-0.8558484334	0.5924025995	0.9548275071	0.5648802713	-0.3802902366	0.4374236725	0.4327937246	0.06619470793	-0.3507081749	-1.327385888	-0.4690288132	0.1368360309	-0.7027894302	-0.4992066042	-0.5612948799	0.02845161428	-0.9364445298	-0.1694718804	-0.8489157024	-2.071690177	0.1301084902	0.1490893395	-1.051526372	-0.6903748134	-2.200198775	-1.082031515	-1.212501158	-1.440270581	-0.071614741	0.9680710538	-0.2636004985	-0.05534588318	-0.8931509808	0.05183728059	0.5760646606	-0.3106472985	1.039161412	-0.1304645321	0.1488400321	0.1963084591	-0.1123643141	-1.613909984	-1.27635715	0.9576048018	0.9557736281	-0.2809882761	-0.5417122117	1.138142306	0.2308902569	0.005536678237	-1.14702331	-0.474352616	-0.9095985765	0.7079665696	1.356407159	-0.3113799291	0.02907180261	-1.443617091	0.1875004628	-0.8411589188	-0.5015331951	0.471094823	0.8302002785	-0.5405073443	-2.40899083	-1.380766378	-0.1332516952	-1.311974517	1.354964216
0.2897550906	0.5800262954	0.3377382676	0.4529990242	0.3761047313	-0.9295088887	1.324978137	-1.414596079	-1.269067869	-0.8356801009	-0.4216780234	1.093118244	1.924174789	-0.3624127275	-1.058429488	-0.1885640945	0.6041386155	0.00694436827	-0.1684629638	0.170056278	0.5106941513	-0.6843606499	-0.1975219303	-0.4616032382	-1.351812999	-1.443211625	1.233180584	-1.589307574	-1.281672804	-0.4866190991	-0.7020667778	-0.4338160529	-2.69979482	-0.8724122378	-1.795905991	-0.739776732	-0.3322404226	-1.309538151	0.8065821	0.4352189565	0.4970013099	-0.4534255166	0.6762227334	-0.6831273089	0.4656151094	-0.03454000534	-1.464018536	-0.9851651564	-0.4961606988	0.4766666894	0.3883008008	-0.3292184398	0.2328820009	0.01965178785	-0.8674539361	-0.6199082538	0.4757854715	-0.1740330062	0.4703775422	-0.2378862004	-0.3479695764	1.495022986	-0.8090077129	-0.9886943415	-1.465312158	-0.08677931902	0.3121347118	0.3685827006	-1.012039608	-2.112378311	-0.7448236919	0.437642982	-1.21040384	-0.2340330624
