melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088
1.511983382	-0.1083104436	-0.3904654878	-1.22261899	-0.3314015152	0.5395292797	-0.2363618144	-0.9078257771	-1.13832316	0.351496748	1.859749608	0.4438610074	1.69809452	-0.06620752989	-0.4627112252	-1.55790617	-0.6528079304	1.095800611	-0.8794125597	-0.02951692058	-2.643920452	-1.074735047	0.4715415774	0.1144766713	-0.7909218352	-2.003627337	0.7835502879	0.01329509482	-0.6023572986	-1.187780017	-0.2501849733	0.1494860251	-0.08813751324	1.03771218	1.037082104	-0.9201974675	-0.783521228	-0.5179615448	-0.2554828891	-1.93899245	0.787603292	-0.8958068741	0.6400179277	-0.8702012817	0.04702937227	-0.1260402473	-1.387574205	-0.8756093423	0.1523684623	-0.8560790563	-0.578098123	-0.0748135785	-2.384460792	1.152959376	-1.027781552	-0.3676607879	0.7398193483	1.036203078	-1.921902722	0.1965758772	-0.3503976386	-0.8692841369	0.7467972768	-1.231270621	-1.354857191	-0.9311748014	0.3995995323	0.6598695198	-0.5004457131	-0.3355314851	0.8442498538	1.019437829	2.019794129	-0.4246865104	-0.1551254395	-0.305759964	0.5541732106	1.37211091	-1.501362251	1.355121372	0.5635610525	0.9327811206	1.496849961	1.379216329	0.09668259182	-0.4558975446	-0.4290791885	-0.3869684418	0.8449376958
0.1106647941	1.630385297	1.32795932	-0.515974163	-0.4891186787	-0.6040320458	-0.5472592204	-0.9371774214	0.2439129966	-0.1211154338	0.4050929594	-0.08273684991	-0.9608905571	-0.8556593175	0.03151374784	-2.041400111	-1.185207788	0.9198295405	-1.023533069	0.8972228998	-0.4538500446	-1.748876274	1.508681132	-0.181917335	0.937535378	-0.8736439657	0.4188607352	0.365721506	0.1131406842	-1.245695325	-0.6938180134	0.6073838147	0.1193625712	0.5683122857	-0.05129923642	-0.5575328956	-0.6192732578	-1.368920636	0.1964001678	-0.9556735868	1.11523974	-1.992444735	1.127372584	-1.599732164	-0.1169504483	-0.9236015166	-1.720701969	-0.3629855485	-0.05527647741	-0.5618158579	-0.08270533294	0.0595513464	-1.919330339	1.441961362	-0.4641249188	-0.1325756096	0.3233590569	0.8176056865	-0.6587145628	0.4831558286	-0.8149968423	-0.453715337	0.4749155913	-2.037949333	-1.977826248	-1.568463565	1.745143315	-0.7915208804	0.4457661253	-1.06857478	0.1168569518	-1.302113175	-0.2603838825	0.8171139923	0.07144643085	-0.5720178405	0.4422681635	0.1193300703	-1.872483697	0.1667668126	-0.8779564532	0.9692109131	0.3399154426	-0.1019034058	1.307489338	0.3456341254	-0.9738491963	-1.685141113	-1.166662485
-0.3522152786	-0.3110070924	0.3968327325	1.823649784	0.04638084468	-0.2894560677	-0.9850483893	0.4894811141	0.8863262705	-0.2668611856	-1.141258819	-0.7632034163	-0.6638450946	-1.266290091	-0.2803010638	-1.696115417	0.2256270397	0.2110931126	-0.04868677947	1.449081301	-0.4072479902	-1.1852768	0.1811163658	-1.561973152	-0.8074734457	0.3246917756	0.573936545	1.143441616	-0.4548553855	1.017068939	-0.618111202	-0.3326916649	-0.3412325398	0.3396763689	-0.1808592186	-0.4400025971	0.3057022059	1.143623015	0.0003537368812	0.5332226906	1.41326189	-2.327639063	0.7434967762	-0.8726055955	0.2541349924	-1.43367586	-1.615732927	-1.05761387	0.2618092055	-0.3500131365	0.1919257029	0.0134302643	-2.114014065	0.8094709257	1.164212884	-0.6273976483	0.1992047696	0.7208140188	-0.6401206126	0.3434854108	0.05937555781	0.426371798	-0.7793467711	-1.672439088	0.1367413987	-1.142395599	0.8892828197	-0.6826851019	-0.7118179616	-0.4674003048	1.968857782	-0.00305057099	-1.218829487	1.077434848	-0.4597452502	-0.8364276307	0.7356694997	-0.07695605913	-0.6862364383	-0.6620920061	-1.026024856	-1.313710058	1.014879225	-1.184381898	1.611350278	-0.3483658143	-1.332371041	-0.8556026086	-1.148842453
-1.443610851	-1.367443734	-1.566133654	-1.024116703	2.146232463	0.1467515249	0.3810437456	0.8204908815	-1.243942169	0.2186778273	0.1627900369	0.3142499925	0.06185583881	-1.198413892	-1.667664988	-1.522840824	0.8416936414	1.087445685	0.1926555709	0.7785767169	1.661624607	-0.7144090078	0.7025200596	-0.1506708515	0.5954898954	0.9812839037	1.031745579	2.075674954	0.002593466716	1.460331377	0.06992806954	0.346469126	1.273974225	-0.8377622175	1.209332207	-0.9933783823	-0.8885890352	-1.346302915	0.3202147382	-0.6532399614	0.329841737	-2.516781979	1.730945627	-1.235705106	0.04047525648	-0.676841104	-0.8745532586	-1.052793898	-0.1987706898	-0.8932289861	0.5296061166	-0.2721415139	-0.9016353111	1.241442798	0.6059230086	-0.215516342	0.4760173878	1.062512471	0.3848458991	0.5324073751	0.8509526573	-0.4624622636	-0.2344602989	-0.2605071403	-0.6257753235	-0.8342977803	-0.06688665081	0.434150064	0.6427578794	0.2314368737	0.5505639273	-0.4502379923	-0.1528340198	1.115009331	-0.09531548276	-0.8201958098	-0.2761057405	1.384135445	-0.5373482973	-0.205095825	-0.814705038	-0.766431941	0.05531984237	-0.2228852413	1.272003422	-1.029505418	0.9185088652	0.2343570633	0.04908779388
1.756949486	0.4523956243	-1.009521259	-0.8182544473	-0.8097130512	0.8440449349	0.4531144163	-0.895490783	-0.4987724519	0.1086119546	0.9436772702	-0.7775612312	0.07091060352	-0.1122906644	-1.362530934	-1.121521539	1.025635832	1.200980659	0.355433079	0.925115783	0.4000840785	-1.229967302	-0.2293024719	1.377751068	-0.2780233134	-0.7750185687	1.059172935	2.435973059	-0.04496048633	0.9373794742	-0.4919680351	0.01719212184	0.837423633	0.1974520868	0.1588578301	-0.8083378418	-0.05609161388	-0.4780244004	-1.276121926	-0.6438180733	0.4142489966	-1.055041195	1.126034609	-0.7862370677	-0.1931159056	-1.117377518	-0.7608793983	-0.7581883499	-0.1374322457	0.2236854028	2.364798254	-0.6226775312	-0.991503776	1.442136849	-0.8677442323	-0.03641699797	0.4535227088	0.829348635	-0.6300803977	1.223459743	0.5425463267	0.006585288795	-0.9921397388	0.5432764083	-0.1013335812	-0.4333590061	0.4790267237	-1.225141757	-0.1354700276	2.141769724	-1.216144086	-0.1893551077	-0.5185796852	-1.60530425	-1.125312884	-0.7807073783	-0.4365715034	0.2242601705	-0.9255459899	0.1531369983	-0.3033313031	-1.169581693	0.01052346251	0.831705829	0.2041891197	-0.1572001517	0.09792792238	-1.50178023	1.366775268
0.9058412298	1.124201581	0.2584232331	-0.9558653321	-0.6840913816	-0.6999160201	-0.8943907344	-1.141683917	-0.5574581871	0.5319008947	0.8479025387	-0.4938440077	-0.5681247729	0.6276264582	0.2117411022	-0.9080811786	0.1934147748	1.213177868	0.2222305127	1.131107684	-0.5095367823	-1.473223667	-0.7770316929	0.4268425663	-0.2921911086	-0.2268584095	1.656833361	2.066342094	-0.1446426156	-0.06080290171	-0.7923124681	-0.6789919224	0.06596232437	0.2602032875	0.9279361588	-0.8898043215	-1.000876089	-1.027089434	-1.190637762	-0.4240592297	-0.1038590235	0.3768960732	1.469538495	-0.8128356783	0.1891786853	-0.6137529917	-0.8263944344	-0.7395904156	-0.6968859445	-0.2495215372	-0.04317387635	-0.9113996748	-0.9532191567	1.384882536	-0.9731134231	0.1825952041	0.2866044551	0.7147530754	-0.06844838284	0.6456842616	-1.954368337	-0.6491625598	-1.661693419	0.6346899891	2.082119654	-0.309593315	0.3399525023	-0.3846243949	-0.9051817268	-0.9037143802	0.1380441864	-0.3476945585	0.007055175832	0.9261138099	0.02310697382	-1.026463218	0.5209824132	1.003888064	0.2065611358	0.2861248273	0.7702024975	0.2902492145	-0.3566908104	0.9590124922	0.8968474786	0.2077950595	0.07534895926	-1.023218597	0.9730961208
-0.5588594302	0.6426737685	1.764694598	0.08744778273	-0.9663937771	-0.7144829404	-0.8007553498	-0.9084736111	2.12846535	0.1468438997	-0.6733153964	-1.592091231	-0.5113625506	0.56090323	0.2687728013	-0.9428767709	-0.2078962453	0.8458394314	-1.11004409	0.3075532176	-0.6285975056	-0.4175805526	0.2791346683	-0.7082711621	1.249103928	-0.5595512155	0.4160162596	0.6934121237	-0.03815322235	-1.327792811	-1.052974833	-0.7491116113	-1.338320842	-0.05400238992	-0.6113072977	-1.361291513	-1.177766646	-0.9980570211	-0.1966595806	-0.4205787583	-0.1539647929	0.4842335741	1.077845316	-0.5462764112	0.06616210769	-0.7785924545	-1.623961545	-0.752415806	-0.8657524083	-0.1915742315	0.6715883757	-0.3421550237	-0.7878206584	1.419060994	-0.3954094232	0.04466540943	0.6532291203	0.593425635	0.4288559067	-0.2586333883	-0.6305420643	-0.2509106464	-1.991072252	-0.344527402	0.4348801179	-0.6254164882	0.5124302985	-1.307817084	0.1532212344	-0.9132892001	-0.9253937	-0.9603162795	-0.7556075935	1.142060155	-0.1526784814	-1.606911021	-1.252981112	-0.8188204534	0.5617620171	-0.2233963634	0.1184562596	0.4739145651	-0.9101959578	-0.9296555469	1.406472103	0.1969657919	-0.9391865018	-0.7621460879	-0.1933310072
-1.059354311	-1.037296206	0.4125057102	1.671166422	-0.0893211416	-0.8547752535	-1.478516144	0.5148681889	-0.4224752218	0.03022308317	-1.14607719	-0.8691604138	0.7753517804	0.3212256262	-0.581265468	-0.6287019609	-0.9282408148	-0.2900477485	-1.60558658	0.5743344338	-2.329717425	-0.1355790793	0.08345902352	-1.527219411	0.304861005	-1.524521227	1.298294311	-0.3273533687	0.1067848018	-0.9928869709	-1.027016987	-1.380560421	-1.46646135	0.2766892898	-0.03946777495	-0.9711321411	-0.7981103473	0.3936001356	0.9860384402	0.09890865221	-0.2266319155	-0.2961235978	0.9854092418	0.02338965309	0.3669334428	-0.7760432378	-0.8860598644	-1.131684509	-1.304821727	-0.6057453737	-1.4586605	-0.08760908717	-1.265430264	0.988488146	1.342781863	0.07224820289	0.8667044012	0.5133244371	-0.341549818	-0.553157287	-0.9349539384	0.130938435	-1.773857663	-0.07462913677	-0.8451928804	-0.4377478128	-0.9018124443	0.8910852212	-1.212955647	-0.6758053029	0.6666117071	0.4357417418	-0.2797816658	1.151968106	-0.2821464701	-1.496830845	-1.130928739	0.299379529	0.06532907767	-0.03490568435	0.8034890986	-0.7541525873	-1.241591297	-1.285796956	1.818230762	0.3047628903	-1.372227183	1.16477869	-0.374674696
-1.836569352	-1.355902788	-1.19370758	-0.4657932605	1.777299993	-0.003279391891	0.4495707238	1.222952057	-0.3778760081	0.105242717	-0.3968003059	-0.2083554389	-0.3980653745	-0.1699020534	-1.647788098	-0.8350686228	-1.488869565	0.3207854558	-1.060137351	-0.02961459392	-0.01533279084	0.1239263928	1.257071172	-1.295255256	0.04146046197	-0.7725145166	0.2149641696	-0.5777001539	0.09144633479	0.3191102855	0.575567565	-0.6498568011	-0.5192664005	0.4334888994	-0.6677627064	0.358866619	-0.3285389735	-0.4161545598	2.577759014	0.6135788165	-0.2724573709	0.2450919819	1.408048017	0.618437667	0.7448111909	-0.1938763087	-0.677686742	-0.3303443637	-1.141811007	-0.07800827207	-0.2717567779	0.09185152654	0.01839079933	0.8936187061	-0.1943144775	-0.1931390028	0.4429020591	0.09020943719	-0.4368462057	-0.2844563642	-0.1575952126	0.1793180842	-1.242056569	0.5606142426	-0.2479867019	-0.6397155564	0.1956538263	1.377898783	1.267278595	0.2455453796	1.174557618	1.306804342	-0.6582712112	0.5122314635	-0.03347288592	-0.5275816369	-0.3390609854	0.3866453845	0.1465820849	0.1110327423	0.04995647918	-2.050898438	-0.8174518145	-0.5808767022	1.310695791	-1.809914365	-0.110599834	1.546696211	-0.158211936
1.430399311	0.03937359596	-0.9697261405	-0.727048548	-0.9590953105	1.597037707	0.4508386834	-1.164325933	0.1153212911	0.1328839462	0.9946051733	-0.2144862826	0.3825254118	1.114311903	-1.258756676	0.008987627962	-0.7199849592	0.4570863588	-1.090710532	-0.1544169207	1.416168852	0.5272853144	-0.225493569	0.255827095	-0.6541839675	-1.477592324	1.214997457	-1.22437455	-0.3483643067	0.1064259865	-0.1255112736	0.5099810453	-0.970838645	1.10858711	0.6223798537	1.39375172	0.6371867375	-0.1536570291	1.328208157	1.156574828	0.1992114254	1.326694507	0.7229051398	0.3620700178	0.6910269432	0.4856174138	-0.4515925933	0.3528225115	0.2901186785	0.3531791813	0.8331513698	-0.4304591203	-0.46432706	1.108937467	-0.7582173643	0.4701949209	0.8289207706	0.1366826269	-0.3435385744	0.3594274692	-0.0509664341	1.440811878	-1.484964238	0.08423221691	-0.7749921705	0.02468044633	0.2275938624	-0.9342009077	0.3195268412	2.231375838	-0.1642328319	2.199624914	-0.1301028415	-1.384181531	-1.344793158	0.3015604421	0.1084187353	0.7453040241	0.40768223	0.917039333	0.5233548102	-1.170251451	0.1952141435	-0.04926234267	0.8209935111	-1.642744409	-1.227733336	1.699208994	0.547548779
