melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079
-0.4900794594	0.4300139617	1.036988503	-0.2975923856	-0.5665119252	-0.2643382561	-0.7649326751	0.4893138145	2.178607205	-0.8205187264	0.09728558063	-0.9388501307	0.3524126296	-1.107597312	-0.5174638199	-0.2967713828	-1.196438755	0.007055318518	0.6807762821	-0.6997943007	-0.03370802851	1.123809483	0.6128536913	-0.8635913964	-0.7814597231	0.05891642112	-0.4727232102	-0.2658253964	0.8951865799	-2.230726066	-0.3264365653	-0.6066467766	-1.534003367	-1.319748509	2.217684585	-0.1556434367	-0.6409666115	-0.7770832039	-0.4419804442	-1.136190393	-0.2206714632	0.6334326612	0.1596124807	0.4787210878	-0.340454632	-0.2052691092	0.4360233115	1.700085263	-0.1482137937	-0.8177025985	0.330265554	0.5781984674	-2.502513223	1.504910083	0.8215032321	0.8893919553	-1.04027398	-0.4775594168	0.5247155145	0.2254450473	1.208390471	-0.8528683505	-0.857530081	1.076362126	-0.4512155616	0.1761429095	-1.066986971	-1.157819939	1.277766129	0.2865193219	0.04543652363	0.2597692591	-0.5953431884	0.7091168992	-0.2345702315	-0.5250752078	0.1070250544	0.9844625731	-0.637788896	-1.073708718
-0.8517322881	-0.1610286741	0.3489675948	-0.268170837	-1.397055792	0.8524849125	-1.146813892	0.1486764616	2.020930058	-0.2117800092	-0.7060946357	-0.9611379923	0.01736966649	0.05875348184	-1.163175586	-0.3249081295	-0.8063208171	-0.7219153599	0.7029278655	-0.7834263179	-1.074521421	0.4654782051	1.041528719	-1.177172892	0.4157492226	-0.5079919185	-1.061677643	-0.2800315874	-1.166280829	-1.587020353	-1.24322102	-0.1821229758	-1.361012427	-0.410399857	0.2971734947	0.1428317443	-1.119574368	-2.627828504	-0.6529719316	0.08134173004	-1.173231554	-0.9980714246	-0.503573737	0.4570492424	-1.065984203	-0.8434699854	-0.326995782	-0.2655467281	-1.551023106	-0.5345240236	1.732758023	1.469448854	-1.559669055	1.048222091	-0.04719188771	-1.40854719	-1.71032959	-0.2313471304	0.0749320837	-2.127394968	1.270990145	-0.4613601437	-0.5475096539	0.6482928961	0.8658215874	0.5186073649	-2.336447111	-1.038090795	-0.2635522761	0.6400341373	-2.079124076	-0.1807463742	-0.8149772695	0.9479349322	0.7978239876	0.5544093095	-1.415943033	-0.3208345835	-2.338572697	0.3419132742
0.5487636447	0.4371579389	-0.3661080567	1.916493242	-0.2963248339	-0.7494340287	-0.4056577897	0.6589332822	0.9164434395	0.07008992995	0.994540306	0.8225143547	-0.7284904663	0.5127459288	0.46883511	-1.33917997	-0.7944904277	-1.345864662	-0.377394921	-0.8356327149	-0.09979320657	-0.319092208	2.534686657	-1.917745186	-0.4096494912	-1.029074982	-0.4780128777	0.2370180228	-1.662444906	-0.9123222185	1.132868583	1.80282611	-1.480008427	-1.320649042	0.5437193544	-1.042262938	0.4232748328	-2.633894285	-0.7371596015	1.016335038	-1.460976161	-1.480468926	-0.7356158594	1.058377434	-1.705964309	-1.386692827	-0.208261743	-1.339829542	-0.09260569383	-0.007743110674	0.4059327407	1.154924603	-1.006604052	-0.2674455164	-1.033932918	-1.014539363	-1.42581776	-0.4753456922	-0.04060094214	-2.000222882	-1.170492444	-2.289703338	-0.8796632069	0.06989749308	0.3418509101	0.001733068678	-2.030527706	-0.9195666954	0.1519560112	-1.02218214	-2.489968233	-0.752898835	-2.320359372	-0.67126093	1.061294461	-0.5972735417	-1.526071632	-0.41493424	-1.314822464	-0.02996780404
-0.3595815208	-1.152530343	-0.7381752553	1.235346289	-0.5884241	0.363567849	-0.8406889699	-0.09874754889	0.2989632532	1.527575041	-1.014814777	-1.273054904	0.5757600363	-0.6525753016	-1.662591935	-2.720409608	-1.085929744	-1.23553241	0.02674904459	-0.4306119319	-0.5554901377	0.7176992206	0.454570294	-2.020929688	-0.905077343	-0.50404632	-2.095269014	1.055017874	-0.7918505167	-0.6565536087	-1.507636666	-0.1996650742	-0.9227823399	-1.539158887	1.270948604	0.05728768916	-0.8591189839	-1.399313686	-0.5978137042	-0.108087234	-0.7108491119	-2.167800274	-1.268534871	-0.1293181149	-1.228665074	-1.496555814	-0.4511093078	-1.508735763	0.4416955741	-0.4178741861	-0.1890569989	0.0353788837	-1.743236512	1.031444447	0.3468397569	1.025390369	-1.015162752	-0.5576552628	0.6254531218	-0.3456319841	-1.605727427	-0.6738433319	-1.222744944	0.09093965086	-0.8081559078	0.4768707049	-1.77434755	0.2048572382	-0.6519687508	-0.282547906	-0.7840353467	0.6765449696	-1.083340137	-0.2501592869	-0.2685896557	-0.6449810529	-1.350923965	0.2358912891	-1.437646908	-0.5511799834
1.170125361	-1.278387705	-1.257542717	0.7361407469	-0.2312961568	0.3000009509	-0.9835800928	0.09262225062	-0.4915020304	1.589974534	-2.225227904	-1.499800611	-0.2837387339	0.5661224302	-0.4177743164	-2.852618048	-0.4756440044	-1.438199346	0.18618911	-0.1668280802	-0.3272619115	0.154142102	-0.8519272043	-1.424787048	0.8704644857	-0.4553301825	-1.40667359	1.155517185	-1.510593575	-0.5218916286	-0.5182140543	-0.1636138811	-1.126272349	-1.115713519	-0.6224144921	0.1319521028	-1.000867251	-1.013826811	-0.426539477	0.273841878	-0.6663856326	-1.662101591	-0.7973709403	0.04121163345	-0.8446062201	-2.6615031	-0.9802203489	-1.598811803	1.140846282	-0.675810856	0.369294676	-0.4605228379	-1.207287439	0.5106745258	0.294461654	-0.8242476083	-1.509114679	-0.6793828782	-0.4761807524	-0.2767528193	0.6769456636	-1.359144188	-1.509177002	0.6078783975	-1.205488194	0.8212164767	-1.354715293	0.1723847775	-0.2269501001	0.4268021136	-1.306469163	-0.5357591492	-1.132204003	0.4124559093	0.2476930261	1.749513173	-0.3921530598	0.2454241708	0.3775051996	-0.2892940332
2.00272477	-1.071815929	-1.36532837	-0.18305406	1.419367067	-0.5182310012	-0.9366642961	0.3834823653	-1.201136393	-0.1842332545	0.04278491976	0.8025566388	-0.02465304389	-1.313002949	-0.2681079882	-1.667710049	-2.044449242	-1.491160771	-0.7303877861	-0.7678279895	0.5600517313	0.07936897031	-0.7204979116	-1.337463587	-0.5863493744	-0.8623601922	0.508847052	1.163924721	-1.321508786	-1.008218097	-0.4648404735	1.363800956	-1.652878858	-1.640416669	-0.1301521946	-0.6832597739	0.6503518954	-1.226552638	-0.002143443015	-0.4358224137	-1.366726877	-1.986516072	-0.4462694247	0.1576634648	-0.6151007875	-2.29982227	0.7539754572	-2.444806414	1.441538187	0.2004736913	0.7103582594	-1.118583913	-0.3578454878	-0.09398289458	-0.4756730989	-0.04824605936	-1.04690325	-1.398668651	-0.348759252	-0.5885690168	0.4162035708	-1.312628708	-1.541966744	0.4649335512	-1.773403476	0.3839909162	-0.5859558239	0.4944450705	1.026999142	-0.94250235	-1.203966296	-0.7830421715	-0.4723951047	-1.169395442	0.9430288214	0.350899792	-0.4507931247	-0.6314590234	-1.112285115	0.9645815064
-0.04215600053	-1.490692759	-2.205802295	-0.4527155177	0.3004557591	0.51863505	1.171351196	-0.08569039211	-1.409699103	-0.5504778754	-1.924685958	-1.495078004	0.2566668855	-0.9450985606	-1.589045974	-0.8266447764	-1.75316022	-1.038063633	-0.3131193723	-0.8932529522	-1.418328505	0.3028672452	-0.6878591449	-1.432990503	0.09682364981	-0.5906250909	-0.9207641364	1.193793847	-0.3119267874	-1.207220414	-1.554549232	0.6289280334	-0.8593578822	-1.232589205	0.5155671235	0.5197591934	-1.374343039	0.1787436471	-0.6621169813	-0.3580759065	-0.498502667	-1.363859505	-0.2863349164	-0.05678196786	-0.6988802349	-1.867926156	-1.96015586	-3.090045325	0.5153157172	-0.4714659785	-2.109071238	-1.926883807	0.0505514134	-0.3079159569	-1.015839399	0.1226186256	-0.7088678532	-1.621284006	0.0005590364046	-0.1994304758	1.806290874	-0.9383172987	-1.80468338	0.6448838155	-1.104356952	-0.2916987075	-0.5709500033	0.2638303278	1.514075372	0.260874865	-1.390682071	0.04871515721	1.280876345	-1.428543809	1.641466303	1.365699429	-0.9279846813	1.913846083	-0.5446239478	0.1447363033
-0.06997063663	1.625122779	-2.25730123	-0.4846450133	1.197387791	-0.2467678348	1.798208508	0.5842376405	-2.112829945	-0.9504865097	-1.39199521	-0.5488671597	-0.9577007371	0.2701088645	2.524566046	-1.413050459	-1.047777903	-1.444735357	-0.4727447965	-1.114035532	0.04461558648	-0.4270183475	0.6774982209	-1.015384648	0.2157585614	-0.7403274733	0.7073392606	0.1335623711	-0.2920820258	-1.078464307	1.320651814	1.524820615	-0.7106124369	-1.504814228	-0.7439097214	0.7491073695	-1.881587763	-0.2966080093	-1.239227617	-0.58962871	-1.163637841	-1.062477075	-0.2696194205	0.2180078894	-0.3659238755	-1.580121743	1.11070414	-0.5022279651	-0.4832997002	0.3079297807	-0.2234765777	-1.823570499	0.8895660738	-0.8418767249	-0.6445968325	-1.168189714	-1.297143941	-1.76238913	-0.1226164924	0.208764413	0.3040296671	-0.7582619661	-1.650917474	0.3158467174	-0.5079957517	-1.571426027	0.4915173194	0.4750615866	0.03348853122	-0.4900110697	-1.940144559	0.5344330985	-0.585883735	-0.9428088485	0.8802348666	1.181307364	-0.1315188367	0.9997821048	-0.2416263191	-0.03409798031
-1.065298661	0.8638329972	-0.5688270836	-0.6426033175	-0.7505902542	-0.6050842728	0.6841260307	0.4933858467	-1.98562264	-1.792496566	0.8479421126	-0.8661449189	0.1595349233	-1.157154584	0.1176146275	-1.783852309	-1.313516878	-0.2135528076	-0.1072071869	-0.2551192324	0.6005814064	0.3779232515	0.3312222859	0.5108360398	-1.172161671	-0.5397584591	1.753744283	-0.5769020264	0.3042844561	0.1113473796	0.7278436688	-0.1992285147	-0.002603416728	-1.368681139	0.5548241382	0.8870152215	0.9241862821	0.5659854366	-1.060658465	-0.5297665515	-0.468762382	-0.6859932374	0.4380674337	0.05016280475	0.4865911866	-0.1936685678	0.9327816294	-0.1251933641	-0.1725084609	0.9603493369	2.007209605	-1.568709022	1.907784705	0.8338637489	0.5844457294	0.5109076359	-0.5007282897	-0.9687085493	0.4111924761	0.2367140887	-0.5935034736	-0.09547454591	0.2564611683	0.926247361	-0.1908535308	-1.636172019	0.3681809653	1.476946742	-1.053907584	-0.538799411	-0.2072491659	1.880096879	1.20347068	-1.080704268	-0.2890110584	2.014384982	1.744456016	0.3378589375	0.1090576131	-0.8334032523
-0.4361613788	0.1392936942	0.3724289559	-0.03108288815	-1.051364528	0.1424549382	-1.15691443	0.1042039799	1.506054842	0.5457021469	0.4636087519	-0.003280577721	0.3108763985	0.334330962	-0.5329691371	-1.41140565	-0.5138379061	1.147881805	-0.1227481866	0.578882604	0.4514940494	0.8586416677	0.3274714539	1.831682389	0.1759655976	-0.6196336658	-0.1491568033	-1.434434167	0.8416405797	0.7487357986	0.1682786021	-0.9844960898	0.8284060237	0.8441417658	0.01128597546	0.125291047	1.15100115	1.762060125	-0.1162834712	1.027516597	-0.6284167068	-0.8026684071	-0.3124859745	-0.2694691171	0.7635170159	-0.1652605138	-0.5580185524	0.1412979043	-1.197956901	0.3906313919	0.9117542844	-1.565579617	1.333928354	1.01329411	0.01729637078	-1.261305468	0.8588870603	-0.4368082026	-0.3236252293	-0.7965860247	-0.1344528964	-0.2708895428	1.354608661	0.5654390399	-1.212299713	-1.665902079	-1.160660554	0.4151150666	-0.1507385034	0.1188196329	-0.4310825838	-0.28773723	1.548121912	-1.114961515	-1.158506132	0.3496399944	-0.2126927809	0.07940654479	0.0367537423	-1.174995799
